relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
20,AI Engineer Python | Slovakia,hays,ADAS System and Integration Engineer(m/f/d),Hays Client,Munich,On-site,Contract,"C, Python, Can, C++, Arm","Ethernet, Linux",,Architect,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-adas-system-and-integration-engineer--munich-859687/1,2026-02-06T17:28:05.473406+00:00
16,Senior Test Engineer | Slovakia,hays,Senior Software Engineer Anti-Money-Laundering(m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,"Playwright, Ci/Cd, Github Actions","Redis, Spring, Azure, Kubernetes, Tailwind, Github, Aws, Postgresql, Terraform, R",,Senior,,19.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-anti-money-laundering-baden-wuerttemberg-857279/1,2026-02-06T17:27:50.100075+00:00
12,Senior Test Engineer | Slovakia,hays,Senior Full-Stack Software Engineer(m/f/d),Hays Client,Zug,On-site,Contract,"Typescript, C","C#, Junior, React, Senior",,"Senior, Lead",,14.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-full-stack-software-engineer-zug-844063/1,2026-02-06T17:27:50.101501+00:00
8,Test Automation Engineer | Slovakia,hays,Test Automation Engineer(m/w/d),Hays Client,Dresden,On-site,Contract,"Ci/Cd, Test Automation",R,,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-automation-engineer-dresden-852634/1,2026-02-06T17:27:17.957660+00:00
7,Test Automation Engineer | Slovakia,hays,Software and Automation Engineer(m/w/d),Hays Client,Neubiberg // remote,Remote,Contract,"Python, Ci/Cd",R,,,,06.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-and-automation-engineer-neubiberg----remote-860528/1,2026-02-06T17:27:17.955213+00:00
7,Test Automation Engineer | Slovakia,hays,Senior Test Automation Engineer(m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,,Senior,,23.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-02-06T17:27:17.958414+00:00
7,Test Automation Engineer | Slovakia,hays,(Senior) Test Automation Engineer for a premium automotive company(m/f/d),Hays Client,Berlin,On-site,Contract,Test Automation,Senior,,Senior,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-for-a-premium-automotive-company-berlin-834362/1,2026-02-06T17:27:17.958800+00:00
6,Test Automation Engineer | Slovakia,hays,Netzwerk Engineer(m/w/d),Hays Client,Bern,On-site,Contract,Python,"Powershell, Kanban, R, Jira",,Lead,,11.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-netzwerk-engineer-bern-853547/1,2026-02-06T17:27:17.957282+00:00
6,Senior Test Engineer | Slovakia,hays,Senior Backend Software Engineer(m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Microservices, Kubernetes, Mongodb, Postgresql, Senior, Spring Boot, Spring",,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-02-06T17:27:50.099869+00:00
6,Senior Test Engineer | Slovakia,hays,Senior Software Engineer Java(m/w/d),Hays Client,Bundesweit,On-site,Contract,Java,Senior,,Senior,,22.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-java-bundesweit-845396/1,2026-02-06T17:27:50.101306+00:00
6,Senior Test Engineer | Slovakia,hays,QML/C++ Software Engineer - Connected Services Team for a premium automotive company(m/f/d),Hays Client,Berlin,On-site,Contract,"C, C++","Golang, Agile",,,,22.05.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qml-c-software-engineer-connected-services-team-for-a-premium-automotive-company-berlin-822927/1,2026-02-06T17:27:50.102487+00:00
5,Test Automation Engineer | Slovakia,hays,Experte / Lead Engineer Schutz- und Steuerungssysteme in der Energieversorgung(m/w/d),Hays Client,Erlangen,On-site,Contract,,"R, Lead",,"Lead, Expert",,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-lead-engineer-schutz--und-steuerungssysteme-in-der-energieversorgung-erlangen-830588/1,2026-02-06T17:27:17.957839+00:00
5,Test Automation Engineer | Slovakia,hays,Lead Engineer oder Experte Stationsleittechnik in der Energieversorgung(m/w/d),Hays Client,Erlangen,On-site,Contract,,"R, Lead",,"Lead, Expert",,02.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-engineer-oder-experte-stationsleittechnik-in-der-energieversorgung-erlangen-852227/1,2026-02-06T17:27:17.958029+00:00
5,Senior Test Engineer | Slovakia,hays,Senior Quality Assurance Engineer(m/f/d),Hays Client,Düsseldorf,On-site,Contract,,"Senior, Lead",,"Senior, Lead",,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-quality-assurance-engineer-duesseldorf-860017/1,2026-02-06T17:27:50.099635+00:00
5,Senior Test Engineer | Slovakia,hays,Senior System & Software Engineer(m/f/d),Hays Client,Geneva,On-site,Contract,,Senior,,"Senior, Architect",,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-system-software-engineer-geneva-852263/1,2026-02-06T17:27:50.100716+00:00
5,Senior Test Engineer | Slovakia,hays,Senior Reliability Engineer(m/f/d),Hays Client,Fribourg,On-site,Contract,,"Senior, Lead",,"Senior, Lead, Expert",,25.08.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-reliability-engineer-fribourg-831479/1,2026-02-06T17:27:50.101898+00:00
4,Test Automation Engineer | Slovakia,hays,Switchyard Control Engineer HVDC(m/f/d),Hays Client,Forchheim,On-site,Contract,Hil,,,,,29.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-switchyard-control-engineer-hvdc-forchheim-859208/1,2026-02-06T17:27:17.955859+00:00
4,Test Automation Engineer | Slovakia,hays,DevOps Engineer(m/w/d),Hays Client,Dresden,On-site,Contract,Ci/Cd,"Devops, R",,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-dresden-854313/1,2026-02-06T17:27:17.956701+00:00
4,Embedded Software Tester | Slovakia,hays,Softwaretester für Steuergerätesoftware(m/w/d),Hays Client,Erlangen,On-site,Contract,Sil,R,,,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwaretester-fuer-steuergeraetesoftware-erlangen-854576/1,2026-02-06T17:27:35.312435+00:00
