relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
33,QA Engineer | Germany,hays,Senior Quality Assurance Engineer(m/f/d),Hays Client,Düsseldorf,On-site,Contract,,"Senior, Lead",,"Senior, Lead",,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-quality-assurance-engineer-duesseldorf-860017/1,2026-02-07T19:51:22.681595+00:00
20,Tester | Germany,hays,Systems Engineer / Functional Safety Expert(m/w/d),Hays Client,Mannheim,On-site,Contract,,Expert,,Expert,,23.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systems-engineer-functional-safety-expert-mannheim-858329/1,2026-02-07T19:51:05.417042+00:00
20,Tester | Germany,hays,Projektmanager Vertrieb - Energie(m/w/d),Hays Client,Augsburg,On-site,Contract,,Lead,,Lead,,05.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektmanager-vertrieb-energie-augsburg-852793/1,2026-02-07T19:51:05.418457+00:00
20,QA Engineer | Germany,hays,Senior Backend Software Engineer(m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Senior, Postgresql, Kubernetes, Mongodb, Spring Boot, Spring, Microservices",,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-02-07T19:51:22.681828+00:00
20,QA Engineer | Germany,hays,Senior Cloud Engineer(m/w/d),Hays Client,Nürnberg,On-site,Contract,,"Senior, R",,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-02-07T19:51:22.682665+00:00
20,QA Engineer | Germany,hays,DevOps Engineer / Data Engineer for Data Platform Solutions(m/w/d),Hays Client,Poing,On-site,Contract,,"Devops, R",,Expert,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-data-engineer-for-data-platform-solutions--poing-852646/1,2026-02-07T19:51:22.682864+00:00
20,Test Engineer | Germany,hays,Software Engineer DSL / JetBrainsMPS(m/w/d),Hays Client,Nürnberg,On-site,Contract,,,,Expert,,08.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-dsl-jetbrainsmps-nuernberg-835102/1,2026-02-07T19:51:38.652843+00:00
20,Test Engineer | Germany,hays,Senior Test Automation Engineer(m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,,Senior,,23.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-02-07T19:51:38.654222+00:00
20,Test Engineer | Germany,hays,Senior Software Engineer Java(m/w/d),Hays Client,Bundesweit,On-site,Contract,Java,Senior,,Senior,,22.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-java-bundesweit-845396/1,2026-02-07T19:51:38.654467+00:00
20,Testingenieur | Germany,hays,Testingenieur IMU(m/w/d),Hays Client,Kusterdingen,On-site,Contract,,R,,Expert,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-imu-kusterdingen-859228/1,2026-02-07T19:51:56.463333+00:00
20,Test Automation | Germany,hays,Validation & Qualification Engineer – IT/OT Robotics(m/w/d),Hays Client,Mannheim,On-site,Contract,,R,,Expert,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validation-qualification-engineer--it-ot-robotics-mannheim-858088/1,2026-02-07T19:52:12.362009+00:00
