relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
86,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,Senior,,Senior,,1 week ago,https://do.linkedin.com/jobs/view/senior-software-engineer-at-microsoft-4367912659,2026-02-09T10:57:51.328153+00:00
86,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,Senior,,Senior,,1 week ago,https://do.linkedin.com/jobs/view/senior-software-engineer-at-microsoft-4343944316,2026-02-09T10:57:51.328743+00:00
66,Tester | USA,linkedin,Software Test Engineer,Google,"Mountain View, CA",On-site,Full-time,,,,,,2 weeks ago,https://www.linkedin.com/jobs/view/software-test-engineer-at-google-4365574837,2026-02-09T10:55:19.427068+00:00
66,QA Engineer | Remote,linkedin,QA Engineer,Porsche Digital Croatia,"Zagreb, Croatia",On-site,Full-time,,,,,,5 days ago,https://hr.linkedin.com/jobs/view/qa-engineer-at-porsche-digital-croatia-4368682384,2026-02-09T10:55:31.588732+00:00
66,QA Engineer | USA,linkedin,Audio QA Engineer,Apple,"Cupertino, CA",On-site,Full-time,,,,,,6 days ago,https://www.linkedin.com/jobs/view/audio-qa-engineer-at-apple-4368406180,2026-02-09T10:55:41.446547+00:00
66,Test Engineer | Czech Republic,linkedin,Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,,,,,5 days ago,https://do.linkedin.com/jobs/view/software-engineer-at-microsoft-4368643702,2026-02-09T10:55:59.013584+00:00
66,Test Engineer | USA,linkedin,"Software Development Engineer in Test (SDET), Video Apps",Apple,"San Diego, CA",On-site,Full-time,,,,,,1 week ago,https://www.linkedin.com/jobs/view/software-development-engineer-in-test-sdet-video-apps-at-apple-4367540331,2026-02-09T10:56:04.413539+00:00
66,Testingenieur | Germany,linkedin,"Test Engineer (Ingolstadt, Automotive)",Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,,,German,,,4 days ago,https://de.linkedin.com/jobs/view/test-engineer-ingolstadt-automotive-at-intellias-4369202080,2026-02-09T10:56:09.359682+00:00
66,Testingenieur | Poland,linkedin,Test Engineer (Android experience required),Intellias,"Cracow, Małopolskie, Poland",On-site,Full-time,,,,,,1 week ago,https://pl.linkedin.com/jobs/view/test-engineer-android-experience-required-at-intellias-4366353203,2026-02-09T10:56:24.211274+00:00
66,Python Developer | Czech Republic,linkedin,Software Engineering - DevDiv Core AI,Microsoft,Dominican Republic,On-site,Full-time,,,,,,1 week ago,https://do.linkedin.com/jobs/view/software-engineering-devdiv-core-ai-at-microsoft-4344495809,2026-02-09T10:57:06.651441+00:00
66,Python Developer | United Kingdom,linkedin,Python Engineer,Data Intellect,"London, England, United Kingdom",On-site,Full-time,Python,,,,,1 week ago,https://uk.linkedin.com/jobs/view/python-engineer-at-data-intellect-4356800817,2026-02-09T10:57:14.093898+00:00
66,Python Test | USA,linkedin,QA Test Automation Engineer,Apple,"San Diego, CA",On-site,Full-time,Test Automation,,,,,3 weeks ago,https://www.linkedin.com/jobs/view/qa-test-automation-engineer-at-apple-4360065049,2026-02-09T10:57:33.967422+00:00
66,Firmware Engineer | Germany,linkedin,Embedded-Softwareentwickler (m/w/d),AMAZONEN-WERKE H. DREYER SE & Co. KG,"Hasbergen, Lower Saxony, Germany",On-site,Full-time,,,German,,,3 weeks ago,https://de.linkedin.com/jobs/view/embedded-softwareentwickler-m-w-d-at-amazonen-werke-h-dreyer-se-co-kg-4352830595,2026-02-09T10:57:38.890182+00:00
66,Firmware Engineer | Austria,linkedin,"Software Development Engineer, Firmware",Apple,"Linz, Upper Austria, Austria",On-site,Full-time,Firmware,,,,,3 days ago,https://at.linkedin.com/jobs/view/software-development-engineer-firmware-at-apple-4369118407,2026-02-09T10:57:41.273191+00:00
66,Firmware Engineer | Remote,linkedin,Vehicle Software Engineer,Porsche Digital US,"Palo Alto, CA",On-site,Full-time,,,,,,2 days ago,https://www.linkedin.com/jobs/view/vehicle-software-engineer-at-porsche-digital-us-4369786291,2026-02-09T10:57:46.509739+00:00
66,Firmware Engineer | Remote,linkedin,Software Engineer,Microsoft,India,On-site,Full-time,,,,,,4 days ago,https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4369233550,2026-02-09T10:57:46.510223+00:00
66,Firmware Engineer | Czech Republic,linkedin,Software Engineer - Backend,Microsoft,Dominican Republic,On-site,Full-time,,,,,,1 week ago,https://do.linkedin.com/jobs/view/software-engineer-backend-at-microsoft-4366724980,2026-02-09T10:57:51.327773+00:00
66,Firmware Engineer | Czech Republic,linkedin,AI Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,,,,,1 week ago,https://do.linkedin.com/jobs/view/ai-software-engineer-at-microsoft-4358974601,2026-02-09T10:57:51.328022+00:00
66,Firmware Engineer | Czech Republic,linkedin,Software Engineer II,Microsoft,Dominican Republic,On-site,Full-time,,,,,,6 days ago,https://do.linkedin.com/jobs/view/software-engineer-ii-at-microsoft-4368183682,2026-02-09T10:57:51.328271+00:00
66,Firmware Engineer | Poland,linkedin,"Software Engineer III, Vertex AI",Google,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,,,,,5 days ago,https://pl.linkedin.com/jobs/view/software-engineer-iii-vertex-ai-at-google-4368220585,2026-02-09T10:57:53.770982+00:00
66,Firmware Engineer | USA,linkedin,Embedded Software Engineer,Apple,"Cupertino, CA",On-site,Full-time,,,,,,3 weeks ago,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-apple-4359225274,2026-02-09T10:57:56.537141+00:00
66,Firmware Engineer | USA,linkedin,Embedded Software Engineer,Apple,"Sunnyvale, CA",On-site,Full-time,,,,,,3 weeks ago,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-apple-4360045063,2026-02-09T10:57:56.537287+00:00
66,Firmware Engineer | USA,linkedin,Embedded Software Engineer,Apple,"Cupertino, CA",On-site,Full-time,,,,,,3 weeks ago,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-apple-4359265180,2026-02-09T10:57:56.537405+00:00
33,Tester | Germany,linkedin,Game QA Tester,welevel,"Munich, Bavaria, Germany",On-site,Full-time,,"Senior, Regression Testing, Lead","German, English","Senior, Lead, Expert",,1 week ago,https://de.linkedin.com/jobs/view/game-qa-tester-at-welevel-4356128994,2026-02-09T10:55:02.102703+00:00
33,Tester | Switzerland,linkedin,Senior Test Engineer – Semi-conducteurs,OLM Consultants,"Neuchâtel, Switzerland",On-site,Full-time,"Python, C, C++","R, Senior",,"Senior, Lead, Expert, Consultant",,3 weeks ago,https://ch.linkedin.com/jobs/view/senior-test-engineer-%E2%80%93-semi-conducteurs-at-olm-consultants-4360880867,2026-02-09T10:55:06.915266+00:00
33,Test Automation | Germany,linkedin,Senior QA & Test Automation Lead (m/f/d),Nagarro,Germany,On-site,Full-time,Test Automation,"Lead, Senior",German,"Senior, Lead",,1 week ago,https://de.linkedin.com/jobs/view/senior-qa-test-automation-lead-m-f-d-at-nagarro-4367528203,2026-02-09T10:56:31.815988+00:00
33,Test Automation | Austria,linkedin,Senior QA & Test Automation Lead (all genders),Nagarro,Austria,On-site,Full-time,Test Automation,"Lead, Senior",,"Senior, Lead",,1 week ago,https://at.linkedin.com/jobs/view/senior-qa-test-automation-lead-all-genders-at-nagarro-4367527238,2026-02-09T10:56:34.181766+00:00
33,Python Developer | United Kingdom,linkedin,Python Developer (AI/ML),Capgemini,"London Area, United Kingdom",On-site,Full-time,"Langchain, Python, Can, Rag, Llm","Devops, Machine Learning, Azure, Aws",,"Lead, Architect, Expert",,6 days ago,https://uk.linkedin.com/jobs/view/python-developer-ai-ml-at-capgemini-4368201258,2026-02-09T10:57:14.093306+00:00
20,Tester | Germany,linkedin,Test Automation Engineer,Delivery Hero,"Berlin, Berlin, Germany",On-site,Full-time,"Go, Test Automation, Java, Can, Javascript, Ci/Cd, Github Actions, Continuous Testing","Agile, Restassured, Kotlin, Grafana, Cucumber, Github, Gcp, Appium, Lead","German, English",Lead,,51 minutes ago,https://de.linkedin.com/jobs/view/test-automation-engineer-at-delivery-hero-4370256083,2026-02-09T10:55:02.102828+00:00
20,Tester | Germany,linkedin,Quality Assurance Tester (m/f/d),TeleClinic,"Munich, Bavaria, Germany",On-site,Full-time,,"Datadog, Jira, Regression Testing, Confluence, Sql","German, English",Lead,,2 days ago,https://de.linkedin.com/jobs/view/quality-assurance-tester-m-f-d-at-teleclinic-4369519951,2026-02-09T10:55:02.102949+00:00
20,Tester | Germany,linkedin,QA Manager / Software Tester (all genders),JAKALA,"Hamburg, Germany",On-site,Full-time,Selenium,"Appium, Product Owner, R",German,Expert,,1 week ago,https://de.linkedin.com/jobs/view/qa-manager-software-tester-all-genders-at-jakala-4337712341,2026-02-09T10:55:02.103065+00:00
20,Tester | Austria,linkedin,Senior Software Tester*in (m/w/d),Value Dimensions Management Services GmbH,"Vienna, Vienna, Austria",On-site,Full-time,,Senior,,Senior,,2 weeks ago,https://at.linkedin.com/jobs/view/senior-software-tester-in-m-w-d-at-value-dimensions-management-services-gmbh-4365708643,2026-02-09T10:55:04.492961+00:00
20,Tester | Switzerland,linkedin,Software Tester,yiuu.io | Sandro Toneatto Consulting,"Zurich, Zurich, Switzerland",On-site,Full-time,Selenium,"Jira, Regression Testing",,Expert,,3 weeks ago,https://ch.linkedin.com/jobs/view/software-tester-at-yiuu-io-sandro-toneatto-consulting-4353680849,2026-02-09T10:55:06.914629+00:00
20,Tester | Switzerland,linkedin,Test Automation Engineer,MGI Consultants,"Geneva, Switzerland",On-site,Full-time,Test Automation,,,Consultant,,6 days ago,https://ch.linkedin.com/jobs/view/test-automation-engineer-at-mgi-consultants-4368014506,2026-02-09T10:55:06.915020+00:00
20,Tester | Slovakia,linkedin,Senior Quality Assurance Tester,Avenga,"Bratislava, Slovakia",On-site,Full-time,,Senior,,Senior,,4 days ago,https://sk.linkedin.com/jobs/view/senior-quality-assurance-tester-at-avenga-4359843321,2026-02-09T10:55:11.920356+00:00
20,Tester | Czech Republic,linkedin,Senior Industrialization Test Engineer,Eaton,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,,Senior,,1 week ago,https://do.linkedin.com/jobs/view/senior-industrialization-test-engineer-at-eaton-4356700885,2026-02-09T10:55:14.333520+00:00
20,QA Engineer | Switzerland,linkedin,Senior Product / Quality Assurance engineer,AYES - Management & Technology Consulting,"Zurich, Switzerland",On-site,Full-time,,Senior,,Senior,,2 weeks ago,https://ch.linkedin.com/jobs/view/senior-product-quality-assurance-engineer-at-ayes-management-technology-consulting-4364820887,2026-02-09T10:55:29.055988+00:00
20,QA Engineer | Slovakia,linkedin,Senior QA Engineer,NATEK,"Bratislava, Slovakia",On-site,Full-time,,Senior,,Senior,,1 hour ago,https://sk.linkedin.com/jobs/view/senior-qa-engineer-at-natek-4361805031,2026-02-09T10:55:33.976851+00:00
20,QA Engineer | Slovakia,linkedin,Expert Quality Assurance (QA) Engineer,Qualco Group,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Expert,,Expert,,6 days ago,https://sk.linkedin.com/jobs/view/expert-quality-assurance-qa-engineer-at-qualco-group-4368493997,2026-02-09T10:55:33.976969+00:00
20,QA Engineer | Slovakia,linkedin,Senior Quality Assurance Engineer,NATEK,"Bratislava, Slovakia",On-site,Full-time,,Senior,,Senior,,1 hour ago,https://sk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-natek-4361075753,2026-02-09T10:55:33.977090+00:00
