relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
33,QA Engineer | Germany,gulp,SeniorQAEngineer(m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,"Specialist, Senior",,"Senior, Architect, Expert",,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/e417f7e4059811f196d7a2d1b5394681,2026-02-09T11:21:16.855816+00:00
33,QA Engineer | Germany,gulp,Senior site manager in civilengineeringand road construction (m/f/d),SOLCOM GmbH,"D4, Meerbusch",On-site,Freelance,,Senior,,"Senior, Contractor",,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/e19b02b8059811f196d7a2d1b5394681,2026-02-09T11:21:16.860109+00:00
33,Test Automation | Germany,gulp,Senior Automation Specialist (m/f/d),SOLCOM GmbH,"D7, Remote/Großraum Stuttgart",Remote,Freelance,"Test Automation, Can","Specialist, Senior",,"Senior, Expert",,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/48ce614efb7311f096d7a2d1b5394681,2026-02-09T11:22:28.557238+00:00
33,Python Test | Germany,gulp,"SAP HCM Consultant (m/f/d) - Business Analyst, Payroll PY-AT, Time Management",GULP Client,Kronberg im Taunus,Remote,Freelance,"Go, System Testing","Lead, Consultant",,"Lead, Consultant",,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01237943,2026-02-09T11:23:00.211492+00:00
20,Tester | Germany,gulp,Requirements Engineer / Business Analyst (m/f/d),GULP Client,Bonn,Remote,Freelance,,"Scrum, Agile, Product Owner",,Architect,,2 days ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01237672,2026-02-09T11:21:02.734912+00:00
20,Tester | Germany,gulp,Senior PerformanceTester- Linux (m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,"Linux, Senior",,Senior,,5 days ago,https://www.gulp.de/gulp2/g/projekte/extern/36e623ea013611f196d7a2d1b5394681,2026-02-09T11:21:02.735480+00:00
20,Tester | Germany,gulp,Content Expert (m/f/d) in,SPS Consulting & Services GmbH,Germany/Remote,Remote,Freelance,,Expert,German,Expert,,06.02.2025,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-02-09T11:21:02.741340+00:00
20,QA Engineer | Germany,gulp,"IT - Solution Architect e.g. AWS, Logistics/Cargo, Python, LLM, OpenAI, RAG architectures etc (f/m/d)",GULP Client,Mainz am Rhein,Remote,Freelance,"Python, Rag, Prompt Engineering, Llm","Aws, Architect, Hugging Face, Solution Architect",,Architect,,a few seconds ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01237955,2026-02-09T11:21:16.851060+00:00
20,QA Engineer | Germany,gulp,CivilEngineeringSupervisor (m/f/d),SOLCOM GmbH,"D9, Meiningen/Pfersdorf",On-site,Freelance,,Expert,,Expert,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/d938f5da059811f196d7a2d1b5394681,2026-02-09T11:21:16.853988+00:00
20,QA Engineer | Germany,gulp,Site Manager CivilEngineering(m/f/d),SOLCOM GmbH,D7,On-site,Freelance,,"Expert, Specialist",,Expert,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/e03bc600059811f196d7a2d1b5394681,2026-02-09T11:21:16.859471+00:00
20,QA Engineer | Germany,gulp,Senior Calculator Infrastructure Construction / Road and Traffic Route Construction (m/f/d),SOLCOM GmbH,"A, Arzl im Pitztal",On-site,Freelance,,Senior,German,Senior,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/d7f87ee8059811f196d7a2d1b5394681,2026-02-09T11:21:16.860670+00:00
20,Test Automation | Germany,gulp,DevOps Engineer (m/f/d) Collaboration Suite - Service - Remote & FFM or Berlin,percision services GmbH,siehe Beschreibung,Remote,Freelance,Test Automation,"Kubernetes, Git, Terraform, Devops",,Architect,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/talentfinder/697cd2449bb27bbd86adc76c,2026-02-09T11:22:28.556590+00:00
20,Test Automation | Germany,gulp,Expert Automation Specialist (m/f/d),SOLCOM GmbH,"D7, Remote/Großraum Stuttgart",Remote,Freelance,"Test Automation, Can","Expert, Specialist",,Expert,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/extern/57857aa6fb7311f096d7a2d1b5394681,2026-02-09T11:22:28.557815+00:00
20,Test Automation | Germany,gulp,Vaadin Software Architect (m/f/d),percision services GmbH,Remote,Remote,Freelance,"Test Automation, Java","Software Architect, Architect",,Architect,,2 weeks ago,https://www.gulp.de/gulp2/g/projekte/talentfinder/69788a209bb27bbd86a7ec7a,2026-02-09T11:22:28.558907+00:00
20,Test Automation | Germany,gulp,Senior Engineer for Photonic Module Characterization (m/f/d),GULP Client,Stuttgart,On-site,Freelance,,"Junior, Senior",,Senior,,08.01.2026,https://www.gulp.de/gulp2/g/projekte/agentur/C01224100,2026-02-09T11:22:28.560533+00:00
20,Python Developer | Germany,gulp,Expert Authorization Concepts (m/f/d),SOLCOM GmbH,"D4, Essen",On-site,Freelance,,Expert,,Expert,,23 minutes ago,https://www.gulp.de/gulp2/g/projekte/extern/6f806d7205a111f196d7a2d1b5394681,2026-02-09T11:22:45.694436+00:00
20,Python Developer | Germany,gulp,Senior Process Management (m/f/d),SOLCOM GmbH,"D8, / Remote",Remote,Freelance,"Python, C","C#, Senior",,Senior,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/eaa547ce059811f196d7a2d1b5394681,2026-02-09T11:22:45.695014+00:00
20,Python Developer | Germany,gulp,Expert for the implementation of EMAS and environmental guidelines (m/f/d),SOLCOM GmbH,"D7, remote",Remote,Freelance,,Expert,,Expert,,an hour ago,https://www.gulp.de/gulp2/g/projekte/extern/d6cda1ce059811f196d7a2d1b5394681,2026-02-09T11:22:45.696185+00:00
