relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
86,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,Senior,,Senior,,1 week ago,https://do.linkedin.com/jobs/view/senior-software-engineer-at-microsoft-4367912659,2026-02-11T10:51:31.716341+00:00
66,QA Engineer | USA,linkedin,Audio QA Engineer,Apple,"Cupertino, CA",On-site,Full-time,,,,,,1 week ago,https://www.linkedin.com/jobs/view/audio-qa-engineer-at-apple-4368406180,2026-02-11T10:49:23.786285+00:00
66,Test Engineer | Switzerland,linkedin,"Software Engineer (Search), MLPT - ASE",Apple,"Zurich, Zurich, Switzerland",On-site,Full-time,,,,,,2 weeks ago,https://ch.linkedin.com/jobs/view/software-engineer-search-mlpt-ase-at-apple-4365885234,2026-02-11T10:49:33.549815+00:00
66,Test Engineer | Czech Republic,linkedin,Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,,,,,1 week ago,https://do.linkedin.com/jobs/view/software-engineer-at-microsoft-4368643702,2026-02-11T10:49:41.124027+00:00
66,Test Engineer | USA,linkedin,"Software Development Engineer in Test (SDET), Video Apps",Apple,"San Diego, CA",On-site,Full-time,,,,,,1 week ago,https://www.linkedin.com/jobs/view/software-development-engineer-in-test-sdet-video-apps-at-apple-4367540331,2026-02-11T10:49:46.301018+00:00
66,Test Engineer | USA,linkedin,"Software Test Engineer, MMQI",Google,"Sunnyvale, CA",On-site,Full-time,,,,,,1 week ago,https://www.linkedin.com/jobs/view/software-test-engineer-mmqi-at-google-4367218810,2026-02-11T10:49:46.301461+00:00
66,Testingenieur | Germany,linkedin,"Test Engineer (Ingolstadt, Automotive)",Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,,,German,,,6 days ago,https://de.linkedin.com/jobs/view/test-engineer-ingolstadt-automotive-at-intellias-4369202080,2026-02-11T10:49:51.198899+00:00
66,Testingenieur | Poland,linkedin,Test Engineer (Android experience required),Intellias,"Cracow, Małopolskie, Poland",On-site,Full-time,,,,,,2 weeks ago,https://pl.linkedin.com/jobs/view/test-engineer-android-experience-required-at-intellias-4366353203,2026-02-11T10:50:05.737884+00:00
66,Test Automation | Germany,linkedin,Test Automation Specialist,Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,Test Automation,Specialist,German,,,14 hours ago,https://de.linkedin.com/jobs/view/test-automation-specialist-at-intellias-4371073208,2026-02-11T10:50:13.301207+00:00
66,Test Automation | Germany,linkedin,Middle Test Automation Engineer,Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,Test Automation,,German,,,18 hours ago,https://de.linkedin.com/jobs/view/middle-test-automation-engineer-at-intellias-4371013759,2026-02-11T10:50:13.301912+00:00
66,Python Developer | Czech Republic,linkedin,Software Engineering - DevDiv Core AI,Microsoft,Dominican Republic,On-site,Full-time,,,,,,1 week ago,https://do.linkedin.com/jobs/view/software-engineering-devdiv-core-ai-at-microsoft-4344495809,2026-02-11T10:50:47.557045+00:00
66,Python Developer | United Kingdom,linkedin,Python Engineer,Data Intellect,"London, England, United Kingdom",On-site,Full-time,Python,,,,,1 week ago,https://uk.linkedin.com/jobs/view/python-engineer-at-data-intellect-4356800817,2026-02-11T10:50:54.929051+00:00
66,Python Test | USA,linkedin,QA Test Automation Engineer,Apple,"San Diego, CA",On-site,Full-time,Test Automation,,,,,3 weeks ago,https://www.linkedin.com/jobs/view/qa-test-automation-engineer-at-apple-4360065049,2026-02-11T10:51:14.626431+00:00
66,Firmware Engineer | Germany,linkedin,Embedded-Softwareentwickler (m/w/d),AMAZONEN-WERKE H. DREYER SE & Co. KG,"Hasbergen, Lower Saxony, Germany",On-site,Full-time,,,German,,,4 weeks ago,https://de.linkedin.com/jobs/view/embedded-softwareentwickler-m-w-d-at-amazonen-werke-h-dreyer-se-co-kg-4352830595,2026-02-11T10:51:19.490265+00:00
66,Firmware Engineer | Austria,linkedin,"Software Development Engineer, Firmware",Apple,"Linz, Upper Austria, Austria",On-site,Full-time,Firmware,,,,,5 days ago,https://at.linkedin.com/jobs/view/software-development-engineer-firmware-at-apple-4369118407,2026-02-11T10:51:21.900102+00:00
