relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
0,Tester | Germany,solcom,Bau­über­wa­cher Tief­bau (m/w/d),SOLCOM Client,"D9, Meiningen/Pfersdorf",On-site,freiberuflich,,,,,,Start: April 2026 / Mai 2026,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-tiefbau-m-w-d-104160,2026-02-11T10:56:17.834207+00:00
0,Tester | Germany,solcom,SAP Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"Remote, München",Remote,freiberuflich,,,,,,Start: 23.02.2026,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-11T10:56:17.834578+00:00
0,Tester | Germany,solcom,Prü­fer zur QA/QC-Un­ter­stüt­zung (m/w/d),SOLCOM Client,D7,On-site,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/pruefer-zur-qa-qc-unterstuetzung-m-w-d-104151,2026-02-11T10:56:17.834933+00:00
0,Tester | Germany,solcom,Em­bed­ded SW Test Ma­na­ger TCP/IP (m/w/d),SOLCOM Client,"CH, Kanton Zürich",On-site,freiberuflich,,,,,,Start: 01.03.2026,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104100,2026-02-11T10:56:17.835284+00:00
0,Tester | Germany,solcom,Lab Equip­ment In­te­gra­ti­on Con­sul­ting and Im­ple­men­ta­ti­on (m/w/d),SOLCOM Client,"Remote, Darmstadt",Remote,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/lab-equipment-integration-consulting-and-implementation-m-w-d-104094,2026-02-11T10:56:17.835607+00:00
0,Tester | Germany,solcom,Se­ni­or Per­for­mance Tes­ter - Linux (m/w/d),SOLCOM Client,Remote,Remote,freiberuflich,,Linux,,,,Start: März 2026,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-02-11T10:56:17.835964+00:00
0,Tester | Germany,solcom,Test­ko­or­di­na­tor für TAP (m/w/d),SOLCOM Client,"D1, Schwerin",On-site,freiberuflich,,R,,,,Start: 15.03.2026,https://www.solcom.de/de/projektportal/projektangebote/testkoordinator-fuer-grossprojekt-m-w-d-104084,2026-02-11T10:56:17.836306+00:00
0,Tester | Germany,solcom,CE-Ko­or­di­na­tor (m/w/d),SOLCOM Client,D7,On-site,freiberuflich,,,,,,Start: ASAP,https://www.solcom.de/de/projektportal/projektangebote/ce-koordinator-m-w-d-104059,2026-02-11T10:56:17.836620+00:00
0,Tester | Germany,solcom,Bau­über­wa­cher Spe­zi­al­tief­bau (m/w/d),SOLCOM Client,"D8, München",On-site,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-spezialtiefbau-m-w-d-103970,2026-02-11T10:56:17.836984+00:00
0,Tester | Germany,solcom,Em­bed­ded Soft­ware-Tes­ter (m/w/d),SOLCOM Client,D7,On-site,freiberuflich,,,,,,Start: asap,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-02-11T10:56:17.837268+00:00
0,Tester | Germany,solcom,Ex­pert Au­to­ma­ti­on Spe­cia­list (m/w/d),SOLCOM Client,"D7, Remote/Großraum Stuttgart",Remote,freiberuflich,,,,,,Start: 01.03.2026,https://www.solcom.de/de/projektportal/projektangebote/expert-automation-specialist-m-w-d-103829,2026-02-11T10:56:17.837568+00:00
