relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
33,QA Engineer | Germany,gulp,"Senior UX Designer and Researcher (m/f/d), prototyping, usability, user research, HCD, Figma",GULP Schweiz AG,Zürich,On-site,Freelance,,Senior,,"Senior, Architect",,23 hours ago,https://www.gulp.de/gulp2/g/projekte/talentfinder/698b109f9ce3311e8de92397,2026-02-11T11:15:08.313634+00:00
33,Python Developer | Germany,gulp,Senior ECMDeveloper/ Doxis Expert (m/f/d),GULP Client,Cologne,Remote,Freelance,,"Senior, Expert",,"Senior, Expert",,17 hours ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01238798,2026-02-11T11:16:38.246335+00:00
33,Python Developer | Germany,gulp,(Lead) Document Controlling (m/f/d),SOLCOM GmbH,D6,On-site,Freelance,,Lead,,"Lead, Contractor",,21 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/57e3096c068311f196d7a2d1b5394681,2026-02-11T11:16:38.247127+00:00
33,Python Test | Germany,gulp,SAP Consultant Logistics / Maintenance (m/f/d),SOLCOM GmbH,"CH, Bern/ Remote",Remote,Freelance,,"Confluence, Expert, Consultant",,"Expert, Consultant",,a day ago,https://www.gulp.de/gulp2/g/projekte/extern/4b14907a066a11f196d7a2d1b5394681,2026-02-11T11:16:53.614911+00:00
33,Python Test | Germany,gulp,Senior ExpertPythonMySQL,GULP Client,siehe Beschreibung,Remote,Freelance,Python,"Senior, Perl, Mysql, Ansible, Rest Api",,"Senior, Expert",,a day ago,https://www.gulp.de/gulp2/g/projekte/direkt/698af225a807795360395d51,2026-02-11T11:16:53.615445+00:00
33,Python Test | Germany,gulp,OT Security Expert (m/f/d),SOLCOM GmbH,D9,On-site,Freelance,,Expert,,"Architect, Expert",,a day ago,https://www.gulp.de/gulp2/g/projekte/extern/c7800508064811f196d7a2d1b5394681,2026-02-11T11:16:53.615721+00:00
20,Tester | Germany,gulp,Senior PerformanceTester- Linux (m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,,"Senior, Linux",,Senior,,a week ago,https://www.gulp.de/gulp2/g/projekte/extern/36e623ea013611f196d7a2d1b5394681,2026-02-11T11:14:51.730996+00:00
20,Tester | Germany,gulp,Content Expert (m/f/d) in,SPS Consulting & Services GmbH,Germany/Remote,Remote,Freelance,,Expert,German,Expert,,06.02.2025,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-02-11T11:14:51.732052+00:00
20,QA Engineer | Germany,gulp,Site Manager - ElectricalEngineering(m/f/d),SOLCOM GmbH,"D2, Hamburg",On-site,Freelance,,Contractor,German,Contractor,,16 minutes ago,https://www.gulp.de/gulp2/g/projekte/extern/8b9aedfa073311f196d7a2d1b5394681,2026-02-11T11:15:08.310401+00:00
20,QA Engineer | Germany,gulp,Senior Embedded CommunicationsEngineer(C/C++ / ARM/FPGA) (m/f/d),SOLCOM GmbH,Remote,Remote,Freelance,"C, C++, Arm","Vhdl, Soc, Senior, Fpga",,Senior,,16 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/52a9fba206ad11f196d7a2d1b5394681,2026-02-11T11:15:08.310939+00:00
20,QA Engineer | Germany,gulp,Senior NetworkEngineer(Cisco) (m/f/d),SOLCOM GmbH,D2,On-site,Freelance,,"Senior, Linux","German, English",Senior,,16 hours ago,https://www.gulp.de/gulp2/g/projekte/extern/5a68053c06ad11f196d7a2d1b5394681,2026-02-11T11:15:08.311782+00:00
20,QA Engineer | Germany,gulp,REMOTE: Expert for Automic CDA / Deployment Automation (m/f/d),GULP Client,Frankfurt am Main,Remote,Freelance,,"Devops, Expert",,Expert,,17 hours ago,https://www.gulp.de/gulp2/g/projekte/agentur/C01238896,2026-02-11T11:15:08.312319+00:00
