relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Systems Engineer / Functional Safety Expert (m/w/d),Hays Client,Mannheim,On-site,Contract,,Expert,German,Expert,,23.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systems-engineer-functional-safety-expert-mannheim-858329/1,2026-02-11T20:31:21.064632+00:00
14,Tester | Germany,hays,Projektmanager Vertrieb - Energie (m/w/d),Hays Client,Augsburg,On-site,Contract,,Lead,German,Lead,,05.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektmanager-vertrieb-energie-augsburg-852793/1,2026-02-11T20:31:21.065931+00:00
14,Tester | Germany,hays,Bauüberwacher Tief- und Hochbau (m/w/d),Hays Client,Köln,On-site,Contract,,,German,Contractor,,10.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauueberwacher-tief--und-hochbau-koeln-843837/1,2026-02-11T20:31:21.066488+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Spring Boot, Mongodb, Kubernetes, Postgresql, Microservices, Senior",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-02-11T20:31:46.742680+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"R, Senior",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-02-11T20:31:46.743759+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Qt / C++ (m/w/d),Hays Client,Berlin,On-site,Contract,"C, C++","R, Senior",German,Senior,,09.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-qt-c-berlin-858527/1,2026-02-11T20:32:09.963329+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,23.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-02-11T20:32:09.967184+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Java (m/w/d),Hays Client,Bundesweit,On-site,Contract,Java,Senior,German,Senior,,22.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-java-bundesweit-845396/1,2026-02-11T20:32:09.967481+00:00
14,Test Automation | Germany,hays,Savvy Berater  (m/w/d),Hays Client,Remote,Remote,Contract,,Consultant,German,Consultant,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-savvy-berater--remote-860283/1,2026-02-11T20:33:00.256404+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Linux, Senior",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-02-11T20:33:00.256912+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert Automotive (m/w/d),Hays Client,Chemnitz,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","R, Devops, Azure, Canoe, Expert, Gitlab Ci, Iso 26262, Autosar, Gitlab",German,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-automotive-chemnitz-847500/1,2026-02-11T20:33:00.258944+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","R, Devops, Azure, Canoe, Expert, Gitlab Ci, Iso 26262, Autosar, Gitlab",German,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-02-11T20:33:00.259190+00:00
14,Test Automation | Germany,hays,IT-Architekt  (m/w/d),Hays Client,Hamburg,On-site,Contract,,Architect,German,Architect,,14.07.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-architekt--hamburg-830234/1,2026-02-11T20:33:00.260197+00:00
