relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,Ci/Cd,"Jira, Lead, R, Freelancer, Safe, Scrum, Zephyr, Rest Api",German,"Freelancer, Lead, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104100,2026-02-11T20:36:23.684631+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,Can,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-02-11T20:36:23.685264+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Senior, Lead",English,"Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-02-11T20:37:26.155580+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,Remote,Freelance,,"Lead, Canoe, R",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-02-11T20:38:25.181802+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Senior, Linux, R, Docker, Ansible, Freelancer, Project Manager",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-02-11T20:38:25.181900+00:00
14,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, remote",Remote,Freelance,"C, Hil, Microcontroller, Python, Test Automation","Linux, R, Freelancer, Aspice, Iso 26262",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-system-testingenieur-m-w-d-103932,2026-02-11T20:39:27.240416+00:00
0,Tester | Germany,solcom,Bau­über­wa­cher Tief­bau (m/w/d),SOLCOM Client,"D9, Meiningen/Pfersdorf",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-tiefbau-m-w-d-104160,2026-02-11T20:36:23.684245+00:00
0,Tester | Germany,solcom,SAP Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-11T20:36:23.684379+00:00
0,Tester | Germany,solcom,Prü­fer zur QA/QC-Un­ter­stüt­zung (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pruefer-zur-qa-qc-unterstuetzung-m-w-d-104151,2026-02-11T20:36:23.684501+00:00
0,Tester | Germany,solcom,Lab Equip­ment In­te­gra­ti­on Con­sul­ting and Im­ple­men­ta­ti­on (m/w/d),SOLCOM Client,"Remote, Darmstadt",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lab-equipment-integration-consulting-and-implementation-m-w-d-104094,2026-02-11T20:36:23.684747+00:00
0,Tester | Germany,solcom,Se­ni­or Per­for­mance Tes­ter - Linux (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-02-11T20:36:23.684852+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Schwerin",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testkoordinator-fuer-grossprojekt-m-w-d-104084,2026-02-11T20:36:23.684960+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,C,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ce-koordinator-m-w-d-104059,2026-02-11T20:36:23.685065+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-spezialtiefbau-m-w-d-103970,2026-02-11T20:36:23.685163+00:00
0,Tester | Germany,solcom,Ex­pert Au­to­ma­ti­on Spe­cia­list (m/w/d),SOLCOM Client,"D7, Remote/Großraum Stuttgart",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/expert-automation-specialist-m-w-d-103829,2026-02-11T20:36:23.685363+00:00
0,Tester | Germany,solcom,Se­ni­or Au­to­ma­ti­on Spe­cia­list (m/w/d),SOLCOM Client,"D7, Remote/Großraum Stuttgart",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automation-specialist-m-w-d-103826,2026-02-11T20:36:23.685461+00:00
0,Tester | Germany,solcom,SAP Test­ma­na­ger für eine S/4 Hana Mi­gra­ti­on (m/w/d),SOLCOM Client,"D7, Remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-testmanager-fuer-eine-s-4-hana-migration-m-w-d-103563,2026-02-11T20:36:23.685570+00:00
0,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, GR Bremen",On-site,Freelance,,"Mil, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/quality-manager-marine-schiffbau-m-w-d-103733,2026-02-11T20:37:26.155803+00:00
