relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,Ci/Cd,"R, Freelancer, Safe, Jira, Zephyr, Scrum, Lead, Rest Api",German,"Freelancer, Lead, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104100,2026-02-13T10:49:17.929801+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,Can,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-02-13T10:49:17.930314+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote/Großraum Stuttgart",Remote,Freelance,Test Automation,"Expert, R, Freelancer",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/expert-automation-specialist-m-w-d-103829,2026-02-13T10:49:17.930412+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Lead, Senior",English,"Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-02-13T10:50:20.331243+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Remote",Remote,Freelance,,"R, Senior",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-02-13T10:51:23.147321+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,Remote,Freelance,,"Canoe, R, Lead",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-02-13T10:51:23.147749+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","R, Freelancer, Docker, Ansible, Linux, Project Manager, Senior",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-02-13T10:51:23.147846+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","R, Freelancer, Architect",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-103942,2026-02-13T10:53:28.425909+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Konstanz",Remote,Freelance,"C, C++, Python","R, Deep Learning, Architect, Aws",German,Architect,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-systems-architect-industrial-ml-m-w-d-104315,2026-02-13T10:55:29.600152+00:00
0,Tester | Germany,solcom,Test­ma­na­ger SAP Cloud ALM ( CALM) (m/w/d),SOLCOM Client,D3,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-02-13T10:49:17.929316+00:00
0,Tester | Germany,solcom,Bau­über­wa­cher Tief­bau (m/w/d),SOLCOM Client,"D9, Meiningen/Pfersdorf",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-tiefbau-m-w-d-104160,2026-02-13T10:49:17.929450+00:00
0,Tester | Germany,solcom,SAP Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-13T10:49:17.929564+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pruefer-zur-qa-qc-unterstuetzung-m-w-d-104151,2026-02-13T10:49:17.929688+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Darmstadt",Remote,Freelance,,"R, Azure",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lab-equipment-integration-consulting-and-implementation-m-w-d-104094,2026-02-13T10:49:17.929906+00:00
0,Tester | Germany,solcom,Se­ni­or Per­for­mance Tes­ter - Linux (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-02-13T10:49:17.930007+00:00
0,Tester | Germany,solcom,CE-Ko­or­di­na­tor (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ce-koordinator-m-w-d-104059,2026-02-13T10:49:17.930112+00:00
0,Tester | Germany,solcom,Bau­über­wa­cher Spe­zi­al­tief­bau (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-spezialtiefbau-m-w-d-103970,2026-02-13T10:49:17.930215+00:00
