relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Systems Engineer / Functional Safety Expert (m/w/d),Hays Client,Mannheim,On-site,Contract,,Expert,German,Expert,,23.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systems-engineer-functional-safety-expert-mannheim-858329/1,2026-02-15T10:30:51.856635+00:00
14,Tester | Germany,hays,Bauüberwacher Tief- und Hochbau (m/w/d),Hays Client,Köln,On-site,Contract,,,German,Contractor,,10.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauueberwacher-tief--und-hochbau-koeln-843837/1,2026-02-15T10:30:51.858400+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Mongodb, Spring Boot, Senior, Microservices, Kubernetes, Postgresql",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-02-15T10:31:16.656473+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"Senior, R",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-02-15T10:31:16.657594+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Qt / C++ (m/w/d),Hays Client,Berlin,On-site,Contract,"C, C++","Senior, R",German,Senior,,09.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-qt-c-berlin-858527/1,2026-02-15T10:31:40.259658+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,23.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-02-15T10:31:40.263491+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Java (m/w/d),Hays Client,Bundesweit,On-site,Contract,Java,Senior,German,Senior,,22.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-java-bundesweit-845396/1,2026-02-15T10:31:40.263802+00:00
14,Test Automation | Germany,hays,Savvy Berater  (m/w/d),Hays Client,Remote,Remote,Contract,,Consultant,German,Consultant,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-savvy-berater--remote-860283/1,2026-02-15T10:32:31.591826+00:00
14,Test Automation | Germany,hays,Lead Engineer oder Experte Stationsleittechnik in der Energieversorgung (m/w/d),Hays Client,Erlangen,On-site,Contract,,"Expert, R, Lead",German,"Expert, Lead",,02.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-engineer-oder-experte-stationsleittechnik-in-der-energieversorgung-erlangen-852227/1,2026-02-15T10:32:31.594111+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert Automotive (m/w/d),Hays Client,Chemnitz,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Gitlab, Autosar, Canoe, Azure, Devops, Expert, Gitlab Ci, R, Iso 26262",German,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-automotive-chemnitz-847500/1,2026-02-15T10:32:31.594616+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Gitlab, Autosar, Canoe, Azure, Devops, Expert, Gitlab Ci, R, Iso 26262",German,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-02-15T10:32:31.594862+00:00
14,Python Developer | Germany,hays,Senior Software Developer (m/w/d),Hays Client,Rheine,On-site,Contract,Python,"Senior, R, Junior",German,Senior,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-rheine-852449/1,2026-02-15T10:32:57.567994+00:00
14,Python Developer | Germany,hays,"Senior Fullstack Engineer (Golang, C++, Python) (m/w/d)",Hays Client,Wien,On-site,Contract,"C, C++, Python","Golang, Senior",German,Senior,,30.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-fullstack-engineer-golang-c-python-wien-859612/1,2026-02-15T10:32:57.568268+00:00
14,Python Developer | Germany,hays,(Senior) C++ Developer for Audio Domain for a premium automotive company (m/f/d),Hays Client,Berlin,On-site,Contract,"C, C++, Ci/Cd, Python","Gitlab, Agile, Docker, Git, Scrum, Senior",English,Senior,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-c-developer-for-audio-domain-for-a-premium-automotive-company-berlin-813356/1,2026-02-15T10:32:57.570356+00:00
14,Python Test | Germany,hays,Expert Integration & Test von Röntgendetektoren (m/w/d),Hays Client,Forchheim,On-site,Contract,,"Expert, R",German,Expert,,02.01.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-expert-integration-test-von-roentgendetektoren-forchheim-855469/1,2026-02-15T10:33:22.202035+00:00
14,Python Test | Germany,hays,Experte KI Shopfloor (m/w/d),Hays Client,Remote,Remote,Contract,,"Azure, Expert, Deep Learning, Aws",German,Expert,,16.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-ki-shopfloor-remote-844595/1,2026-02-15T10:33:22.205022+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,Senior,German,Senior,,18.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-833642/1,2026-02-15T10:33:22.205764+00:00
14,Python Test | Austria,hays,Senior Project Manager Clinical Supply Systems (m/w/d),Hays Client,Großraum Ludwigshafen,On-site,Contract,,"Senior, R, Project Manager",German,Senior,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-project-manager-clinical-supply-systems-grossraum-ludwigshafen-800659/1,2026-02-15T10:33:26.977331+00:00
