relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, München",Remote,Freelance,,"Freelancer, Senior, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-15T10:35:35.624426+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,Ci/Cd,"Rest Api, Scrum, Lead, Zephyr, Safe, Freelancer, Jira, R",German,"Freelancer, Lead, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104100,2026-02-15T10:35:35.624659+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Freelancer, Linux, Senior, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-02-15T10:35:35.624880+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,Can,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-02-15T10:35:35.625173+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote/Großraum Stuttgart",Remote,Freelance,Test Automation,"Expert, Freelancer, R",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/expert-automation-specialist-m-w-d-103829,2026-02-15T10:35:35.625270+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote/Großraum Stuttgart",Remote,Freelance,"Ci/Cd, Test Automation","Senior, Freelancer, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automation-specialist-m-w-d-103826,2026-02-15T10:35:35.625368+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Senior, Lead",English,"Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-02-15T10:36:37.746348+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Remote",Remote,Freelance,,"Senior, R",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-02-15T10:37:39.459314+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","Architect, Freelancer, R",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-103942,2026-02-15T10:39:41.234129+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Konstanz",Remote,Freelance,"C, C++, Python","Architect, Deep Learning, Aws, R",German,Architect,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-systems-architect-industrial-ml-m-w-d-104315,2026-02-15T10:41:39.476518+00:00
0,Tester | Germany,solcom,Test­ma­na­ger SAP Cloud ALM ( CALM) (m/w/d),SOLCOM Client,D3,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-02-15T10:35:35.624182+00:00
