relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Test Manager SAP Cloud ALM ( CALM) (m/f/d),GULP Client,Location: D3,On-site,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d8235140080411f196d7a2d1b5394681,2026-02-15T11:00:52.742022+00:00
14,Tester | Germany,gulp,Senior Performance Tester - Linux (m/f/d),GULP Client,Germany,Remote,Freelance,,"Senior, Linux",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/36e623ea013611f196d7a2d1b5394681,2026-02-15T11:00:52.744171+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-02-15T11:00:52.746049+00:00
14,QA Engineer | Germany,gulp,Consultant (f/m/d),GULP Client,"Location: Rhein-Main Gebiet, Remote",Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5dbc3e1a08ec11f196d7a2d1b5394681,2026-02-15T11:01:39.794713+00:00
14,QA Engineer | Germany,gulp,Test Manager Wanted,GULP Client,Location: onsite,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698f39b67f42557b82e09e71,2026-02-15T11:01:39.795258+00:00
14,Test Automation | Germany,gulp,Consultant for MDM integration with a focus on Apple,GULP Client,Location: München,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698e0f69b86aec35538e96c5,2026-02-15T11:04:07.485723+00:00
14,Test Automation | Germany,gulp,Senior QA Engineer (m/f/d) -Test Automation& Integration,GULP Client,Location: Berlin,Remote,Freelance,Test Automation,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240492,2026-02-15T11:04:07.486185+00:00
14,Test Automation | Germany,gulp,Senior QA Automation Engineer (m/f/d) - 95% remote,GULP Client,Location: Berlin,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01240474,2026-02-15T11:04:07.486671+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca689b86aec35538cb035,2026-02-15T11:04:07.487217+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca688b86aec35538cb019,2026-02-15T11:04:07.487780+00:00
14,Test Automation | Germany,gulp,Senior Engineer for Photonic Module Characterization (m/f/d),GULP Client,Location: Stuttgart,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01224100,2026-02-15T11:04:07.491431+00:00
