relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-microsoft-4367912659,2026-02-17T10:45:52.162644+00:00
29,QA Engineer | Germany,linkedin,Middle Test Automation Engineer,Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,Test Automation,,English,,,Recent,https://de.linkedin.com/jobs/view/middle-test-automation-engineer-at-intellias-4371013759,2026-02-17T10:43:27.604076+00:00
29,Test Engineer | Switzerland,linkedin,"Software Engineer (Search), MLPT - ASE",Apple,"Zurich, Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-engineer-search-mlpt-ase-at-apple-4365885234,2026-02-17T10:43:54.441099+00:00
29,Testingenieur | Germany,linkedin,"Test Engineer (Ingolstadt, Automotive)",Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-ingolstadt-automotive-at-intellias-4369202080,2026-02-17T10:44:11.746608+00:00
29,Testingenieur | Germany,linkedin,Test Engineer (Automotive),Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-automotive-at-intellias-4373570587,2026-02-17T10:44:11.746780+00:00
29,Testingenieur | Poland,linkedin,Test Engineer (Android experience required),Intellias,"Cracow, Małopolskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/test-engineer-android-experience-required-at-intellias-4366353203,2026-02-17T10:44:26.179741+00:00
29,Test Automation | Germany,linkedin,Test Automation Specialist,Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,Test Automation,,English,,,Recent,https://de.linkedin.com/jobs/view/test-automation-specialist-at-intellias-4371073208,2026-02-17T10:44:33.677455+00:00
29,Test Automation | Germany,linkedin,Middle Test Automation Engineer,Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,Test Automation,,English,,,Recent,https://de.linkedin.com/jobs/view/middle-test-automation-engineer-at-intellias-4373575295,2026-02-17T10:44:33.677770+00:00
29,Test Automation | USA,linkedin,"Software Quality Engineer, Media",Apple,"San Diego, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-quality-engineer-media-at-apple-4372961499,2026-02-17T10:44:50.811900+00:00
29,Python Test | Czech Republic,linkedin,AI Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/ai-software-engineer-at-microsoft-4358974601,2026-02-17T10:45:29.823864+00:00
29,Firmware Engineer | Austria,linkedin,"Software Development Engineer, Firmware",Apple,"Linz, Upper Austria, Austria",On-site,Full-time,Firmware,,English,,,Recent,https://at.linkedin.com/jobs/view/software-development-engineer-firmware-at-apple-4369118407,2026-02-17T10:45:42.446140+00:00
