relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, München",Remote,Freelance,,"R, Freelancer, Senior",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-17T10:54:44.950850+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,Ci/Cd,"Jira, Rest Api, R, Scrum, Safe, Zephyr, Freelancer, Lead",German,"Freelancer, Lead, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104100,2026-02-17T10:54:44.951101+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Linux, R, Freelancer, Senior",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-02-17T10:54:44.951206+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,Can,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-02-17T10:54:44.951517+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Lead, Senior",English,"Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-02-17T10:55:47.059861+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Hybrid,Freelance,Ci/Cd,"Kubernetes, R, Azure, Expert, Openshift, Freelancer, Google Cloud",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/experte-platform-engineering-m-w-d-104372,2026-02-17T10:56:49.095914+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Remote",Remote,Freelance,,"R, Senior",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-02-17T10:56:49.096067+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Ansible, R, Senior, Docker, Linux, Freelancer, Project Manager",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-02-17T10:56:49.096593+00:00
14,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, remote",Remote,Freelance,"C, Hil, Microcontroller, Python, Test Automation","R, Iso 26262, Linux, Aspice, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-system-testingenieur-m-w-d-103932,2026-02-17T10:57:51.027603+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"C, C++, Ci/Cd","R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-02-17T10:58:50.563355+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Konstanz",Remote,Freelance,"C, C++, Python","Aws, Deep Learning, R, Architect",German,Architect,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-systems-architect-industrial-ml-m-w-d-104315,2026-02-17T11:00:52.215891+00:00
