relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,Can,"Expert, R, Canoe",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-02-17T12:05:12.389906+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-02-17T12:05:12.392927+00:00
14,Tester | Germany,ferchau,Software Tester (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","Expert, R, Scrum, C#, Kanban, Jira, Agile",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446824/software-tester,2026-02-17T12:05:12.394685+00:00
14,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Expert, R, Scrum, C#, Git, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-02-17T12:05:12.397335+00:00
14,QA Engineer | Germany,ferchau,(Lead) Test Automation Engineer - .NET / C# (m/f/d),FERCHAU,Wrocław Poland,Remote,Full-time,"C, Ci/Cd, Test Automation","Linux, Lead, Azure, C#, Docker, Git, Jira, Devops",English,Lead,,Recent,https://touch.ferchau.com/de/de/job/484519/lead-test-automation-engineer-net-c,2026-02-17T12:05:22.191233+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Expert, Scrum, R, Kanban, Cucumber",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-02-17T12:05:22.192040+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-02-17T12:05:22.193283+00:00
14,Test Engineer | Germany,ferchau,System Test Engineer (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,"C, C++, Python","Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/493645/system-test-engineer,2026-02-17T12:05:31.443530+00:00
14,Test Engineer | Germany,ferchau,Lead Mechanical Design Engineer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,,"Assembly, Lead",English,Lead,,Recent,https://touch.ferchau.com/de/de/job/489889/lead-mechanical-design-engineer,2026-02-17T12:05:31.446632+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-02-17T12:05:41.262445+00:00
14,Testingenieur | Germany,ferchau,Versuchsingenieur / Testingenieur (m/w/d),FERCHAU,Augs­burg Deut­sch­land,Remote,Full-time,Python,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/486814/versuchsingenieur-testingenieur,2026-02-17T12:05:41.265141+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Hybrid,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/243886/testingenieur-medizintechnik,2026-02-17T12:05:41.266670+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Vor Ort,Full-time,"Can, Hil, Python","Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/334791/testingenieur,2026-02-17T12:05:41.267426+00:00
14,Test Automation | Germany,ferchau,Process Automation Engineer (m/f/d),FERCHAU,Wrocław Poland,Hybrid,Full-time,,"Expert, Lead",English,"Expert, Lead",,Recent,https://touch.ferchau.com/de/de/job/489412/process-automation-engineer,2026-02-17T12:05:51.005681+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"R, Senior",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-02-17T12:05:51.008785+00:00
14,Test Automation | Germany,ferchau,Automatisierungsingenieur / Automatisierungstechniker (m/w/d),FERCHAU,Aachen Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/347089/automatisierungsingenieur-automatisierungstechniker,2026-02-17T12:05:51.010717+00:00
14,Python Developer | Germany,ferchau,Senior Python Developer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,"C, C++, Python","Linux, Docker, Pytorch, Senior",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/479218/senior-python-developer,2026-02-17T12:06:00.916175+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Expert, Linux, R, Sql, Nosql, Junior",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-02-17T12:06:00.918048+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","Expert, R, Angular",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-02-17T12:06:00.922490+00:00
14,Python Developer | Germany,ferchau,Senior Software Python Engineer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,"Ci/Cd, Go, Python","Lead, Senior",English,"Lead, Senior",,Recent,https://touch.ferchau.com/de/de/job/490762/senior-software-python-engineer,2026-02-17T12:06:00.923523+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Rostock Deut­sch­land,Remote,Full-time,"C, C++, Python","Expert, R",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/288574/softwaretester,2026-02-17T12:06:10.849295+00:00
14,Python Test | Germany,ferchau,Embedded-Software- und Systemtester (m/w/d),FERCHAU,Gießen Deut­sch­land,Remote,Full-time,"C, C++, Embedded Systems, Hil, Python, Sil","Expert, R, Scrum",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/348925/embedded-software-und-systemtester,2026-02-17T12:06:10.852023+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Neubran­den­burg Deut­sch­land,Hybrid,Full-time,"C, C++, Python",R,German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/294622/softwaretester,2026-02-17T12:06:10.854329+00:00
14,Firmware Engineer | Germany,ferchau,Embedded Firmware Engineer (m/w/d),FERCHAU,Hall in Tirol Öster­reich,Remote,Full-time,"Arm, C, C++, Ci/Cd, Embedded Systems, Firmware, Python, Rtos","Expert, R, Zephyr",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/490867/embedded-firmware-engineer,2026-02-17T12:06:20.008951+00:00
14,Firmware Engineer | Germany,ferchau,Embedded Systems Engineer (m/w/d),FERCHAU,Darm­stadt Deut­sch­land,Hybrid,Full-time,"C, C++, Can, Embedded Systems","Expert, R, Fpga, Vhdl",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/489628/embedded-systems-engineer,2026-02-17T12:06:20.009933+00:00
