relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,QA Engineer | Germany,linkedin,Entry-Level Quality Assurance Engineer,EUPHA DH & AI -  Digital Health and Artificial Intelligence Section EUPHA,"Berlin, Germany",On-site,Full-time,,Entry-Level,English,,,Recent,https://de.linkedin.com/jobs/view/entry-level-quality-assurance-engineer-at-eupha-dh-ai-digital-health-and-artificial-intelligence-section-eupha-4375128804,2026-02-19T10:41:22.435787+00:00
29,QA Engineer | Germany,linkedin,Middle Test Automation Engineer,Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,Test Automation,,English,,,Recent,https://de.linkedin.com/jobs/view/middle-test-automation-engineer-at-intellias-4371013759,2026-02-19T10:41:22.435953+00:00
29,Test Engineer | Switzerland,linkedin,"Software Engineer (Search), MLPT - ASE",Apple,"Zurich, Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-engineer-search-mlpt-ase-at-apple-4365885234,2026-02-19T10:41:49.282183+00:00
29,Test Engineer | Czech Republic,linkedin,Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/software-engineer-at-microsoft-4358545163,2026-02-19T10:41:56.501960+00:00
29,Testingenieur | Germany,linkedin,"Test Engineer (Ingolstadt, Automotive)",Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/test-engineer-ingolstadt-automotive-at-intellias-4369202080,2026-02-19T10:42:06.614777+00:00
29,Testingenieur | Poland,linkedin,Test Engineer (Android experience required),Intellias,"Cracow, Małopolskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/test-engineer-android-experience-required-at-intellias-4366353203,2026-02-19T10:42:21.032653+00:00
29,Test Automation | Germany,linkedin,Test Automation Specialist,Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,Test Automation,,English,,,Recent,https://de.linkedin.com/jobs/view/test-automation-specialist-at-intellias-4371073208,2026-02-19T10:42:28.572101+00:00
29,Test Automation | Germany,linkedin,Middle Test Automation Engineer,Intellias,"Ingolstadt, Bavaria, Germany",On-site,Full-time,Test Automation,,English,,,Recent,https://de.linkedin.com/jobs/view/middle-test-automation-engineer-at-intellias-4373575295,2026-02-19T10:42:28.572574+00:00
29,Python Test | Czech Republic,linkedin,AI Software Engineer,Microsoft,Dominican Republic,On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/ai-software-engineer-at-microsoft-4358974601,2026-02-19T10:43:24.823478+00:00
29,Firmware Engineer | Austria,linkedin,"Software Development Engineer, Firmware",Apple,"Linz, Upper Austria, Austria",On-site,Full-time,Firmware,,English,,,Recent,https://at.linkedin.com/jobs/view/software-development-engineer-firmware-at-apple-4369118407,2026-02-19T10:43:37.319651+00:00
29,Firmware Engineer | Czech Republic,linkedin,Software Engineer - ASP.NET Platform,Microsoft,Dominican Republic,On-site,Full-time,,,English,,,Recent,https://do.linkedin.com/jobs/view/software-engineer-asp-net-platform-at-microsoft-4370985648,2026-02-19T10:43:46.912662+00:00
