relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Kubernetes, Postgresql, Mongodb, Microservices, Senior, Spring Boot",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-02-19T10:47:45.896903+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"Senior, R",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-02-19T10:47:45.897970+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Qt / C++ (m/w/d),Hays Client,Berlin,On-site,Contract,"C, C++","Senior, R",German,Senior,,09.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-qt-c-berlin-858527/1,2026-02-19T10:48:10.686870+00:00
14,Test Engineer | Germany,hays,Lead Engineer oder Experte Stationsleittechnik in der Energieversorgung (m/w/d),Hays Client,Erlangen,On-site,Contract,,"Lead, Expert, R",German,"Expert, Lead",,02.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-engineer-oder-experte-stationsleittechnik-in-der-energieversorgung-erlangen-852227/1,2026-02-19T10:48:10.689502+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,23.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-02-19T10:48:10.690820+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Java (m/w/d),Hays Client,Bundesweit,On-site,Contract,Java,Senior,German,Senior,,22.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-java-bundesweit-845396/1,2026-02-19T10:48:10.691072+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Linux, Senior",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-02-19T10:49:02.293632+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert Automotive (m/w/d),Hays Client,Chemnitz,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Autosar, Azure, R, Iso 26262, Gitlab Ci, Expert, Devops, Gitlab, Canoe",German,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-automotive-chemnitz-847500/1,2026-02-19T10:49:02.296185+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Autosar, Azure, R, Iso 26262, Gitlab Ci, Expert, Devops, Gitlab, Canoe",German,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-02-19T10:49:02.296432+00:00
14,Python Developer | Germany,hays,Senior Software Developer (m/w/d),Hays Client,Rheine,On-site,Contract,Python,"Senior, Junior, R",German,Senior,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-rheine-852449/1,2026-02-19T10:49:29.946525+00:00
14,Python Developer | Germany,hays,(Senior) C++ Developer for Audio Domain for a premium automotive company (m/f/d),Hays Client,Berlin,On-site,Contract,"C, C++, Ci/Cd, Python","Agile, Scrum, Senior, Git, Gitlab, Docker",English,Senior,,24.09.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-c-developer-for-audio-domain-for-a-premium-automotive-company-berlin-813356/1,2026-02-19T10:49:29.948411+00:00
