relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-02-19T12:02:58.864104+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-02-19T12:02:58.864872+00:00
14,Tester | Germany,ferchau,Software Tester (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","C#, Expert, R, Agile, Scrum, Jira, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446824/software-tester,2026-02-19T12:02:58.865835+00:00
14,Tester | Germany,ferchau,Softwaretester HiL Systeme (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,"C, C++, Can, Hil","Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/217659/softwaretester-hil-systeme,2026-02-19T12:02:58.867523+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Testng, Expert, R, Scrum, Junit, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/307261/softwaretester,2026-02-19T12:02:58.868263+00:00
14,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,"Java, Test Automation","Expert, R, Cucumber, Sql",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/494023/test-automation-engineer,2026-02-19T12:03:07.878809+00:00
14,QA Engineer | Germany,ferchau,(Lead) Test Automation Engineer - .NET / C# (m/f/d),FERCHAU,Wrocław Poland,Remote,Full-time,"C, Ci/Cd, Test Automation","C#, Devops, Lead, Jira, Docker, Linux, Azure, Git",English,Lead,,Recent,https://touch.ferchau.com/de/de/job/484519/lead-test-automation-engineer-net-c,2026-02-19T12:03:07.881636+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-02-19T12:03:07.884787+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","C#, Expert, R, Scrum, Kanban, Git",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-02-19T12:03:17.709841+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-02-19T12:03:17.710795+00:00
14,Test Engineer | Germany,ferchau,Senior DevOps Engineer (m/w/d) in Direktvermittlung,FERCHAU,München Deut­sch­land,Remote,Full-time,Ci/Cd,"Senior, R, Devops, Azure",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/439771/senior-devops-engineer-in-direktvermittlung,2026-02-19T12:03:17.715652+00:00
