relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Bauüberwacher Tief- und Hochbau (m/w/d),Hays Client,Köln,On-site,Contract,,,German,Contractor,,10.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauueberwacher-tief--und-hochbau-koeln-843837/1,2026-02-21T10:30:07.273418+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Postgresql, Mongodb, Kubernetes, Senior, Spring Boot, Microservices",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-02-21T10:30:31.481684+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"R, Senior",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-02-21T10:30:31.482762+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Qt / C++ (m/w/d),Hays Client,Berlin,On-site,Contract,"C, C++","R, Senior",German,Senior,,09.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-qt-c-berlin-858527/1,2026-02-21T10:30:55.868132+00:00
14,Test Engineer | Germany,hays,Lead Engineer oder Experte Stationsleittechnik in der Energieversorgung (m/w/d),Hays Client,Erlangen,On-site,Contract,,"Lead, Expert, R",German,"Expert, Lead",,02.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-engineer-oder-experte-stationsleittechnik-in-der-energieversorgung-erlangen-852227/1,2026-02-21T10:30:55.870458+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,23.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-02-21T10:30:55.871493+00:00
14,Test Engineer | Germany,hays,Senior Software Engineer Java (m/w/d),Hays Client,Bundesweit,On-site,Contract,Java,Senior,German,Senior,,22.10.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-engineer-java-bundesweit-845396/1,2026-02-21T10:30:55.871737+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Senior, Linux",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-02-21T10:31:42.864671+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert Automotive (m/w/d),Hays Client,Chemnitz,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","R, Devops, Expert, Canoe, Gitlab, Autosar, Azure, Iso 26262, Gitlab Ci",German,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-automotive-chemnitz-847500/1,2026-02-21T10:31:42.866985+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","R, Devops, Expert, Canoe, Gitlab, Autosar, Azure, Iso 26262, Gitlab Ci",German,Expert,,04.11.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-02-21T10:31:42.867236+00:00
14,Python Developer | Germany,hays,Senior Software Developer (m/w/d),Hays Client,Rheine,On-site,Contract,Python,"R, Junior, Senior",German,Senior,,02.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-rheine-852449/1,2026-02-21T10:32:16.307946+00:00
