relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,Can,"Expert, Canoe, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-02-21T11:44:55.222297+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-02-21T11:44:55.225382+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-02-21T11:44:55.226146+00:00
14,Tester | Germany,ferchau,Software Tester (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","Agile, Expert, Scrum, C#, Kanban, R, Jira",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446824/software-tester,2026-02-21T11:44:55.227103+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Expert, Scrum, Junit, Kanban, R, Testng",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/307261/softwaretester,2026-02-21T11:44:55.228933+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Bremen Deut­sch­land,Vor Ort,Full-time,Jenkins,"Expert, Junit, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/347974/softwaretester,2026-02-21T11:44:55.229813+00:00
14,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Kassel Deut­sch­land,Hybrid,Full-time,"C, Java, Python","Expert, C#, R, Jira",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/472864/systemtester,2026-02-21T11:44:55.230494+00:00
14,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,"Java, Test Automation","Expert, Cucumber, Sql, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/494023/test-automation-engineer,2026-02-21T11:45:04.166789+00:00
14,QA Engineer | Germany,ferchau,(Lead) Test Automation Engineer - .NET / C# (m/f/d),FERCHAU,Wrocław Poland,Remote,Full-time,"C, Ci/Cd, Test Automation","Linux, C#, Devops, Lead, Azure, Git, Docker, Jira",English,Lead,,Recent,https://touch.ferchau.com/de/de/job/484519/lead-test-automation-engineer-net-c,2026-02-21T11:45:04.169612+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Expert, Scrum, Cucumber, Kanban, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-02-21T11:45:04.170395+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-02-21T11:45:04.172750+00:00
