relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Lead Test An­bin­dung En­er­gie­da­ten­ma­nage­ment (m/w/d),SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-02-23T11:00:29.072419+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-02-23T11:00:29.072695+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, München",Remote,Freelance,,"Freelancer, Senior, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-23T11:00:29.073026+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Freelancer, Senior, R, Linux",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-02-23T11:00:29.073131+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Senior, Lead",English,"Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-02-23T11:01:29.467584+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","R, Ansible, Freelancer, Linux, Senior, Project Manager, Docker",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-02-23T11:02:31.649705+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"C, C++, Ci/Cd","R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-02-23T11:04:32.597888+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Konstanz",Remote,Freelance,"C, C++, Python","R, Architect, Deep Learning, Aws",German,Architect,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-systems-architect-industrial-ml-m-w-d-104315,2026-02-23T11:06:32.981888+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, vorwiegend vor Ort",On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ingenieur-verfahrenstechniker-inbetriebnahme-nass-trockenreinigungsanlagen-m-w-d-104453,2026-02-23T11:00:29.072274+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D0,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/technische-dokumentation-m-w-d-104389,2026-02-23T11:00:29.072544+00:00
0,Tester | Germany,solcom,Test­ma­na­ger SAP Cloud ALM ( CALM) (m/w/d),SOLCOM Client,D3,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-02-23T11:00:29.072810+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D9, Meiningen/Pfersdorf",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-tiefbau-m-w-d-104160,2026-02-23T11:00:29.072922+00:00
0,Tester | Germany,solcom,CE-Ko­or­di­na­tor (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ce-koordinator-m-w-d-104059,2026-02-23T11:00:29.073232+00:00
