relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,Can,"R, Expert, Canoe",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-02-23T12:08:26.347272+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-02-23T12:08:26.349509+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-02-23T12:08:26.350047+00:00
14,Tester | Germany,ferchau,Software Tester (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","Expert, Agile, Scrum, R, Kanban, C#, Jira",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446824/software-tester,2026-02-23T12:08:26.350742+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Biele­feld Deut­sch­land,Remote,Full-time,"C, C++, Embedded Linux, Python","Expert, R, Linux",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/186741/softwaretester,2026-02-23T12:08:26.352054+00:00
14,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,"Java, Test Automation","Cucumber, Expert, Sql, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/494023/test-automation-engineer,2026-02-23T12:08:35.783616+00:00
14,QA Engineer | Germany,ferchau,(Lead) Test Automation Engineer - .NET / C# (m/f/d),FERCHAU,Wrocław Poland,Remote,Full-time,"C, Test Automation","Lead, C#",English,Lead,,Recent,https://touch.ferchau.com/de/de/job/484519/lead-test-automation-engineer-net-c,2026-02-23T12:08:35.785749+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Cucumber, Expert, Scrum, R, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-02-23T12:08:35.786347+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-02-23T12:08:35.788165+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Expert, Scrum, R, Kanban, C#, Git",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-02-23T12:08:45.257539+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-02-23T12:08:45.258211+00:00
14,Test Engineer | Germany,ferchau,Senior Software Engineer - Business Applications (m/w/d),FERCHAU,Weiz Öster­reich,Hybrid,Full-time,"C, Java","Product Owner, Scrum, Sql, R, Sql Server, C#, Senior, Gitlab",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/490531/senior-software-engineer-business-applications,2026-02-23T12:08:45.260505+00:00
14,Test Engineer | Germany,ferchau,Senior Software Python Engineer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,"Ci/Cd, Go, Python","Senior, Lead",English,"Lead, Senior",,Recent,https://touch.ferchau.com/de/de/job/490762/senior-software-python-engineer,2026-02-23T12:08:45.261284+00:00
14,Test Engineer | Germany,ferchau,Senior DevOps Engineer (m/w/d) in Direktvermittlung,FERCHAU,München Deut­sch­land,Remote,Full-time,Ci/Cd,"Azure, R, Devops, Senior",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/439771/senior-devops-engineer-in-direktvermittlung,2026-02-23T12:08:45.263242+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-02-23T12:08:54.832100+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Lübeck Deut­sch­land,Vor Ort,Full-time,Python,"Jira, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/476311/testingenieur,2026-02-23T12:08:54.834827+00:00
14,Testingenieur | Germany,ferchau,Versuchsingenieur / Testingenieur (m/w/d),FERCHAU,Augs­burg Deut­sch­land,Remote,Full-time,Python,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/486814/versuchsingenieur-testingenieur,2026-02-23T12:08:54.835448+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d) Automotive,FERCHAU,Karls­ruhe Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/304523/testingenieur-automotive,2026-02-23T12:08:54.836187+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d) FPGA,FERCHAU,Fried­richs­hafen Deut­sch­land,Remote,Full-time,,"Vhdl, R, Expert, Fpga",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485350/testingenieur-fpga,2026-02-23T12:08:54.837494+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"Senior, R",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-02-23T12:09:03.884773+00:00
14,Python Developer | Germany,ferchau,Senior Python Developer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,"C, C++, Python","Pytorch, Linux, Docker, Senior",English,Senior,,Recent,https://touch.ferchau.com/de/de/job/479218/senior-python-developer,2026-02-23T12:09:13.827727+00:00
