relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Lead Test Connection Energy Data Management (m/f/d),GULP Client,"Location: Remote, Stuttgart/Karlsruhe",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/716956cc0cc111f196d7a2d1b5394681,2026-02-27T11:11:50.873828+00:00
14,Tester | Germany,gulp,Test Manager SAP Cloud ALM ( CALM) (m/f/d),GULP Client,Germany,On-site,Freelance,"Integration Testing, Unit Testing",Regression Testing,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d8235140080411f196d7a2d1b5394681,2026-02-27T11:11:50.874779+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-02-27T11:11:50.875628+00:00
14,QA Engineer | Germany,gulp,Business Architect Defense / Product Strategy (m/f/d),GULP Client,"Location: D8, München",On-site,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e859258a13cb11f196d7a2d1b5394681,2026-02-27T11:12:41.015136+00:00
14,QA Engineer | Germany,gulp,Dynamics 365 CRM Consultant & Developer (m/f/d),GULP Client,Location: Cologne,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247281,2026-02-27T11:12:41.015704+00:00
14,QA Engineer | Germany,gulp,Devops / CI /CD System Architect (m/f/d) - Harness,GULP Client,Germany,Remote,Freelance,,"Architect, Senior, System Architect, Contractor, Github, Agile, Safe, Confluence, Devops, Scrum",English,"Architect, Contractor, Senior, System Architect",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a1683456a1fcd7b6545877,2026-02-27T11:12:41.016178+00:00
14,QA Engineer | Germany,gulp,"Senior Embedded Linux Software Engineer (Yocto, C++14, ARM) (m/f/d)",GULP Client,Germany,On-site,Freelance,"Arm, C, C++, Embedded Linux","Senior, Linux",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/71e7ebaa13c311f196d7a2d1b5394681,2026-02-27T11:12:41.016654+00:00
14,QA Engineer | Germany,gulp,Senior SoftwareEngineer/Architect for the greater Ulm-Lake Constance area,GULP Client,Location: Großraum Ulm-Bodensee,Remote,Freelance,,"Architect, Senior",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69a064e4e83356962745a998,2026-02-27T11:12:41.019046+00:00
14,Test Automation | Germany,gulp,DevOps Transformation Expert (m/f/d),GULP Client,"Location: Remote, D2",Remote,Freelance,,"Devops, Expert",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/efd8361410b711f196d7a2d1b5394681,2026-02-27T11:15:09.703417+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca689b86aec35538cb035,2026-02-27T11:15:09.704845+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca688b86aec35538cb019,2026-02-27T11:15:09.705404+00:00
14,Test Automation | Germany,gulp,Senior Engineer for Photonic Module Characterization (m/f/d),GULP Client,Location: Stuttgart,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01224100,2026-02-27T11:15:09.707187+00:00
14,Python Developer | Germany,gulp,Senior C#/.NETDeveloper(Cloud / AI focus possible) (16009),GULP Client,Location: siehe Beschreibung,On-site,Freelance,C,"C#, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/55bdb47813c811f196d7a2d1b5394681,2026-02-27T11:15:59.206592+00:00
14,Python Developer | Germany,gulp,CI/CD System Architect (m/f/d) JFrog Artifactory - Berlin/FFM & remote,GULP Client,Location: Berlin/FFM & remote,Remote,Freelance,Ci/Cd,"Architect, System Architect",English,"Architect, System Architect",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a1724556a1fcd7b6546b0f,2026-02-27T11:15:59.207208+00:00
