relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Testmanager eDrive gem. ISO 26262  (m/w/d),Hays Client,Affalterbach,On-site,Contract,,Iso 26262,German,Test Manager,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-edrive-gem-iso-26262--affalterbach-863460/1,2026-03-01T10:29:09.050330+00:00
14,Tester | Germany,hays,Senior Embedded Instrument Control Tester  (m/f/d),Hays Client,Rotkreuz,On-site,Contract,,Senior,English,Senior,,23.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-instrument-control-tester--rotkreuz-862979/1,2026-03-01T10:29:09.050962+00:00
14,Tester | Germany,hays,Test Automation Engineer (m/f/d),Hays Client,Geneva,On-site,Contract,"Python, Test Automation",Lead,English,Lead,,03.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-automation-engineer-geneva-852260/1,2026-03-01T10:29:09.053566+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Senior, Microservices, Spring Boot, Postgresql, Kubernetes, Mongodb",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-03-01T10:29:32.104952+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"R, Senior",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-03-01T10:29:32.105483+00:00
14,Test Engineer | Germany,hays,Senior Process Engineer (m/w/d),Hays Client,München,On-site,Contract,,"R, Senior",German,Senior,,23.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-process-engineer-muenchen-852498/1,2026-03-01T10:29:55.187671+00:00
14,Test Automation | Germany,hays,Consultant Tax Document Processes (Post-Migration) (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,"R, Consultant",German,Consultant,,20.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-consultant-tax-document-processes-post-migration-baden-wuerttemberg-862379/1,2026-03-01T10:30:41.429407+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Linux, Senior",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-03-01T10:30:41.431896+00:00
14,Python Developer | Germany,hays,Senior Data Warehouse Developer (Databricks) (m/f/d),Hays Client,Austria,On-site,Contract,"Ci/Cd, Github Actions, Python","Senior, Sql, Databricks, Github",English,Senior,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-data-warehouse-developer-databricks-austria-863468/1,2026-03-01T10:31:06.315625+00:00
14,Python Test | Germany,hays,(Senior) Softwareentwickler mit Schwerpunkt TypeScript (m/w/d),Hays Client,Würzburg – Remote-friendly innerhalb DE; optional onsite/hybrid,Remote,Contract,Typescript,"R, Senior",German,Senior,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-softwareentwickler-mit-schwerpunkt-typescript-wuerzburg--remote-friendly-innerhalb-de-optional-onsite-hybrid-850433/1,2026-03-01T10:31:28.530816+00:00
0,Tester | Germany,hays,Entwicklungsingenieur OTA Testing (m/w/d),Hays Client,Stuttgart,On-site,Contract,,R,German,,,24.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-ota-testing-stuttgart-863052/1,2026-03-01T10:29:09.050632+00:00
0,Tester | Germany,hays,Quality Assurance Tester (m/w/d),Hays Client,Bayern,On-site,Contract,,R,German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-quality-assurance-tester-bayern-861542/1,2026-03-01T10:29:09.051228+00:00
0,Tester | Germany,hays,Test Engineer (m/w/d),Hays Client,Zug,On-site,Contract,,R,German,,,12.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-zug-861396/1,2026-03-01T10:29:09.051490+00:00
0,Tester | Germany,hays,Digital Business Solution Professional (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-business-solution-professional-herzogenaurach-860968/1,2026-03-01T10:29:09.051745+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-03-01T10:29:09.052025+00:00
0,Tester | Germany,hays,Biocomp Manager (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-biocomp-manager-schleswig-holstein-860740/1,2026-03-01T10:29:09.052282+00:00
0,Tester | Germany,hays,Tester Einführung TAP (m/w/d),Hays Client,remote,Remote,Contract,,,German,,,05.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-tester-einfuehrung-tap-remote-859990/1,2026-03-01T10:29:09.052535+00:00
