relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,"Agile, R, Lead",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-03-01T10:33:40.085806+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-03-01T10:33:40.085911+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,Can,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-03-01T10:33:40.086316+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Lead, Senior",English,"Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-03-01T10:34:41.953997+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Remote",Remote,Freelance,,"R, Senior",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-03-01T10:35:43.131117+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Expert, R, Freelancer",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/programmierer-fuer-allen-bradley-im-studio-5000-von-rockwell-m-w-d-104551,2026-03-01T10:37:40.871322+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D1,Remote,Freelance,,"R, Consultant, Senior, Intern",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-experte-developer-project-analyst-m-w-d-104379,2026-03-01T10:37:40.871569+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"C, C++, Ci/Cd","R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-03-01T10:37:40.871670+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Javascript, Pytest, Python, Selenium, Test Automation, Typescript","Azure, Nunit, Nosql, Kubernetes, Sql Server, C#, Github, Devops, Freelancer, Git",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-01T10:39:40.857241+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Konstanz",Remote,Freelance,"C, C++, Python","Architect, R, Aws, Deep Learning",German,Architect,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-systems-architect-industrial-ml-m-w-d-104315,2026-03-01T10:39:40.857344+00:00
0,Tester | Germany,solcom,Test- und Qua­li­täts­ma­nage­ment (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-01T10:33:40.085437+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Pytest, Python, Selenium, Test Automation","Azure, Nunit, Postman, Nosql, Kubernetes, C#, Github, Devops, Git, Sql",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-03-01T10:33:40.085583+00:00
0,Tester | Germany,solcom,Em­bed­ded SW Test Ma­na­ger TCP/IP (m/w/d),SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104497,2026-03-01T10:33:40.085695+00:00
0,Tester | Germany,solcom,Test­ma­na­ger SAP Cloud ALM ( CALM) (m/w/d),SOLCOM Client,D3,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-03-01T10:33:40.086015+00:00
0,Tester | Germany,solcom,SAP Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-03-01T10:33:40.086116+00:00
0,Tester | Germany,solcom,Se­ni­or Per­for­mance Tes­ter - Linux (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-03-01T10:33:40.086219+00:00
0,Test Engineer | Germany,solcom,"Se­ni­or Em­bed­ded Linux Soft­ware En­gi­neer (Yocto, C++14, ARM) (m/w/d)",SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++",Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104586,2026-03-01T10:35:43.130560+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Devops, Azure",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineering-for-cra-migration-project-m-w-d-104575,2026-03-01T10:35:43.130684+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-104533,2026-03-01T10:35:43.130795+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Lindau am Bodensee",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verifikations-qualifikations-validierungsingenieur-im-bereich-luftfahrt-m-w-d-104465,2026-03-01T10:35:43.130896+00:00
0,Test Engineer | Germany,solcom,En­gi­neer Wind­park Steue­rung/Con­fi­gu­ra­ti­on En­gi­neer (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/engineer-windpark-steuerung-configuration-engineer-m-w-d-104410,2026-03-01T10:35:43.131015+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-03-01T10:35:43.131212+00:00
0,Test Engineer | Germany,solcom,Au­to­mo­ti­ve Sys­tem Test En­gi­neer (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automotive-system-test-engineer-m-w-d-104143,2026-03-01T10:35:43.131423+00:00
0,Test Engineer | Germany,solcom,Re­si­dent En­gi­neer (Teil­zeit/part time 80%) (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-03-01T10:35:43.131537+00:00
0,Test Engineer | Germany,solcom,HPC Sys­tem/Soft­ware En­gi­neer (m/w/d),SOLCOM Client,"Remote, D4",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-03-01T10:35:43.131637+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur im Be­reich Spreng­stoff (m/w/d),SOLCOM Client,"D2, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-im-bereich-sprengstoff-m-w-d-104473,2026-03-01T10:36:40.625606+00:00
0,Test Automation | Germany,solcom,Jira & At­las­si­an Ex­per­te (m/w/d),SOLCOM Client,"D2, Lüneburg",On-site,Freelance,,Jira,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-03-01T10:37:40.871443+00:00
0,Test Automation | Germany,solcom,Ser­vice­Now Plat­form Ar­chi­tect (m/w/d),SOLCOM Client,"D4, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-103942,2026-03-01T10:37:40.871767+00:00
0,Firmware Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Firmware, Microcontroller","Esp32, R, Machine Learning",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-mikrocontroller-portierung-esp-zu-nxp-m-w-d-104460,2026-03-01T10:40:41.040848+00:00
