relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Lead Test Connection Energy Data Management (m/f/d),GULP Client,"Location: Remote, Stuttgart/Karlsruhe",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/716956cc0cc111f196d7a2d1b5394681,2026-03-01T10:59:44.892706+00:00
14,Tester | Germany,gulp,Test Manager SAP Cloud ALM ( CALM) (m/f/d),GULP Client,Location: D3,On-site,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d8235140080411f196d7a2d1b5394681,2026-03-01T10:59:44.893664+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-03-01T10:59:44.894095+00:00
14,QA Engineer | Germany,gulp,remote: Lead SoftwareEngineerf/m/d ITSM POS70883 ServiceNow Certified Application Developer (CDA),GULP Client,Location: remote,Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a2da3856a1fcd7b654e6b9,2026-03-01T11:00:34.658997+00:00
14,QA Engineer | Germany,gulp,Senior Business Analyst with SAP FI/CO (m/f/d),GULP Client,Germany,Remote,Freelance,,"Senior, Jira, Confluence",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a1a32056a1fcd7b6548260,2026-03-01T11:00:34.660210+00:00
14,QA Engineer | Germany,gulp,SAP IS-U Developer / Consultant (m/f/d) - Focus IDEX-GE &amp; Device Management,GULP Client,Germany,Remote,Freelance,,"Jira, Confluence, Agile, Expert, Consultant",English,"Consultant, Expert",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247228,2026-03-01T11:00:34.660680+00:00
14,QA Engineer | Germany,gulp,Senior SoftwareEngineer/Architect for the greater Ulm-Lake Constance area,GULP Client,Location: Großraum Ulm-Bodensee,Remote,Freelance,,"Senior, Architect",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69a064e4e83356962745a998,2026-03-01T11:00:34.662129+00:00
14,QA Engineer | Germany,gulp,Business Architect Defense / Product Strategy (m/f/d),GULP Client,"Location: D8, München",On-site,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e859258a13cb11f196d7a2d1b5394681,2026-03-01T11:00:34.663187+00:00
14,QA Engineer | Germany,gulp,Dynamics 365 CRM Consultant & Developer (m/f/d),GULP Client,Location: Cologne,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247281,2026-03-01T11:00:34.663651+00:00
14,QA Engineer | Germany,gulp,Devops / CI /CD System Architect (m/f/d) - Harness,GULP Client,Location: Remote,Remote,Freelance,,"System Architect, Devops, Architect",English,"Architect, System Architect",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a1683456a1fcd7b6545877,2026-03-01T11:00:34.664139+00:00
14,QA Engineer | Germany,gulp,"Senior Embedded Linux SoftwareEngineer(Yocto, C++14, ARM) (m/f/d)",GULP Client,Location: D8,On-site,Freelance,"Arm, C, C++, Embedded Linux","Linux, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/71e7ebaa13c311f196d7a2d1b5394681,2026-03-01T11:00:34.664602+00:00
14,Test Automation | Germany,gulp,DevOps Transformation Expert (m/f/d),GULP Client,"Location: Remote, D2",Remote,Freelance,,"Devops, Expert",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/efd8361410b711f196d7a2d1b5394681,2026-03-01T11:03:04.136613+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca689b86aec35538cb035,2026-03-01T11:03:04.138035+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca688b86aec35538cb019,2026-03-01T11:03:04.138590+00:00
14,Test Automation | Germany,gulp,Senior Engineer for Photonic Module Characterization (m/f/d),GULP Client,Location: Stuttgart,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01224100,2026-03-01T11:03:04.139907+00:00
14,Python Developer | Germany,gulp,Senior C#/.NETDeveloper(Cloud / AI focus possible) (16009),GULP Client,Location: siehe Beschreibung,On-site,Freelance,C,"Senior, C#",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/55bdb47813c811f196d7a2d1b5394681,2026-03-01T11:03:55.787696+00:00
14,Python Developer | Germany,gulp,CI/CD System Architect (m/f/d) JFrog Artifactory - Berlin/FFM & remote,GULP Client,Location: Berlin/FFM & remote,Remote,Freelance,Ci/Cd,"System Architect, Architect",English,"Architect, System Architect",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a1724556a1fcd7b6546b0f,2026-03-01T11:03:55.788306+00:00
0,Tester | Germany,gulp,Test Engineer ICT (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/bb69b54e127c11f196d7a2d1b5394681,2026-03-01T10:59:44.891097+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d),GULP Client,Location: D7,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a8947742127c11f196d7a2d1b5394681,2026-03-01T10:59:44.891637+00:00
0,Tester | Germany,gulp,4389 Banking applicationtester(m/f/d),GULP Client,Location: Münster,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/028cfdd410b411f196d7a2d1b5394681,2026-03-01T10:59:44.892142+00:00
0,Tester | Germany,gulp,Experienced Manual Tester (m/f/d) (iOS/Android),GULP Client,Germany,Remote,Freelance,,R,German,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01242750,2026-03-01T10:59:44.893202+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),GULP Client,Location: Wien/remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-03-01T10:59:44.894573+00:00
0,QA Engineer | Germany,gulp,"DevOpsEngineer(m/f/d) Backstage.io, Typescript, Node & React Skills - Remote & FFM or Berlin",GULP Client,"Location: Remote, Berlin, FFM",Remote,Freelance,Typescript,React,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a2030e56a1fcd7b654e06f,2026-03-01T11:00:34.659619+00:00
0,QA Engineer | Germany,gulp,Technical Support Engineer / 2nd Level Support (m/f/d),GULP Client,Germany,Remote,Freelance,Can,"Linux, Agile, Grafana",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01239705,2026-03-01T11:00:34.661168+00:00
0,QA Engineer | Germany,gulp,DevOpsEngineer(m/f/d) Insurance,GULP Client,Location: Cologne,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247142,2026-03-01T11:00:34.661634+00:00
0,QA Engineer | Germany,gulp,Delivery Program Manager (m/f/d) DevOps & Cloud Platform - Berlin/FFM & remote,GULP Client,Location: Berlin/FFM & remote,Remote,Freelance,,Devops,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a17f0f56a1fcd7b654732e,2026-03-01T11:00:34.662692+00:00
0,QA Engineer | Germany,gulp,Junior AnalyticsEngineer(m/f/d),GULP Client,Location: Munich,On-site,Freelance,,Junior,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247150,2026-03-01T11:00:34.664991+00:00
