relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,Can,"Canoe, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-03-01T11:44:56.293399+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-03-01T11:44:56.295123+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-03-01T11:44:56.295788+00:00
14,Tester | Germany,ferchau,Software Tester (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","Scrum, C#, Expert, Kanban, R, Jira, Agile",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446824/software-tester,2026-03-01T11:44:56.296653+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d) Testautomatisierung für die Siemens AG,FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Test Automation","Senior, C#, Expert, R",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/445087/senior-softwaretester-testautomatisierung-fuer-die-siemens-ag,2026-03-01T11:44:56.298438+00:00
14,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,"Java, Test Automation","Cucumber, Expert, R, Sql",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/494023/test-automation-engineer,2026-03-01T11:45:04.494538+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Cucumber, Scrum, Expert, Kanban, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-03-01T11:45:04.496522+00:00
14,QA Engineer | Germany,ferchau,(Lead) Test Automation Engineer - .NET / C# (m/f/d),FERCHAU,Wrocław Poland,Remote,Full-time,"C, Ci/Cd, Test Automation","Docker, C#, Lead, Jira, Git, Linux, Devops, Azure",English,Lead,,Recent,https://touch.ferchau.com/de/de/job/484519/lead-test-automation-engineer-net-c,2026-03-01T11:45:04.497784+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-03-01T11:45:04.500027+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Scrum, C#, Expert, Kanban, R, Git",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-03-01T11:45:13.980922+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-03-01T11:45:13.981757+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-03-01T11:45:24.242196+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445054/testingenieur-medizintechnik,2026-03-01T11:45:24.243040+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Lübeck Deut­sch­land,Vor Ort,Full-time,Python,"Jira, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/476311/testingenieur,2026-03-01T11:45:24.248755+00:00
14,Test Automation | Germany,ferchau,Process Automation Engineer (m/f/d),FERCHAU,Wrocław Poland,Hybrid,Full-time,,"Lead, Expert",English,"Expert, Lead",,Recent,https://touch.ferchau.com/de/de/job/489412/process-automation-engineer,2026-03-01T11:45:33.446046+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"Senior, R",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-03-01T11:45:33.449676+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","Expert, R, Angular",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-03-01T11:45:43.374652+00:00
14,Python Developer | Germany,ferchau,Senior Software Python Engineer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,Python,Senior,English,Senior,,Recent,https://touch.ferchau.com/de/de/job/490762/senior-software-python-engineer,2026-03-01T11:45:43.375684+00:00
14,Firmware Engineer | Germany,ferchau,Embedded Firmware Engineer (m/w/d),FERCHAU,Hall in Tirol Öster­reich,Remote,Full-time,"Arm, C, C++, Ci/Cd, Embedded Systems, Firmware, Python, Rtos","Expert, Zephyr, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/490867/embedded-firmware-engineer,2026-03-01T11:46:02.594935+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-03-01T11:44:56.292600+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Bremen Deut­sch­land,Hybrid,Full-time,Jenkins,"Junit, R",German,,,Recent,https://touch.ferchau.com/de/de/job/241642/softwaretester,2026-03-01T11:44:56.294266+00:00
0,Tester | Germany,ferchau,Softwaretester Automatisierung und Datenanalyse (m/w/d),FERCHAU,Timelkam Öster­reich,Hybrid,Full-time,Python,"Data Science, R",German,,,Recent,https://touch.ferchau.com/de/de/job/477526/softwaretester-automatisierung-und-datenanalyse,2026-03-01T11:44:56.297475+00:00
