relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,Ci/Cd,"R, Rest Api, Jira, Freelancer, Zephyr, Safe, Lead, Scrum",German,"Freelancer, Lead, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104497,2026-03-03T10:46:55.063826+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,"R, Agile, Lead",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-03-03T10:46:55.063925+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-03-03T10:46:55.064032+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D3,On-site,Freelance,Integration Testing,"R, Intern",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-03-03T10:46:55.064133+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Linux, Freelancer, Senior",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-03-03T10:46:55.064337+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,Can,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-tester-m-w-d-103881,2026-03-03T10:46:55.064456+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Lead, Senior",English,"Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-03-03T10:47:56.642070+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++, Can, Ci/Cd, Embedded Linux, Jenkins","R, Gitlab Ci, Docker, Freelancer, Agile, Safe, Gitlab, Git, Senior, Linux",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104586,2026-03-03T10:48:56.538285+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Remote",Remote,Freelance,,"R, Senior",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-03-03T10:48:56.538818+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,Remote,Freelance,,"R, Canoe, Lead",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-03-03T10:48:56.539202+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","R, Ansible, Linux, Docker, Freelancer, Senior, Project Manager",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104024,2026-03-03T10:48:56.539308+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","R, Freelancer, Architect",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-03T10:50:53.402952+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Expert, Freelancer",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/programmierer-fuer-allen-bradley-im-studio-5000-von-rockwell-m-w-d-104551,2026-03-03T10:50:53.403217+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Lüneburg",Remote,Freelance,,"R, Expert, Jira, Freelancer",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-03-03T10:50:53.403442+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"C, C++, Ci/Cd","R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-03-03T10:50:53.403917+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Javascript, Pytest, Python, Selenium, Test Automation, Typescript","Sql, Devops, Sql Server, Kubernetes, Nosql, Docker, Freelancer, Nunit, Git, Azure",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-03T10:52:55.125221+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Konstanz",Remote,Freelance,"C, C++, Python","R, Deep Learning, Aws, Architect",German,Architect,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ai-systems-architect-industrial-ml-m-w-d-104315,2026-03-03T10:52:55.125321+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Go, Test Automation","R, Jira, Devops",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-03T10:46:55.063593+00:00
