relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,"Agile, Lead, R",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-03-05T10:47:26.594812+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-03-05T10:47:26.594935+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D3,On-site,Freelance,Integration Testing,"Intern, R",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-03-05T10:47:26.595040+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Linux, Senior, Freelancer, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-03-05T10:47:26.595240+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Senior, Project Manager, Freelancer, Linux, Docker, Ansible, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104666,2026-03-05T10:49:26.705119+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++, Can, Ci/Cd, Embedded Linux, Jenkins","Senior, Scrum, Gitlab, Agile, Freelancer, Linux, Docker, Git, Gitlab Ci, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104586,2026-03-05T10:49:26.705843+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"CH, Remote",Remote,Freelance,,"Senior, R",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-03-05T10:49:26.707433+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","Architect, Freelancer, R",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-05T10:51:27.807521+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Freelancer, Expert, R",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/programmierer-fuer-allen-bradley-im-studio-5000-von-rockwell-m-w-d-104551,2026-03-05T10:51:27.807620+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D1,Remote,Freelance,,"Senior, Intern, Consultant, R",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-experte-developer-project-analyst-m-w-d-104379,2026-03-05T10:51:27.807837+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"C, C++, Ci/Cd","Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-03-05T10:51:27.807940+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Javascript, Pytest, Python, Selenium, Test Automation, Typescript","R, Nunit, C#, Sql, Freelancer, Databricks, Devops, React, Kubernetes, Azure",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-05T10:53:39.773505+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Go, Test Automation","Devops, Jira, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-05T10:47:26.594462+00:00
0,Tester | Germany,solcom,Soft­ware Tes­ter (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-03-05T10:47:26.594594+00:00
0,Tester | Germany,solcom,Em­bed­ded SW Test Ma­na­ger TCP/IP (m/w/d),SOLCOM Client,"CH, Kanton Zürich",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-sw-test-manager-tcp-ip-m-w-d-104497,2026-03-05T10:47:26.594710+00:00
0,Tester | Germany,solcom,SAP Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"Remote, München",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-03-05T10:47:26.595140+00:00
0,QA Engineer | Germany,solcom,Se­ni­or QA En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-qa-engineer-m-w-d-104145,2026-03-05T10:48:27.031617+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Südschwarzwald",Remote,Freelance,"C, Can, Python","C#, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/prueftechniker-test-engineer-m-w-d-104698,2026-03-05T10:49:26.704445+00:00
0,Test Engineer | Germany,solcom,Py­thon Pro­gram­mie­rer / Test­au­to­ma­ti­sie­rung (m/w/d),SOLCOM Client,"D7, Südschwarzwald",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/python-programmierer-m-w-d-104678,2026-03-05T10:49:26.704850+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automation-engineer-control-systems-engineer-b-r-m-w-d-104648,2026-03-05T10:49:26.705464+00:00
0,Test Engineer | Germany,solcom,Re­qui­re­ment En­gi­nee­ring for CRA & Mi­gra­ti­on Pro­ject (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/requirement-engineering-for-cra-migration-project-m-w-d-104575,2026-03-05T10:49:26.706088+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-104533,2026-03-05T10:49:26.706495+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Lindau am Bodensee",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verifikations-qualifikations-validierungsingenieur-im-bereich-luftfahrt-m-w-d-104465,2026-03-05T10:49:26.706744+00:00
0,Test Engineer | Germany,solcom,En­gi­neer Wind­park Steue­rung/Con­fi­gu­ra­ti­on En­gi­neer (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/engineer-windpark-steuerung-configuration-engineer-m-w-d-104410,2026-03-05T10:49:26.707068+00:00
0,Test Engineer | Germany,solcom,Sys­tem­ver­ant­wort­li­cher- Ma­ri­ti­me Sub­sys­te­me - Werft­um­feld (Na­vi­ga­ti­on/Kom­mu­ni­ka­ti­on/Com­bat) (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-03-05T10:49:26.707679+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur im Be­reich Spreng­stoff (m/w/d),SOLCOM Client,"D2, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-im-bereich-sprengstoff-m-w-d-104473,2026-03-05T10:50:29.124620+00:00
0,Test Automation | Germany,solcom,Jira & At­las­si­an Ex­per­te (m/w/d),SOLCOM Client,"D2, Lüneburg",On-site,Freelance,,Jira,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-03-05T10:51:27.807725+00:00
0,Python Test | Germany,solcom,Soft­ware­ent­wick­ler Em­bed­ded C++ (m/w/d),SOLCOM Client,Remote,Remote,Freelance,"C, C++",,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-embedded-c-m-w-d-104684,2026-03-05T10:53:39.773117+00:00
0,Firmware Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Firmware, Microcontroller","Machine Learning, Esp32, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-mikrocontroller-portierung-esp-zu-nxp-m-w-d-104460,2026-03-05T10:54:41.669772+00:00
