relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,Can,"Canoe, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-03-05T11:59:57.790803+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-03-05T11:59:57.792900+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-03-05T11:59:57.793437+00:00
14,Tester | Germany,ferchau,Software Tester (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","C#, Kanban, R, Agile, Scrum, Jira, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446824/software-tester,2026-03-05T11:59:57.794141+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kassel Deut­sch­land,Hybrid,Full-time,"C, C++, Python","R, Jira, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/481993/softwaretester,2026-03-05T11:59:57.794854+00:00
14,Tester | Germany,ferchau,(Senior) Softwaretester (m/w/d),FERCHAU,Kassel Deut­sch­land,Remote,Full-time,"C, C++, Python","R, Senior, Expert",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/496582/senior-softwaretester,2026-03-05T11:59:57.795508+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Kanban, Cucumber, R, Scrum, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-03-05T12:00:06.500777+00:00
14,QA Engineer | Germany,ferchau,(Lead) Test Automation Engineer - .NET / C# (m/f/d),FERCHAU,Wrocław Poland,Remote,Full-time,"C, Ci/Cd, Test Automation","C#, Linux, Docker, Devops, Lead, Azure, Jira, Git",English,Lead,,Recent,https://touch.ferchau.com/de/de/job/484519/lead-test-automation-engineer-net-c,2026-03-05T12:00:06.501789+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-03-05T12:00:06.504146+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","C#, Kanban, R, Scrum, Expert, Git",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-03-05T12:00:16.487697+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-03-05T12:00:26.081801+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445054/testingenieur-medizintechnik,2026-03-05T12:00:26.083290+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,Python,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/495745/testingenieur,2026-03-05T12:00:26.083890+00:00
14,Test Automation | Germany,ferchau,Testmanager HR‑IT / Testautomatisierung (m/w/d),FERCHAU,Münster Deut­sch­land,Remote,Full-time,Test Automation,"Oracle, Jira, R",German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/496666/testmanager-hr-it-testautomatisierung,2026-03-05T12:00:36.132915+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"Senior, R",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-03-05T12:00:36.134356+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","R, Expert, Angular",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-03-05T12:00:44.696720+00:00
14,Python Developer | Germany,ferchau,Senior Software Python Engineer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,"Ci/Cd, Go, Python","Senior, Lead",English,"Lead, Senior",,Recent,https://touch.ferchau.com/de/de/job/490762/senior-software-python-engineer,2026-03-05T12:00:44.697632+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Junior, R, Nosql, Sql, Expert, Linux",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-03-05T12:00:44.698967+00:00
