relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Test Engineer | Switzerland,linkedin,"Software Engineer, Search Quality",Google,"Zurich, Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-engineer-search-quality-at-google-4377718927,2026-03-07T10:22:11.955327+00:00
29,Testingenieur | USA,linkedin,Mechanical Testing Engineer,Google,"Mountain View, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/mechanical-testing-engineer-at-google-4371550470,2026-03-07T10:22:45.425147+00:00
29,Test Automation | Germany,linkedin,Test Automation Specialist,Intellias,"Ingolstadt, Bavaria, Germany",On-site,Contract,"Ci/Cd, Embedded Systems, Python, Test Automation","Jira, Manual Testing",English,,,Recent,https://de.linkedin.com/jobs/view/test-automation-specialist-at-intellias-4371073208,2026-03-07T10:22:50.188728+00:00
29,Test Automation | USA,linkedin,Software QA Automation Engineer,Apple,"Cupertino, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-qa-automation-engineer-at-apple-4377658214,2026-03-07T10:23:07.120547+00:00
29,Firmware Engineer | Switzerland,linkedin,Embedded Software Developer 80-100%,Siemens,"Zug, Zug, Switzerland",Remote,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/embedded-software-developer-80-100%25-at-siemens-4379458674,2026-03-07T10:23:59.233557+00:00
14,Tester | Germany,linkedin,Software Test Engineer,Aitronix,Germany,Remote,Contract,,"Lead, Senior, Azure, Aws, Mid-Level, Architect, Gcp, Junior",English,"Architect, Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/software-test-engineer-at-aitronix-4381203172,2026-03-07T10:21:25.136220+00:00
14,Tester | Germany,linkedin,Software Tester,Silicon Logic UK Ltd.,"Warstein, North Rhine-Westphalia, Germany",On-site,Contract,,"Expert, Oracle, Sql",English,Expert,,Recent,https://de.linkedin.com/jobs/view/software-tester-at-silicon-logic-uk-ltd-4380451206,2026-03-07T10:21:25.136670+00:00
14,Tester | Germany,linkedin,Game QA Tester,welevel,"Munich, Bavaria, Germany",On-site,Internship,,"Lead, Regression Testing, Senior",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/game-qa-tester-at-welevel-4371993029,2026-03-07T10:21:25.136917+00:00
14,Tester | Austria,linkedin,Quality Assurance Specialist (Software Tester) (m/f/d) - Freelancer,Roche,"Vienna, Vienna, Austria",Remote,Contract,Can,"Agile, Freelancer",English,Freelancer,,Recent,https://at.linkedin.com/jobs/view/quality-assurance-specialist-software-tester-m-f-d-freelancer-at-roche-4375047176,2026-03-07T10:21:27.467338+00:00
14,Tester | Austria,linkedin,Senior Software Tester*in (m/w/d),Value Dimensions Management Services GmbH,"Vienna, Vienna, Austria",On-site,Full-time,"Selenium, Test Automation","Senior, Associate, R, Php, Sql",German,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-tester-in-m-w-d-at-value-dimensions-management-services-gmbh-4379556072,2026-03-07T10:21:27.467495+00:00
14,Tester | Austria,linkedin,Test Engineer (f/m/d),Hilti Austria Industrie GmbH,"Lanzenkirchen, Lower Austria, Austria",On-site,Contract,Can,"Lead, Safe",English,Lead,,Recent,https://at.linkedin.com/jobs/view/test-engineer-f-m-d-at-hilti-austria-industrie-gmbh-4363227484,2026-03-07T10:21:27.467664+00:00
