relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,IOT Test Manager (m/w/d),Hays Client,Hinwil,On-site,Contract,,,German,Test Manager,,06.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-iot-test-manager-hinwil-865070/1,2026-03-07T10:27:19.025141+00:00
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-03-07T10:27:19.026011+00:00
14,Tester | Germany,hays,Testmanager eDrive gem. ISO 26262  (m/w/d),Hays Client,Affalterbach,On-site,Contract,,Iso 26262,German,Test Manager,,25.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-edrive-gem-iso-26262--affalterbach-863460/1,2026-03-07T10:27:19.026526+00:00
14,Tester | Germany,hays,Senior Embedded Instrument Control Tester  (m/f/d),Hays Client,Rotkreuz,On-site,Contract,,Senior,English,Senior,,23.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-instrument-control-tester--rotkreuz-862979/1,2026-03-07T10:27:19.026775+00:00
14,Tester | Germany,hays,Test Automation Engineer (m/f/d),Hays Client,Geneva,On-site,Contract,"Python, Test Automation",Lead,English,Lead,,03.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-automation-engineer-geneva-852260/1,2026-03-07T10:27:19.028843+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Spring Boot, Senior, Kubernetes, Microservices, Mongodb, Postgresql",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-03-07T10:27:41.282813+00:00
14,QA Engineer | Germany,hays,Senior Cloud Engineer (m/w/d),Hays Client,Nürnberg,Remote,Contract,,"Senior, R",German,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cloud-engineer-nuernberg-855238/1,2026-03-07T10:27:41.283361+00:00
14,Test Engineer | Germany,hays,Experte / Lead Engineer Schutz- und Steuerungssysteme in der Energieversorgung (m/w/d),Hays Client,Erlangen,On-site,Contract,,"Expert, R, Lead",German,"Expert, Lead",,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-lead-engineer-schutz--und-steuerungssysteme-in-der-energieversorgung-erlangen-830588/1,2026-03-07T10:28:03.831476+00:00
14,Test Engineer | Germany,hays,Lead Engineer oder Experte Stationsleittechnik in der Energieversorgung (m/w/d),Hays Client,Erlangen,On-site,Contract,,"Expert, R, Lead",German,"Expert, Lead",,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-engineer-oder-experte-stationsleittechnik-in-der-energieversorgung-erlangen-852227/1,2026-03-07T10:28:03.831762+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-03-07T10:28:03.832042+00:00
14,Test Engineer | Germany,hays,Senior Quality Engineer (m/w/d),Hays Client,Gießen,On-site,Contract,,Senior,German,Senior,,02.07.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-quality-engineer-giessen-828402/1,2026-03-07T10:28:03.836242+00:00
14,Test Automation | Germany,hays,Senior Prozessingenieur (m/w/d),Hays Client,München,On-site,Contract,,"Senior, R",German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-prozessingenieur-muenchen-852498/1,2026-03-07T10:28:49.058826+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Devops, R, Gitlab Ci, Expert, Gitlab, Azure, Canoe, Iso 26262, Autosar",German,Expert,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-03-07T10:28:49.059713+00:00
14,Test Automation | Germany,hays,(Senior) Linux Administrator(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Senior, Linux",English,Senior,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-linux-administrator-duesseldorf-853006/1,2026-03-07T10:28:49.062420+00:00
14,Python Developer | Germany,hays,Senior Web Application Developer (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,,"Senior, Azure, R",German,Senior,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-web-application-developer-baden-wuerttemberg-864751/1,2026-03-07T10:29:11.052147+00:00
14,Python Developer | Germany,hays,Senior Data Warehouse Developer (Databricks) (m/f/d),Hays Client,Austria,On-site,Contract,"Ci/Cd, Github Actions, Python","Github, Senior, Sql, Databricks",English,Senior,,26.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-data-warehouse-developer-databricks-austria-863468/1,2026-03-07T10:29:11.052653+00:00
14,Python Test | Germany,hays,(Senior) Softwareentwickler mit Schwerpunkt TypeScript (m/w/d),Hays Client,Würzburg – Remote-friendly innerhalb DE; optional onsite/hybrid,Remote,Contract,Typescript,"Senior, R",German,Senior,,16.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-softwareentwickler-mit-schwerpunkt-typescript-wuerzburg--remote-friendly-innerhalb-de-optional-onsite-hybrid-850433/1,2026-03-07T10:29:32.361270+00:00
0,Tester | Germany,hays,Software Tester (m/w/d),Hays Client,Kassel,On-site,Contract,,,German,,,05.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-kassel-864835/1,2026-03-07T10:27:19.025425+00:00
0,Tester | Germany,hays,Softwareentwickler/Tester Python (m/w/d),Hays Client,Freiburg,On-site,Contract,Python,,German,,,04.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-tester-python-freiburg-864601/1,2026-03-07T10:27:19.025693+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation (m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Hil, Sil",Mil,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-wolfsburg-841316/1,2026-03-07T10:27:19.026276+00:00
0,Tester | Germany,hays,Test Engineer (m/w/d),Hays Client,Zug,On-site,Contract,,R,German,,,12.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-zug-861396/1,2026-03-07T10:27:19.027054+00:00
0,Tester | Germany,hays,Digital Business Solution Professional (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-business-solution-professional-herzogenaurach-860968/1,2026-03-07T10:27:19.027311+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-03-07T10:27:19.027563+00:00
0,Tester | Germany,hays,Biocomp Manager (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,10.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-biocomp-manager-schleswig-holstein-860740/1,2026-03-07T10:27:19.027812+00:00
0,Tester | Germany,hays,Inbetriebnehmer (m/w/d),Hays Client,Guxhagen,On-site,Contract,,,German,,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-inbetriebnehmer-guxhagen-859882/1,2026-03-07T10:27:19.028086+00:00
0,Tester | Germany,hays,Softwaretester  (m/w/d),Hays Client,Bundesland Wien,On-site,Contract,"Java, Test Automation",,German,,,09.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwaretester--bundesland-wien-852800/1,2026-03-07T10:27:19.028341+00:00
0,Tester | Germany,hays,Field Application Engineer - WIFI Specialist  (m/w/d),Hays Client,Darmstadt,On-site,Contract,,,German,,,04.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-field-application-engineer-wifi-specialist--darmstadt-849795/1,2026-03-07T10:27:19.028590+00:00
0,QA Engineer | Germany,hays,Qualitätssicherer / QS / Qualitätssicherung (m/w/d),Hays Client,Hochtaunuskreis,On-site,Contract,,,German,,,19.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-qualitaetssicherer-qs-qualitaetssicherung-hochtaunuskreis-862506/1,2026-03-07T10:27:41.282002+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Angular, Devops, Spring Boot, Git, Intern, Docker",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-03-07T10:27:41.282290+00:00
0,QA Engineer | Germany,hays,Chief Chemical Engineer / Manager (m/f/d),Hays Client,Denmark,On-site,Contract,,,English,,,19.12.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-chief-chemical-engineer-manager-denmark-855248/1,2026-03-07T10:27:41.283105+00:00
0,Test Engineer | Germany,hays,Software Engineer Cobol (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-cobol-koeln-850318/1,2026-03-07T10:28:03.832290+00:00
0,Test Engineer | Germany,hays,Resident Engineer (m/w/d),Hays Client,München,On-site,Contract,,Canoe,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-resident-engineer-muenchen-863816/1,2026-03-07T10:28:03.832602+00:00
0,Test Engineer | Germany,hays,Test Automation Engineer (m/w/d),Hays Client,Dresden,On-site,Contract,"Ci/Cd, Test Automation",R,German,,,02.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-automation-engineer-dresden-852634/1,2026-03-07T10:28:03.832877+00:00
0,Test Engineer | Germany,hays,SOC Engineer  (m/w/d),Hays Client,Essen,On-site,Contract,,"Soc, R, Linux",German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-soc-engineer--essen-863817/1,2026-03-07T10:28:03.833142+00:00
0,Test Engineer | Germany,hays,IT Engineer (m/w/d),Hays Client,Frankfurt am Main,On-site,Contract,,"Kubernetes, Ansible",German,,,27.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-engineer-frankfurt-am-main-854031/1,2026-03-07T10:28:03.833384+00:00
