relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Stuttgart/Karlsruhe",Remote,Freelance,,"Agile, Lead, R",German,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-test-anbindung-energiedatenmanagement-m-w-d-104408,2026-03-07T10:31:59.302573+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Senior, R, Freelancer, Linux",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-03-07T10:31:59.302901+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","R, Docker, Project Manager, Ansible, Senior, Freelancer, Linux",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104666,2026-03-07T10:33:59.810677+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Lüneburg",Remote,Freelance,,"Freelancer, R, Jira, Expert",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-03-07T10:36:05.047412+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Javascript, Pytest, Python, Selenium, Test Automation, Typescript","R, Azure, React, C#, Sql Server, Sql, Nunit, Freelancer, Kubernetes, Docker",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-07T10:38:05.041940+00:00
0,Tester | Germany,solcom,Se­ni­or Pro­jekt­ma­na­ger An­la­gen­bau - Was­ser­stoff (m/w/d),SOLCOM Client,"D7, Nähe von Lörrach, vereinzelt Rostock/Koblenz",On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-projektmanager-anlagenbau-wasserstoff-m-w-d-104737,2026-03-07T10:31:59.302230+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Go, Test Automation","R, Devops, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-07T10:31:59.302364+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Pytest, Python, Selenium, Test Automation","R, Azure, React, C#, Sql, Nunit, Zephyr, Kubernetes, Docker, Nosql",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-03-07T10:31:59.302473+00:00
0,Tester | Germany,solcom,"Busi­ness Ana­ly­se / Custo­mi­zing SAP (Pro­duk­te Kasse, Kre­dit, Kau­ti­on - FS-CD) (m/w/d)",SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-03-07T10:31:59.302677+00:00
0,Tester | Germany,solcom,Test­ma­na­ger SAP Cloud ALM ( CALM) (m/w/d),SOLCOM Client,D3,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-03-07T10:31:59.302782+00:00
0,Test Engineer | Germany,solcom,"Se­ni­or Em­bed­ded Linux Soft­ware En­gi­neer (Yocto, C++14, ARM) (m/w/d)",SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++",Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104738,2026-03-07T10:33:59.810042+00:00
