relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Nähe von Lörrach, vereinzelt Rostock/Koblenz",Remote,Freelance,,"R, Senior, Project Manager",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-projektmanager-anlagenbau-wasserstoff-m-w-d-104737,2026-03-09T10:53:17.158243+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-03-09T10:53:17.158607+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D3,On-site,Freelance,Integration Testing,"Intern, R",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-03-09T10:53:17.158730+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Freelancer, Linux, Senior, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-performance-tester-linux-m-w-d-104090,2026-03-09T10:53:17.158831+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++, Can, Ci/Cd, Embedded Linux, Jenkins","Gitlab, Scrum, Agile, Gitlab Ci, Linux, Safe, Senior, R, Freelancer, Git",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104738,2026-03-09T10:55:18.075057+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, remote only",Remote,Freelance,"Javascript, Typescript","React, Senior, R, Freelancer, Git",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-frontend-entwickler-react-next-js-m-w-d-104725,2026-03-09T10:55:18.075294+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Ansible, R, Linux, Senior, Project Manager, Freelancer, Docker",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104666,2026-03-09T10:55:18.076775+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","Architect, R, Freelancer",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-09T10:57:20.702532+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Freelancer, Expert, R",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/programmierer-fuer-allen-bradley-im-studio-5000-von-rockwell-m-w-d-104551,2026-03-09T10:57:20.702650+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D1,Remote,Freelance,,"Senior, Intern, Consultant, R",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-experte-developer-project-analyst-m-w-d-104379,2026-03-09T10:57:20.702847+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"C, C++, Ci/Cd","R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-03-09T10:57:20.702942+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Javascript, Pytest, Python, Selenium, Test Automation, Typescript","React, Kubernetes, Azure, Databricks, Nunit, C#, Docker, Sql Server, Git, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-09T10:59:22.517664+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Go, Test Automation","Jira, Devops, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-09T10:53:17.158375+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Pytest, Python, Selenium, Test Automation","React, Kubernetes, Azure, Nunit, Zephyr, C#, Docker, Manual Testing, Postman, Git",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-03-09T10:53:17.158484+00:00
