relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Test Manager SAP Cloud ALM ( CALM) (m/f/d),GULP Client,Germany,On-site,Freelance,"Integration Testing, Unit Testing",Regression Testing,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d8235140080411f196d7a2d1b5394681,2026-03-09T11:19:11.528079+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-03-09T11:19:11.528461+00:00
14,QA Engineer | Germany,gulp,Product Manager / Product Owner Fraud Prevention (m/f/d),GULP Client,Germany,Remote,Freelance,,"Lead, Kanban, Scrum, Graphql, Product Owner",English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01251724,2026-03-09T11:20:02.819185+00:00
14,QA Engineer | Germany,gulp,"IT - Consultant including Seeburger, EDIFACT, XML, JSON, XPath, XQuery, SQL, Ticket, Incident... (f/m/d)",GULP Client,Germany,On-site,Freelance,,"Sql, Consultant",English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250542,2026-03-09T11:20:02.820085+00:00
14,QA Engineer | Germany,gulp,Senior Project Manager PlantEngineering- Hydrogen (m/f/d),GULP Client,Location: siehe Beschreibung,On-site,Freelance,,"Senior, Project Manager",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f6b50b981b9711f189e08e417b6a1e17,2026-03-09T11:20:02.820599+00:00
14,QA Engineer | Germany,gulp,"Senior Embedded Linux SoftwareEngineer(Yocto, C++14, ARM) (m/f/d)",GULP Client,Location: D8,On-site,Freelance,"Arm, C, C++, Embedded Linux","Senior, Linux",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/65afd142197f11f189e08e417b6a1e17,2026-03-09T11:20:02.821549+00:00
14,QA Engineer | Germany,gulp,"Packaging Development Expert - Focus on Steel, Large Parts (m/f/d)",GULP Client,Location: D4,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/6612d670197f11f189e08e417b6a1e17,2026-03-09T11:20:02.822009+00:00
14,QA Engineer | Germany,gulp,Senior Firmware Architect (m/f/d),GULP Client,"Location: D6, Remote",Remote,Freelance,Firmware,"Senior, Architect",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4cb03132196611f189e08e417b6a1e17,2026-03-09T11:20:02.825638+00:00
14,Test Automation | Germany,gulp,Senior Angular Developer (m/f/d),GULP Client,Location: Cologne,On-site,Freelance,,"Angular, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249749,2026-03-09T11:22:30.927456+00:00
14,Test Automation | Germany,gulp,Remote: Test Manager (m/f/d) in SAP environment POS70903 s/4HANA Solution Manager HP ALM Jira Tosca,GULP Client,Location: remote,Remote,Freelance,,Jira,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a5a2d99ae026fc1cf8d1e2,2026-03-09T11:22:30.927998+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca688b86aec35538cb019,2026-03-09T11:22:30.929828+00:00
14,Python Developer | Germany,gulp,Solutions Architect (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5376dc821ba011f189e08e417b6a1e17,2026-03-09T11:23:19.879642+00:00
14,Python Developer | Germany,gulp,Network Architect (m/f/d),GULP Client,"Location: D9, remote",Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e8984c961b9711f189e08e417b6a1e17,2026-03-09T11:23:19.880646+00:00
14,Python Developer | Germany,gulp,Solution Architect Customer & Partner Portal (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,"Solution Architect, Architect",English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/7c8c29e2197f11f189e08e417b6a1e17,2026-03-09T11:23:19.882812+00:00
14,Python Developer | Germany,gulp,SAP HCM Consultant (m/f/d),GULP Client,Location: Dresden,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250743,2026-03-09T11:23:19.884264+00:00
14,Python Test | Germany,gulp,SAP VIM / OpenText Consultant (m/f/d) / Contracting or Permanent Zurich / Cross-border commuters welcome!,GULP Client,Location: Zürich,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69aae548d0a80ebf47f38e2e,2026-03-09T11:24:10.847718+00:00
14,Python Test | Germany,gulp,Expert END-to-End/ IT Infra/ MS Azure/ virtual Desktop/ Third-Party Patch Management (m/f/d),GULP Client,Location: D6,On-site,Freelance,,"Expert, Azure",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/29a1d876194d11f189e08e417b6a1e17,2026-03-09T11:24:10.849182+00:00
14,Python Test | Germany,gulp,"Appian System Specialist (m/f/d) (Senior/Lead Developer – Code Reviews, Architecture & CI/CD)",GULP Client,Location: Frankfurt am Main,Remote,Freelance,Ci/Cd,"Lead, Senior",English,"Lead, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249593,2026-03-09T11:24:10.849672+00:00
14,Firmware Engineer | Germany,gulp,Senior NetworkEngineer(Cisco) (m/f/d),GULP Client,Location: D2,On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9014663e195511f189e08e417b6a1e17,2026-03-09T11:25:02.189115+00:00
0,Tester | Germany,gulp,Test Technician / LabVIEW Test Bench (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8164693218a511f189e08e417b6a1e17,2026-03-09T11:19:11.525776+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d) Verification & Validation,GULP Client,Location: Munich,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-03-09T11:19:11.526186+00:00
0,Tester | Germany,gulp,Test Engineer ICT (m/f/d),GULP Client,Germany,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/bb69b54e127c11f196d7a2d1b5394681,2026-03-09T11:19:11.526680+00:00
0,Tester | Germany,gulp,SoftwareTester(m/f/d),GULP Client,Location: D7,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a8947742127c11f196d7a2d1b5394681,2026-03-09T11:19:11.527139+00:00
0,Tester | Germany,gulp,4389 Banking applicationtester(m/f/d),GULP Client,Location: Münster,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/028cfdd410b411f196d7a2d1b5394681,2026-03-09T11:19:11.527622+00:00
0,Tester | Germany,gulp,Tester / Test automation engineer (m/f/d),GULP Client,Germany,Hybrid,Freelance,"Java, Selenium, Test Automation","Jira, Confluence, Sql, Git",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-03-09T11:19:11.528906+00:00
0,QA Engineer | Germany,gulp,"Software Developer (m/f/d) Typescript, Python",GULP Client,Location: Frankfurt am Main,On-site,Freelance,"Python, Typescript",,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01250420,2026-03-09T11:20:02.818666+00:00
