relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, & Remote",Remote,Freelance,"Java, Javascript, Python","Aws, Freelancer, Github, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/frontend-entwickler-ui-fuer-polarion-alm-m-w-d-104802,2026-03-13T10:45:15.382561+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Nähe von Lörrach, vereinzelt Rostock/Koblenz",Remote,Freelance,,"Project Manager, Senior, R",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-projektmanager-anlagenbau-wasserstoff-m-w-d-104737,2026-03-13T10:45:15.382689+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyse-customizing-sap-produkte-kasse-kredit-kaution-fs-cd-m-w-d-104359,2026-03-13T10:45:15.383014+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Agile, Devops, Consultant, Project Manager, Senior, Microservices, Safe, R",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-03-13T10:46:19.609647+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote",Remote,Freelance,"Ci/Cd, Java, Python","Jira, Freelancer, Docker, Linux, Git, Gitlab Ci, R, Gitlab",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/java-test-engineer-m-w-d-104825,2026-03-13T10:47:18.904781+00:00
14,Test Engineer | Germany,solcom,Lead So­lu­ti­on Ar­chi­tect PLM & Qua­li­ty (m/w/d),SOLCOM Client,"D9, Remote and Bayreuth",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-solution-architect-plm-quality-m-w-d-104751,2026-03-13T10:47:18.904995+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, remote only",Remote,Freelance,"Javascript, Typescript","Freelancer, Senior, React, Git, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-frontend-entwickler-react-next-js-m-w-d-104725,2026-03-13T10:47:18.905207+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Freelancer, Docker, Linux, Project Manager, Senior, R, Ansible",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104666,2026-03-13T10:47:18.905701+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,On-site,Freelance,,"Azure, Freelancer, Sql Server, Senior, Sql, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-power-platform-integration-developer-m-w-d-104851,2026-03-13T10:49:22.788536+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","Architect, Freelancer, R",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-13T10:49:22.788955+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Lüneburg",Remote,Freelance,,"Jira, R, Freelancer, Expert",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-03-13T10:49:22.789050+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Go, Test Automation","Devops, Jira, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-13T10:45:15.382804+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Pytest, Python, Selenium, Test Automation","Nunit, Github, Sql, React, Docker, Kubernetes, R, Azure, Postman, Git",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-03-13T10:45:15.382909+00:00
0,Tester | Germany,solcom,Test­ma­na­ger SAP Cloud ALM ( CALM) (m/w/d),SOLCOM Client,D3,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-03-13T10:45:15.383114+00:00
0,Test Engineer | Germany,solcom,In­dus­tri­al En­gi­neer (m/w/d),SOLCOM Client,"D5, remote & Bulgarien vor Ort (April-Mai)",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/industrial-engineer-m-w-d-104823,2026-03-13T10:47:18.904895+00:00
0,Test Engineer | Germany,solcom,"Se­ni­or Em­bed­ded Linux Soft­ware En­gi­neer (Yocto, C++14, ARM) (m/w/d)",SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++",Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104738,2026-03-13T10:47:18.905092+00:00
0,Test Engineer | Germany,solcom,CNC Sys­tems En­gi­neer für Netz­werk­mi­gra­ti­on (m/w/d),SOLCOM Client,keine Angabe,On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/cnc-systems-engineer-fuer-netzwerkmigration-m-w-d-104712,2026-03-13T10:47:18.905319+00:00
0,Test Engineer | Germany,solcom,En­gi­neer Wind­park Steue­rung/ Steue­rungs­tech­ni­ker (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/engineer-windpark-steuerung-steuerungstechniker-m-w-d-104709,2026-03-13T10:47:18.905415+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Südschwarzwald, 2 Tage remote",Remote,Freelance,"C, Can, Python","C#, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/prueftechniker-test-engineer-m-w-d-104698,2026-03-13T10:47:18.905511+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Südschwarzwald",On-site,Freelance,"C, C++, Python",R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/python-programmierer-m-w-d-104678,2026-03-13T10:47:18.905606+00:00
0,Test Engineer | Germany,solcom,Au­to­ma­ti­on En­gi­neer / Con­t­rol Sys­tems En­gi­neer (B&R) (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automation-engineer-control-systems-engineer-b-r-m-w-d-104648,2026-03-13T10:47:18.905800+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Busi­ness Ana­lyst (m/w/d),SOLCOM Client,"CH, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-business-analyst-m-w-d-104225,2026-03-13T10:47:18.905895+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur im Be­reich Spreng­stoff (m/w/d),SOLCOM Client,"D2, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-im-bereich-sprengstoff-m-w-d-104473,2026-03-13T10:48:22.138843+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,Remote,Freelance,,"Associate, R, Azure, Devops",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ux-designer-app-m-w-d-1014514,2026-03-13T10:49:22.788653+00:00
0,Test Automation | Germany,solcom,SPS/PLC CODE­SYS & Twin­CAT (Be­ck­hoff) Ent­wick­ler mit ST (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sps-plc-codesys-twincat-beckhoff-entwickler-mit-st-m-w-d-104381,2026-03-13T10:49:22.789144+00:00
0,Python Developer | Germany,solcom,Soft­ware Ar­chi­tekt / Sen. De­ve­l­oper / SW Ar­chi­tekt - Med­Tech (m/w/d),SOLCOM Client,D9,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-architekt-sen-developer-sw-architekt-medtech-m-w-d-104833,2026-03-13T10:50:25.875121+00:00
0,Python Test | Germany,solcom,Soft­ware­ent­wick­ler (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-13T10:51:26.649679+00:00
0,Firmware Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Firmware, Microcontroller","Esp32, R, Machine Learning",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-engineer-mikrocontroller-portierung-esp-zu-nxp-m-w-d-104460,2026-03-13T10:52:28.883216+00:00
