relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Software Tester (m/f/d) Verification &amp; Validation,GULP Client,Germany,Remote,Freelance,Test Automation,"R, Freelancer",German,Freelancer,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-03-13T11:10:21.168691+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-03-13T11:10:21.170017+00:00
14,QA Engineer | Germany,gulp,Project management and coordination Cable (m/f/d),GULP Client,Germany,On-site,Freelance,,"Contractor, Expert",English,"Contractor, Expert",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ed3d44e61e3e11f189e08e417b6a1e17,2026-03-13T11:11:11.388139+00:00
14,QA Engineer | Germany,gulp,Technical Advisor (m/f/d) Plant/Mining,GULP Client,Germany,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f3bce7d61e3e11f189e08e417b6a1e17,2026-03-13T11:11:11.388596+00:00
14,QA Engineer | Germany,gulp,Software Architect / Senior Developer / SW Architect - MedTech (m/f/d),GULP Client,Location: D9,On-site,Freelance,,"Senior, Architect",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e2912c061e3e11f189e08e417b6a1e17,2026-03-13T11:11:11.389045+00:00
14,QA Engineer | Germany,gulp,Senior IT sub-project manager (m/f/d) with experience in the public sector,GULP Client,Location: Berlin,On-site,Freelance,,"Senior, Project Manager",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253513,2026-03-13T11:11:11.392427+00:00
14,QA Engineer | Germany,gulp,Senior DataEngineer(m/f/d) – Focus on test data management & XDM / Remote,GULP Client,"Location: Münster, Westfalen",Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253499,2026-03-13T11:11:11.393435+00:00
14,QA Engineer | Germany,gulp,Senior DataEngineer(m/f/d) – Focus on test data management & XDM,GULP Client,"Location: Münster, Westfalen",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253481,2026-03-13T11:11:11.393796+00:00
14,Test Automation | Germany,gulp,"IT - Consultant Digital Workplace including ITIL, platform strategy, MS Azure, M365, Workplace..(f/m/d)",GULP Client,Location: Frankfurt,Remote,Freelance,,"Azure, Consultant",English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01252815,2026-03-13T11:13:45.478379+00:00
14,Test Automation | Germany,gulp,Senior Firmware Architect (m/f/d),GULP Client,"Location: D6, Remote",Remote,Freelance,Firmware,"Senior, Architect",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4cb03132196611f189e08e417b6a1e17,2026-03-13T11:13:45.479389+00:00
14,Test Automation | Germany,gulp,Senior Angular Developer (m/f/d),GULP Client,Location: Cologne,On-site,Freelance,,"Senior, Angular",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249749,2026-03-13T11:13:45.480298+00:00
14,Test Automation | Germany,gulp,Remote: Test Manager (m/f/d) in SAP environment POS70903 s/4HANA Solution Manager HP ALM Jira Tosca,GULP Client,Location: remote,Remote,Freelance,,Jira,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a5a2d99ae026fc1cf8d1e2,2026-03-13T11:13:45.480839+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca688b86aec35538cb019,2026-03-13T11:13:45.482656+00:00
14,Python Developer | Germany,gulp,Senior IT Architect (P9) - Bonn & Remote (75%),GULP Client,Location: Bonn,Remote,Freelance,,"Senior, Architect",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253809,2026-03-13T11:14:35.340809+00:00
14,Python Developer | Germany,gulp,SAP BTP Consultant (m/f/d),GULP Client,Location: D5,On-site,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e70905921e3e11f189e08e417b6a1e17,2026-03-13T11:14:35.343892+00:00
14,Python Developer | Germany,gulp,Expert for switching processes feed-in (WPE) (m/f/d),GULP Client,"Location: Remote, D7",Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/ee9d02b81e3e11f189e08e417b6a1e17,2026-03-13T11:14:35.345452+00:00
14,Python Developer | Germany,gulp,System Architect (m/f/d),GULP Client,Location: Hamburg,Remote,Freelance,,"System Architect, Architect",English,"Architect, System Architect",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01253390,2026-03-13T11:14:35.346417+00:00
