relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,Can,"R, Canoe, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-03-13T11:55:17.781051+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-03-13T11:55:17.785182+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-03-13T11:55:17.785846+00:00
14,Tester | Germany,ferchau,Software Tester (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","C#, Scrum, Kanban, Jira, Expert, Agile, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446824/software-tester,2026-03-13T11:55:17.786814+00:00
14,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,"Java, Test Automation","Cucumber, Sql, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/494023/test-automation-engineer,2026-03-13T11:55:27.977038+00:00
14,QA Engineer | Germany,ferchau,(Lead) Test Automation Engineer - .NET / C# (m/f/d),FERCHAU,Wrocław Poland,Remote,Full-time,"C, Ci/Cd, Test Automation","Git, Azure, Linux, Lead, C#, Jira, Devops, Docker",English,Lead,,Recent,https://touch.ferchau.com/de/de/job/484519/lead-test-automation-engineer-net-c,2026-03-13T11:55:27.978366+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Cucumber, Scrum, Kanban, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-03-13T11:55:27.979057+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-03-13T11:55:27.980109+00:00
14,Test Engineer | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Git, C#, Scrum, Kanban, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-03-13T11:55:37.455910+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-03-13T11:55:46.368314+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Industrie (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/291999/testingenieur-industrie,2026-03-13T11:55:46.371430+00:00
