relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Test Engineer | Switzerland,linkedin,"Software Engineer, Search Quality",Google,"Zurich, Zurich, Switzerland",On-site,Full-time,,,English,,,Recent,https://ch.linkedin.com/jobs/view/software-engineer-search-quality-at-google-4377718927,2026-03-15T10:27:46.892929+00:00
29,Testingenieur | USA,linkedin,Entry Level Test Engineer,NXP Semiconductors,"Austin, TX",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/entry-level-test-engineer-at-nxp-semiconductors-4383792747,2026-03-15T10:28:20.629387+00:00
29,Python Developer | USA,linkedin,Software Engineer - Early Career (Backend/Data),Apple,"New York, NY",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-early-career-backend-data-at-apple-4383252766,2026-03-15T10:29:03.777956+00:00
29,Firmware Engineer | Austria,linkedin,Internship: Embedded Software Developer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Internship,,Internship,English,,,Recent,https://at.linkedin.com/jobs/view/internship-embedded-software-developer-m-f-d-at-nxp-semiconductors-4385349797,2026-03-15T10:29:32.380388+00:00
29,Firmware Engineer | Remote,linkedin,Embedded Engineer,Intellias,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/embedded-engineer-at-intellias-4383707882,2026-03-15T10:29:37.111929+00:00
14,Tester | Germany,linkedin,Test Automation Engineer,Delivery Hero,"Berlin, Berlin, Germany",Remote,Full-time,"Can, Ci/Cd, Continuous Testing, Github Actions, Go, Java, Javascript, Test Automation","Kotlin, Cucumber, Grafana, Agile, Lead, Github, Gcp, Appium, Restassured",English,Lead,,Recent,https://de.linkedin.com/jobs/view/test-automation-engineer-at-delivery-hero-4383137200,2026-03-15T10:26:59.583101+00:00
14,Tester | Germany,linkedin,Game QA Tester,welevel,"Munich, Bavaria, Germany",On-site,Internship,,"Senior, Regression Testing, Lead",English,"Lead, Senior",,Recent,https://de.linkedin.com/jobs/view/game-qa-tester-at-welevel-4371993029,2026-03-15T10:26:59.583432+00:00
14,Tester | Austria,linkedin,Quality Assurance Specialist (Software Tester) (m/f/d) - Freelancer,Roche,"Vienna, Vienna, Austria",Remote,Contract,Can,"Agile, Freelancer",English,Freelancer,,Recent,https://at.linkedin.com/jobs/view/quality-assurance-specialist-software-tester-m-f-d-freelancer-at-roche-4375047176,2026-03-15T10:27:01.973543+00:00
14,Tester | Austria,linkedin,Senior Software Tester*in (m/w/d),Value Dimensions Management Services GmbH,"Vienna, Vienna, Austria",On-site,Full-time,"Selenium, Test Automation","Associate, Sql, Senior, Php, R",German,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-tester-in-m-w-d-at-value-dimensions-management-services-gmbh-4379556072,2026-03-15T10:27:01.973729+00:00
14,Tester | Austria,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Austria,On-site,Contract,"Can, Ci/Cd, Github Actions, Pytest, Python, Test Automation","Github, Senior, Expert, React, Docker",English,"Expert, Senior",,Recent,https://at.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385318008,2026-03-15T10:27:01.973901+00:00
14,Tester | Austria,linkedin,Senior Semiconductors Test Engineer - (ONSITE in Switzerland),Gramian Consulting,Austria,On-site,Contract,"C, C++, Python","Senior, Junior, R",English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-semiconductors-test-engineer-onsite-in-switzerland-at-gramian-consulting-4382187810,2026-03-15T10:27:01.974057+00:00
