relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Jira, Load Testing, R",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104858,2026-03-15T10:37:42.703383+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, & Remote",Remote,Freelance,"Java, Javascript, Python","R, Aws, Github, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/frontend-entwickler-ui-fuer-polarion-alm-m-w-d-104802,2026-03-15T10:37:42.703520+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Nähe von Lörrach, vereinzelt Rostock/Koblenz",Remote,Freelance,,"Senior, Project Manager, R",German,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-projektmanager-anlagenbau-wasserstoff-m-w-d-104737,2026-03-15T10:37:42.703628+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote",Remote,Freelance,"Ci/Cd, Java, Python","Docker, R, Linux, Gitlab Ci, Freelancer, Git, Jira, Gitlab",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/java-test-engineer-m-w-d-104825,2026-03-15T10:39:44.925099+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, remote & Bulgarien vor Ort (April-Mai)",Remote,Freelance,,"Expert, R",German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/industrial-engineer-m-w-d-104823,2026-03-15T10:39:44.925224+00:00
14,Test Engineer | Germany,solcom,Lead So­lu­ti­on Ar­chi­tect PLM & Qua­li­ty (m/w/d),SOLCOM Client,"D9, Remote and Bayreuth",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-solution-architect-plm-quality-m-w-d-104751,2026-03-15T10:39:44.925323+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,On-site,Freelance,,"Senior, R, Sql, Sql Server, Freelancer, Azure",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-power-platform-integration-developer-m-w-d-104851,2026-03-15T10:41:51.484458+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","R, Freelancer, Architect",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-15T10:41:51.484901+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Javascript, Pytest, Python, Selenium, Test Automation, Typescript","Databricks, Freelancer, Azure, Docker, Sql Server, Github, C#, Devops, React, Nosql",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-15T10:43:55.017969+00:00
0,Tester | Germany,solcom,Test- und Qua­li­täts­ma­nage­ment (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-15T10:37:42.703736+00:00
0,Tester | Germany,solcom,Soft­ware Tes­ter (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-03-15T10:37:42.703842+00:00
0,Tester | Germany,solcom,Test­ma­na­ger SAP Cloud ALM ( CALM) (m/w/d),SOLCOM Client,D3,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-03-15T10:37:42.703947+00:00
0,QA Engineer | Germany,solcom,SAFe Pro­jekt­lei­ter IT (m/w/d),SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,,Safe,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-03-15T10:38:44.507169+00:00
0,Test Engineer | Germany,solcom,"Se­ni­or Em­bed­ded Linux Soft­ware En­gi­neer (Yocto, C++14, ARM) (m/w/d)",SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++",Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104738,2026-03-15T10:39:44.925424+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Front­end Ent­wick­ler React / next.​js (m/w/d),SOLCOM Client,"Remote, remote only",Remote,Freelance,,React,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-frontend-entwickler-react-next-js-m-w-d-104725,2026-03-15T10:39:44.925529+00:00
0,Test Engineer | Germany,solcom,CNC Sys­tems En­gi­neer für Netz­werk­mi­gra­ti­on (m/w/d),SOLCOM Client,keine Angabe,On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/cnc-systems-engineer-fuer-netzwerkmigration-m-w-d-104712,2026-03-15T10:39:44.925630+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,"Entry-Level, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/engineer-windpark-steuerung-steuerungstechniker-m-w-d-104709,2026-03-15T10:39:44.925726+00:00
0,Test Engineer | Germany,solcom,Prüf­tech­ni­ker / Prüf­stand Lab­view (m/w/d),SOLCOM Client,"D7, Südschwarzwald, 2 Tage remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/prueftechniker-test-engineer-m-w-d-104698,2026-03-15T10:39:44.925821+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Südschwarzwald",On-site,Freelance,"C, C++, Python",R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/python-programmierer-m-w-d-104678,2026-03-15T10:39:44.925918+00:00
