relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Senior Tester für Zusammenarbeit (m/w/d) (Ref.Nr.: 46338),XING Employer,Germany/Remote,Remote,Full-time,,"R, Senior",English,Senior,,Recent,https://www.xing.com/jobs/muenchen-senior-tester-zusammenarbeit-ref-nr-46338-152015979,2026-03-15T11:12:28.978137+00:00
14,Tester | Germany,xing,Senior Software Tester – Webapplikationen & Testautomatisierung (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/karlsruhe-senior-software-tester-webapplikationen-testautomatisierung-151982686,2026-03-15T11:12:28.978204+00:00
14,Tester | Austria,xing,Senior Drupal Application Tester,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/wien-senior-drupal-application-tester-151718026,2026-03-15T11:12:43.799569+00:00
14,Tester | Austria,xing,Senior Test Automation Engineer (m/f/x),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/wien-senior-test-automation-engineer-151855788,2026-03-15T11:12:43.800033+00:00
14,Tester | Austria,xing,Test Automation Architect (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Architect,English,Architect,,Recent,https://www.xing.com/jobs/wien-test-automation-architect-151373716,2026-03-15T11:12:43.800094+00:00
14,Tester | Switzerland,xing,IT Senior Business Analyst (m/w/d) - IT-Requirements & Lösungsdesign (Ref.Nr.: 46337),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/zuerich-it-senior-business-analyst-it-requirements-loesungsdesign-ref-nr-46337-152015978,2026-03-15T11:12:57.463340+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/berlin-senior-qa-engineer-152068466,2026-03-15T11:13:28.167244+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer (f/m/x) – Billing Technology,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/berlin-senior-qa-engineer-billing-technology-152008468,2026-03-15T11:13:28.167398+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/muenchen-senior-qa-engineer-151952717,2026-03-15T11:13:28.167603+00:00
14,QA Engineer | Germany,xing,"Senior Software QA Engineer C# | Testpläne, UnitTests, Testautomation, TFS, Git, BDD | Inhouse (mwd)",XING Employer,Germany/Remote,Remote,Full-time,C,"Senior, C#, Git, Bdd",English,Senior,,Recent,https://www.xing.com/jobs/muenchen-senior-software-qa-engineer-testplaene-unittests-testautomation-tfs-git-bdd-inhouse-mwd-151794705,2026-03-15T11:13:28.167840+00:00
14,QA Engineer | Austria,xing,Senior Manual QA Engineer (B2C),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/wien-senior-manual-qa-engineer-b2c-151661623,2026-03-15T11:13:41.803678+00:00
14,QA Engineer | Austria,xing,"Senior QA Engineer, Typescript (DeFi Wallet)",XING Employer,Germany/Remote,Remote,Full-time,Typescript,Senior,English,Senior,,Recent,https://www.xing.com/jobs/wien-senior-qa-engineer-typescript-defi-wallet-151089834,2026-03-15T11:13:41.803759+00:00
