relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, & Remote",Remote,Freelance,"Java, Javascript, Python","Aws, Freelancer, Github, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/frontend-entwickler-ui-fuer-polarion-alm-m-w-d-104802,2026-03-17T11:00:40.345199+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D3,On-site,Freelance,Integration Testing,"Intern, R",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-sap-cloud-alm-calm-m-w-d-104294,2026-03-17T11:00:40.345659+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Consultant, Senior, Agile, Safe, Devops, Microservices, Project Manager, R",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-03-17T11:01:46.551284+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, remote & Bulgarien vor Ort (April-Mai)",Remote,Freelance,,"R, Expert",German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/industrial-engineer-m-w-d-104823,2026-03-17T11:02:52.705408+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D9, Remote and Bayreuth",Remote,Freelance,,"Senior, Solution Architect, Freelancer, Lead, Architect, R",English,"Architect, Freelancer, Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-solution-architect-plm-quality-m-w-d-104751,2026-03-17T11:02:52.705508+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,On-site,Freelance,,"Sql Server, Senior, Sql, Freelancer, Azure, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-power-platform-integration-developer-m-w-d-104851,2026-03-17T11:05:03.389855+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","Freelancer, Architect, R",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-17T11:05:03.390189+00:00
14,Python Developer | Germany,solcom,Weitere Projekte,SOLCOM Client,D9,On-site,Freelance,"C, C++, Can, Python","Safe, Aspice, Agile, Freelancer, Scrum, Autosar, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-architekt-sen-developer-sw-architekt-medtech-m-w-d-104833,2026-03-17T11:06:08.693386+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Javascript, Pytest, Python, Selenium, Test Automation, Typescript","Github, Nunit, C#, Databricks, Nosql, Sql Server, Docker, React, Sql, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-17T11:07:11.838764+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104858,2026-03-17T11:00:40.345068+00:00
0,Tester | Germany,solcom,Se­ni­or Pro­jekt­ma­na­ger An­la­gen­bau - Was­ser­stoff (m/w/d),SOLCOM Client,"D7, Nähe von Lörrach, vereinzelt Rostock/Koblenz",On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-projektmanager-anlagenbau-wasserstoff-m-w-d-104737,2026-03-17T11:00:40.345309+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Go, Test Automation","Devops, Jira, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-17T11:00:40.345424+00:00
0,Tester | Germany,solcom,Soft­ware Tes­ter (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-03-17T11:00:40.345530+00:00
0,Test Engineer | Germany,solcom,Java Test En­gi­neer (m/w/d),SOLCOM Client,"D7, Remote",Remote,Freelance,Java,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/java-test-engineer-m-w-d-104825,2026-03-17T11:02:52.705304+00:00
0,Test Engineer | Germany,solcom,"Se­ni­or Em­bed­ded Linux Soft­ware En­gi­neer (Yocto, C++14, ARM) (m/w/d)",SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++",Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104738,2026-03-17T11:02:52.705622+00:00
0,Test Engineer | Germany,solcom,Se­ni­or Front­end Ent­wick­ler React / next.​js (m/w/d),SOLCOM Client,"Remote, remote only",Remote,Freelance,,React,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-frontend-entwickler-react-next-js-m-w-d-104725,2026-03-17T11:02:52.705723+00:00
0,Test Engineer | Germany,solcom,Prüf­tech­ni­ker / Prüf­stand Lab­view (m/w/d),SOLCOM Client,"D7, Südschwarzwald, 2 Tage remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/prueftechniker-test-engineer-m-w-d-104698,2026-03-17T11:02:52.705821+00:00
0,Test Engineer | Germany,solcom,HPC Sys­tem/Soft­ware En­gi­neer (m/w/d),SOLCOM Client,"Remote, D4",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104666,2026-03-17T11:02:52.705917+00:00
0,Test Engineer | Germany,solcom,Au­to­ma­ti­on En­gi­neer / Con­t­rol Sys­tems En­gi­neer (B&R) (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automation-engineer-control-systems-engineer-b-r-m-w-d-104648,2026-03-17T11:02:52.706014+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-im-bereich-sprengstoff-m-w-d-104473,2026-03-17T11:03:59.815226+00:00
0,Test Automation | Germany,solcom,Jira & At­las­si­an Ex­per­te (m/w/d),SOLCOM Client,"D2, Lüneburg",On-site,Freelance,,Jira,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-03-17T11:05:03.390291+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, / Remote",Remote,Freelance,"Ci/Cd, Python","Node.Js, Safe, Docker, Devops, Gitlab, Gitlab Ci, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/schnittstellenentwickler-backend-devops-m-w-d-104883,2026-03-17T11:07:11.837349+00:00
