relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,SAP EWM Consultant (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255434,2026-03-19T11:15:14.421720+00:00
14,Tester | Germany,gulp,Senior Test Manager (m/f/d),GULP Client,Location: Coblence,Remote,Freelance,,Senior,English,"Senior, Test Manager",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255272,2026-03-19T11:15:14.422212+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-03-19T11:15:14.425830+00:00
14,QA Engineer | Germany,gulp,Senior SIEMEngineer(m/f/d) Microsoft Sentinel & Azure Cloud Security Remote and Dortmund,GULP Client,Location: Dortmund,Remote,Freelance,,"Azure, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bbb0b15b755535eac3e5f5,2026-03-19T11:16:05.826879+00:00
14,QA Engineer | Germany,gulp,Lead Analyst Requirements Analysis/Concept (m/f/d),GULP Client,Location: siehe Beschreibung,Remote,Freelance,,Lead,English,Lead,,Recent,https://www.gulp.de/gulp2/g/projekte/direkt/69bbacdb44f03bce7ee020af,2026-03-19T11:16:05.827562+00:00
14,QA Engineer | Germany,gulp,"Senior Business Analyst (m/f/d) GridAnalyse, EMS, SCADA - Remote & Berlin",GULP Client,Location: Berlin,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bac7445b755535eac3c9cd,2026-03-19T11:16:05.828977+00:00
14,QA Engineer | Germany,gulp,Network Architect (m/f/d) for CIS,GULP Client,Location: Neunkirchen,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256134,2026-03-19T11:16:05.830177+00:00
14,QA Engineer | Germany,gulp,Test Manager (m/f/d) HR Systems,GULP Client,Location: Bielefeld,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256072,2026-03-19T11:16:05.830765+00:00
14,QA Engineer | Germany,gulp,Automation Consultant (m/f/d),GULP Client,Location: Stuttgart,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255968,2026-03-19T11:16:05.832121+00:00
14,QA Engineer | Germany,gulp,Senior IAMEngineer(m/f/d) Keycloak & OpenLDAP,GULP Client,Location: Stuttgart,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255927,2026-03-19T11:16:05.832706+00:00
14,QA Engineer | Germany,gulp,"SAP Consultant - S4HANA Public Cloud & ITSM Implementation, SAP BTP, ABAP Cloud",GULP Client,Location: Baden (Schweiz),Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69b985b35b755535eac35649,2026-03-19T11:16:05.834050+00:00
14,QA Engineer | Germany,gulp,SAP Datasphere Expert (m/f/d) - 100% Home Office,GULP Client,Germany,Remote,Freelance,Can,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255643,2026-03-19T11:16:05.834628+00:00
14,Test Automation | Germany,gulp,Software Architect / Senior Developer / SW Architect - MedTech (m/f/d),GULP Client,Location: D9,On-site,Freelance,,"Architect, Senior",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e2912c061e3e11f189e08e417b6a1e17,2026-03-19T11:18:35.026001+00:00
14,Test Automation | Germany,gulp,Senior Firmware Architect (m/f/d),GULP Client,"Location: D6, Remote",Remote,Freelance,Firmware,"Architect, Senior",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4cb03132196611f189e08e417b6a1e17,2026-03-19T11:18:35.026462+00:00
14,Test Automation | Germany,gulp,Senior Angular Developer (m/f/d),GULP Client,Location: Cologne,On-site,Freelance,,"Senior, Angular",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01249749,2026-03-19T11:18:35.027245+00:00
14,Test Automation | Germany,gulp,Remote: Test Manager (m/f/d) in SAP environment POS70903 s/4HANA Solution Manager HP ALM Jira Tosca,GULP Client,Location: remote,Remote,Freelance,,Jira,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69a5a2d99ae026fc1cf8d1e2,2026-03-19T11:18:35.027715+00:00
14,Test Automation | Germany,gulp,SAP Test Manager (m/f/d),GULP Client,Location: Düsseldorf,Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/698ca688b86aec35538cb019,2026-03-19T11:18:35.029282+00:00
14,Python Developer | Germany,gulp,Research Consultant SAP Authorizations HCM - 90% Remote,GULP Client,Location: Berlin,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256355,2026-03-19T11:19:24.952715+00:00
