relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,Can,"Canoe, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-03-19T12:00:34.146265+00:00
14,Tester | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/498685/testingenieur-medizintechnik,2026-03-19T12:00:34.148277+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-03-19T12:00:34.149235+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-03-19T12:00:34.150010+00:00
14,Tester | Germany,ferchau,Software Tester (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","Scrum, R, C#, Kanban, Agile, Expert, Jira",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446824/software-tester,2026-03-19T12:00:34.150977+00:00
14,Tester | Germany,ferchau,Softwaretester / Software Test Engineer (m/w/d),FERCHAU,Frei­burg im Breisgau Deut­sch­land,Vor Ort,Full-time,"C, Java, Python","Scrum, R, Git, C#, Kanban, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/133507/softwaretester-software-test-engineer,2026-03-19T12:00:34.153756+00:00
14,Tester | Germany,ferchau,Systemtester (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Vor Ort,Full-time,,"Sql, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443281/systemtester,2026-03-19T12:00:34.154548+00:00
14,QA Engineer | Germany,ferchau,Test Automation Engineer (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,"Java, Test Automation","R, Sql, Cucumber, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/494023/test-automation-engineer,2026-03-19T12:00:42.337054+00:00
14,QA Engineer | Germany,ferchau,(Lead) Test Automation Engineer - .NET / C# (m/f/d),FERCHAU,Wrocław Poland,Remote,Full-time,"C, Ci/Cd, Test Automation","Azure, Lead, Git, Devops, Docker, C#, Jira, Linux",English,Lead,,Recent,https://touch.ferchau.com/de/de/job/484519/lead-test-automation-engineer-net-c,2026-03-19T12:00:42.339984+00:00
14,QA Engineer | Germany,ferchau,Software Quality Engineer (m/w/d),FERCHAU,Frank­furt am Main Deut­sch­land,Hybrid,Full-time,"Ci/Cd, Java","Scrum, R, Cucumber, Expert, Kanban",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/443530/software-quality-engineer,2026-03-19T12:00:42.340796+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-03-19T12:00:42.341996+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-03-19T12:00:51.682974+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-03-19T12:01:01.693296+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d) FPGA,FERCHAU,Fried­richs­hafen Deut­sch­land,Remote,Full-time,,"Fpga, Vhdl, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485350/testingenieur-fpga,2026-03-19T12:01:01.696128+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Hybrid,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/243886/testingenieur-medizintechnik,2026-03-19T12:01:01.697956+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Vor Ort,Full-time,"Can, Hil, Python","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/334791/testingenieur,2026-03-19T12:01:01.698749+00:00
14,Testingenieur | Germany,ferchau,Testingenieur alternative Antriebe (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485857/testingenieur-alternative-antriebe,2026-03-19T12:01:01.699714+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Industrie (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/291999/testingenieur-industrie,2026-03-19T12:01:01.701246+00:00
14,Test Automation | Germany,ferchau,Process Automation Engineer (m/f/d),FERCHAU,Wrocław Poland,Hybrid,Full-time,,"Lead, Expert",English,"Expert, Lead",,Recent,https://touch.ferchau.com/de/de/job/489412/process-automation-engineer,2026-03-19T12:01:11.025480+00:00
14,Test Automation | Germany,ferchau,Senior Automation Engineer (m/w/d),FERCHAU,Burg­kir­chen an der Alz Deut­sch­land,Remote,Full-time,,"Senior, R",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/440530/senior-automation-engineer,2026-03-19T12:01:11.028692+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"R, Nosql, Sql, Expert, Junior, Linux",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-03-19T12:01:20.728380+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","R, Expert, Angular",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-03-19T12:01:20.735887+00:00
14,Python Developer | Germany,ferchau,Senior Software Python Engineer (m/f/d),FERCHAU,Warsaw Poland,Hybrid,Full-time,"Ci/Cd, Go, Python","Lead, Senior",English,"Lead, Senior",,Recent,https://touch.ferchau.com/de/de/job/490762/senior-software-python-engineer,2026-03-19T12:01:20.737341+00:00
14,Python Developer | Germany,ferchau,DevSecOps Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Go, Python","Azure, R, Devops, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/494395/devsecops-developer,2026-03-19T12:01:20.739710+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Rostock Deut­sch­land,Remote,Full-time,"C, C++, Python","R, Expert",German,"Expert, Test Manager",,Recent,https://touch.ferchau.com/de/de/job/288574/softwaretester,2026-03-19T12:01:30.519684+00:00
14,Python Test | Germany,ferchau,System Test Engineer (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,"C, C++, Python","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/493645/system-test-engineer,2026-03-19T12:01:30.521723+00:00
14,Python Test | Germany,ferchau,Embedded-Software- und Systemtester (m/w/d),FERCHAU,Gießen Deut­sch­land,Remote,Full-time,"C, C++, Embedded Systems, Hil, Python, Sil","Scrum, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/348925/embedded-software-und-systemtester,2026-03-19T12:01:30.529434+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Neubran­den­burg Deut­sch­land,Hybrid,Full-time,"C, C++, Python",R,German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/294622/softwaretester,2026-03-19T12:01:30.530792+00:00
14,Firmware Engineer | Germany,ferchau,Development Engineer Firmware Optronics (m/w/d),FERCHAU,Schro­ben­hausen Deut­sch­land,Remote,Full-time,"C, Firmware","R, Fpga, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/496348/development-engineer-firmware-optronics,2026-03-19T12:01:40.865762+00:00
