relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Test Automation | USA,linkedin,Software Tester/QA Analyst,Intellibee Inc,"Richmond, VA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-tester-qa-analyst-at-intellibee-inc-4388537345,2026-03-21T10:26:05.591699+00:00
29,Python Test | USA,linkedin,"software QA engineer, Pages",Apple,"Cupertino, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-qa-engineer-pages-at-apple-4387799023,2026-03-21T10:26:49.598000+00:00
29,Python Test | USA,linkedin,Software Tester/QA Analyst,Intellibee Inc,"Richmond, VA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-tester-qa-analyst-at-intellibee-inc-4387893213,2026-03-21T10:26:49.598477+00:00
29,Python Test | United Kingdom,linkedin,Software Tester,Intellect Group,"Oxfordshire, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-tester-at-intellect-group-4387440591,2026-03-21T10:26:52.082348+00:00
29,Firmware Engineer | Austria,linkedin,Internship: Embedded Software Developer (m/f/d),NXP Semiconductors,"Gratkorn, Styria, Austria",On-site,Internship,,Internship,English,,,Recent,https://at.linkedin.com/jobs/view/internship-embedded-software-developer-m-f-d-at-nxp-semiconductors-4385349797,2026-03-21T10:26:56.861638+00:00
29,Firmware Engineer | Remote,linkedin,Embedded Engineer,Intellias,Germany,Remote,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/embedded-engineer-at-intellias-4383707882,2026-03-21T10:27:01.647242+00:00
29,Firmware Engineer | USA,linkedin,Embedded Software Engineer,Apple,"Cupertino, CA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-apple-4384209535,2026-03-21T10:27:11.468807+00:00
29,Firmware Engineer | USA,linkedin,"Software Engineer II, Early Career",Google,"New York, NY",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/software-engineer-ii-early-career-at-google-4383973345,2026-03-21T10:27:11.468956+00:00
14,Tester | Germany,linkedin,Test Engineer (m/w/d),Schotstek GmbH,"Schweinfurt, Bavaria, Germany",On-site,Internship,"C, C++, Python","Devops, R, Project Manager, Azure",German,Test Manager,,Recent,https://de.linkedin.com/jobs/view/test-engineer-m-w-d-at-schotstek-gmbh-4384473724,2026-03-21T10:24:21.490946+00:00
14,Tester | Austria,linkedin,Supplier Test Engineer (all genders),Lam Research,"Villach, Carinthia, Austria",Remote,Internship,"C, C++, Python",Lead,English,Lead,,Recent,https://at.linkedin.com/jobs/view/supplier-test-engineer-all-genders-at-lam-research-4377926919,2026-03-21T10:24:23.860525+00:00
14,Tester | Switzerland,linkedin,Senior Test Engineer,H55,"Sion, Valais, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-engineer-at-h55-4375428762,2026-03-21T10:24:26.213073+00:00
14,Tester | Switzerland,linkedin,IT Business Consultant – Software Tester,Forty2 AG,"Lausanne, Vaud, Switzerland",On-site,Full-time,,Consultant,English,Consultant,,Recent,https://ch.linkedin.com/jobs/view/it-business-consultant-%E2%80%93-software-tester-at-forty2-ag-4377720142,2026-03-21T10:24:26.214259+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Hamburg, Hamburg, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385195931,2026-03-21T10:24:28.607338+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Frankfurt am Main, Hesse, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385199876,2026-03-21T10:24:28.607503+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Berlin, Berlin, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385195928,2026-03-21T10:24:28.607670+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Stuttgart, Baden-Württemberg, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385307288,2026-03-21T10:24:28.607821+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Munich, Bavaria, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4385196910,2026-03-21T10:24:28.607978+00:00
