relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,"Confluence, R, Aspice, Jira",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-manager-m-w-d-104998,2026-03-21T10:35:02.804226+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Oberkochen",Remote,Freelance,,"Agile, R, System Architect",German,"System Architect, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104981,2026-03-21T10:35:02.804489+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Load Testing, Jira",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104858,2026-03-21T10:35:02.804599+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, & Remote",Remote,Freelance,"Java, Javascript, Python","Aws, Freelancer, Github, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/frontend-entwickler-ui-fuer-polarion-alm-m-w-d-104802,2026-03-21T10:35:02.804701+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Safe, Devops, Project Manager, Microservices, Consultant, Senior, Agile, R",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-03-21T10:36:05.798615+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote",Remote,Freelance,"Ci/Cd, Java, Python","Gitlab Ci, Gitlab, Jira, Docker, Freelancer, Linux, Git, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/java-test-engineer-m-w-d-104825,2026-03-21T10:37:03.278162+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, remote & Bulgarien vor Ort (April-Mai)",Remote,Freelance,,"R, Expert",German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/industrial-engineer-m-w-d-104823,2026-03-21T10:37:03.278263+00:00
14,Test Engineer | Germany,solcom,Lead So­lu­ti­on Ar­chi­tect PLM & Qua­li­ty (m/w/d),SOLCOM Client,"D9, Remote and Bayreuth",Remote,Freelance,,Lead,English,Lead,,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-solution-architect-plm-quality-m-w-d-104751,2026-03-21T10:37:03.278364+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Docker, Ansible, Project Manager, Freelancer, Senior, Linux, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104666,2026-03-21T10:37:03.278681+00:00
14,Python Developer | Germany,solcom,Weitere Projekte,SOLCOM Client,D9,On-site,Freelance,"C, C++, Can, Python","Safe, Autosar, Freelancer, Scrum, Agile, R, Aspice",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-architekt-sen-developer-sw-architekt-medtech-m-w-d-104833,2026-03-21T10:40:06.021876+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D3, remote",Remote,Freelance,"C, Python","C#, Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-entwickler-c-m-w-d-104995,2026-03-21T10:41:08.173229+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Javascript, Pytest, Python, Selenium, Test Automation, Typescript","C#, Databricks, React, Git, Nosql, Github, Sql, Azure, Devops, Docker",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-m-w-d-104523,2026-03-21T10:41:08.174788+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,Hil,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-sw-qualification-tester-m-w-d-104999,2026-03-21T10:35:02.804350+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Go, Test Automation","Jira, Devops, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-21T10:35:02.804803+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"C, Ci/Cd, Github Actions, Pytest, Python, Selenium, Test Automation","C#, Manual Testing, React, Git, Nosql, Github, Sql, Azure, Devops, Docker",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-03-21T10:35:02.804904+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/anforderungsmanager-doors-m-w-d-104967,2026-03-21T10:37:03.277825+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektmanager-fuer-produktentwicklung-mit-schwerpunkt-windkraftanlagen-m-w-d-104938,2026-03-21T10:37:03.277954+00:00
0,Test Engineer | Germany,solcom,"Se­ni­or Em­bed­ded Linux Soft­ware En­gi­neer (Yocto, C++14, ARM) (m/w/d)",SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++",Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104738,2026-03-21T10:37:03.278483+00:00
0,Test Engineer | Germany,solcom,Prüf­tech­ni­ker / Prüf­stand Lab­view (m/w/d),SOLCOM Client,"D7, Südschwarzwald, 2 Tage remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/prueftechniker-test-engineer-m-w-d-104698,2026-03-21T10:37:03.278583+00:00
0,Test Automation | Germany,solcom,Se­ni­or Power Plat­form / In­te­gra­ti­on De­ve­l­oper (m/w/d),SOLCOM Client,keine Angabe,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-power-platform-integration-developer-m-w-d-104851,2026-03-21T10:39:06.682369+00:00
0,Test Automation | Germany,solcom,Ser­vice­Now Plat­form Ar­chi­tect (m/w/d),SOLCOM Client,"D4, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-21T10:39:06.682625+00:00
0,Test Automation | Germany,solcom,Jira & At­las­si­an Ex­per­te (m/w/d),SOLCOM Client,"D2, Lüneburg",On-site,Freelance,,Jira,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-03-21T10:39:06.682727+00:00
0,Python Developer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"Python, Shell","Gcp, Unix",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/developer-consultant-microstrategy-bi-m-w-d-104926,2026-03-21T10:40:06.021757+00:00
0,Python Test | Germany,solcom,Em­bed­ded C++ Ent­wick­ler (m/w/d),SOLCOM Client,"D3, remote",Remote,Freelance,"C, C++",,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-c-entwickler-m-w-d-104984,2026-03-21T10:41:08.173453+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, / Remote",Remote,Freelance,"Ci/Cd, Python","Gitlab Ci, Gitlab, Node.Js, Safe, Devops, Docker, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/schnittstellenentwickler-backend-devops-m-w-d-104883,2026-03-21T10:41:08.173618+00:00
