relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,SAP EWM Consultant (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255434,2026-03-21T11:00:37.864431+00:00
14,Tester | Germany,gulp,Senior Test Manager (m/f/d),GULP Client,Location: Coblence,Remote,Freelance,,Senior,English,"Senior, Test Manager",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255272,2026-03-21T11:00:37.864924+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-03-21T11:00:37.868556+00:00
14,QA Engineer | Germany,gulp,Tier 3 Operations Specialist (m/f/d) Network &amp; Security,GULP Client,Germany,Remote,Freelance,,"Argocd, Kubernetes, Jira, Contractor, Grafana, Prometheus, Datadog, Devops, Gitlab, Confluence",English,"Contractor, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69bd5dfd5b755535eac5d506,2026-03-21T11:01:29.230934+00:00
14,QA Engineer | Germany,gulp,Senior Salesforce Developer / Technical Architect (m/f/d) Enterprise CRM Upgrade,GULP Client,Germany,Remote,Freelance,,"Architect, Consultant, Senior",English,"Architect, Consultant, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256903,2026-03-21T11:01:29.231383+00:00
14,QA Engineer | Germany,gulp,Senior UiPath Consultant (m/f/d) - Test Automation,GULP Client,Location: Dresden,Remote,Freelance,Test Automation,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256858,2026-03-21T11:01:29.234497+00:00
14,Test Automation | Germany,gulp,Senior AWS Developer (f/m/d) Home office,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Aws, Senior",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256878,2026-03-21T11:04:02.224961+00:00
14,Test Automation | Germany,gulp,Kubernetes Expert (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,"Kubernetes, Expert",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256739,2026-03-21T11:04:02.225885+00:00
14,Test Automation | Germany,gulp,"SAP Consultant - S4HANA Public Cloud & ITSM Implementation, SAP BTP, ABAP Cloud",GULP Client,Location: Baden (Schweiz),Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69b985b35b755535eac35649,2026-03-21T11:04:02.227856+00:00
14,Test Automation | Germany,gulp,Software Architect / Senior Developer / SW Architect - MedTech (m/f/d),GULP Client,Location: D9,On-site,Freelance,,"Architect, Senior",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e2912c061e3e11f189e08e417b6a1e17,2026-03-21T11:04:02.229197+00:00
14,Test Automation | Germany,gulp,Senior Firmware Architect (m/f/d),GULP Client,"Location: D6, Remote",Remote,Freelance,Firmware,"Architect, Senior",English,"Architect, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4cb03132196611f189e08e417b6a1e17,2026-03-21T11:04:02.229746+00:00
