relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,"Jira, Aspice, R, Confluence",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-manager-m-w-d-104998,2026-03-23T11:02:30.035682+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Oberkochen",Remote,Freelance,,"Agile, System Architect, R",German,"System Architect, Test Manager",,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104981,2026-03-23T11:02:30.035920+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"Jira, Load Testing, R",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104858,2026-03-23T11:02:30.036023+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, & Remote",Remote,Freelance,"Java, Javascript, Python","Aws, R, Github, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/frontend-entwickler-ui-fuer-polarion-alm-m-w-d-104802,2026-03-23T11:02:30.036121+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Agile, Devops, Project Manager, Consultant, Senior, R, Microservices, Safe",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-03-23T11:03:30.153480+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote",Remote,Freelance,"Ci/Cd, Java, Python","Git, Gitlab, Linux, Docker, Gitlab Ci, R, Jira, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/java-test-engineer-m-w-d-104825,2026-03-23T11:04:32.086602+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, remote & Bulgarien vor Ort (April-Mai)",Remote,Freelance,,"Expert, R",German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/industrial-engineer-m-w-d-104823,2026-03-23T11:04:32.086769+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D9, Remote and Bayreuth",Remote,Freelance,,"Lead, Senior, Solution Architect, R, Architect, Freelancer",English,"Architect, Freelancer, Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-solution-architect-plm-quality-m-w-d-104751,2026-03-23T11:04:32.086931+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Project Manager, Linux, Docker, Ansible, Senior, R, Freelancer",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104666,2026-03-23T11:04:32.087406+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","R, Architect, Freelancer",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-23T11:06:36.347352+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Lüneburg",Remote,Freelance,,"Expert, Jira, R, Freelancer",German,"Expert, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/jira-atlassian-experte-m-w-d-104456,2026-03-23T11:06:36.347731+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D3, remote",Remote,Freelance,"C, Python","R, C#, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-software-entwickler-c-m-w-d-104995,2026-03-23T11:08:38.424093+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D3, remote",Remote,Freelance,"C, C++, Python","Gitlab, R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/embedded-c-entwickler-m-w-d-104984,2026-03-23T11:08:38.424217+00:00
0,Tester | Germany,solcom,HIL-Tes­ter / SW-Qua­li­fi­ca­ti­on Tes­ter (m/w/d),SOLCOM Client,D4,On-site,Freelance,Hil,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hil-tester-sw-qualification-tester-m-w-d-104999,2026-03-23T11:02:30.035808+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Go, Test Automation","Devops, Jira, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-23T11:02:30.036220+00:00
0,Tester | Germany,solcom,Soft­ware Tes­ter (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-m-w-d-104524,2026-03-23T11:02:30.036321+00:00
0,Test Engineer | Germany,solcom,An­for­de­rungs­ma­na­ger DOORS (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/anforderungsmanager-doors-m-w-d-104967,2026-03-23T11:04:32.086056+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektmanager-fuer-produktentwicklung-mit-schwerpunkt-windkraftanlagen-m-w-d-104938,2026-03-23T11:04:32.086248+00:00
0,Test Engineer | Germany,solcom,"Se­ni­or Em­bed­ded Linux Soft­ware En­gi­neer (Yocto, C++14, ARM) (m/w/d)",SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++",Linux,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104738,2026-03-23T11:04:32.087093+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Südschwarzwald, 2 Tage remote",Remote,Freelance,"C, Can, Python","R, C#",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/prueftechniker-test-engineer-m-w-d-104698,2026-03-23T11:04:32.087250+00:00
0,Test Automation | Germany,solcom,Se­ni­or Power Plat­form / In­te­gra­ti­on De­ve­l­oper (m/w/d),SOLCOM Client,keine Angabe,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-power-platform-integration-developer-m-w-d-104851,2026-03-23T11:06:36.346722+00:00
0,Python Developer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,Remote,Freelance,"Python, Shell","Gcp, Unix",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/developer-consultant-microstrategy-bi-m-w-d-104926,2026-03-23T11:07:39.173480+00:00
0,Python Developer | Germany,solcom,Soft­ware Ar­chi­tekt / Sen. De­ve­l­oper / SW Ar­chi­tekt - Med­Tech (m/w/d),SOLCOM Client,D9,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-architekt-sen-developer-sw-architekt-medtech-m-w-d-104833,2026-03-23T11:07:39.173727+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, / Remote",Remote,Freelance,"Ci/Cd, Python","Devops, Gitlab, Docker, Gitlab Ci, Node.Js, R, Safe",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/schnittstellenentwickler-backend-devops-m-w-d-104883,2026-03-23T11:08:38.424332+00:00
