relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Senior Business Test Consultant - Lebensversicherung / E2E (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,"Senior, Consultant",English,"Consultant, Senior",,Recent,https://www.xing.com/jobs/montabaur-senior-business-test-consultant-lebensversicherung-e2e-151945000,2026-03-23T11:37:28.371114+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/berlin-senior-qa-engineer-152428107,2026-03-23T11:38:25.730209+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer (m/f/d) – Safeguard Digital Products that #MoveTheDate,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/koeln-senior-qa-engineer-safeguard-digital-products-movethedate-144026218,2026-03-23T11:38:25.730398+00:00
14,Test Automation | Germany,xing,Senior Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/braunschweig-senior-test-automation-engineer-151239243,2026-03-23T11:41:18.391404+00:00
14,Test Automation | Germany,xing,Senior Test Automation Engineer – MedTech / Pharma (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/muenchen-senior-test-automation-engineer-medtech-pharma-151576664,2026-03-23T11:41:18.391513+00:00
14,Test Automation | Germany,xing,Senior Testmanager:in (m/w/d) Testautomatisierung & Software Qualitätssicherung,XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,"Senior, Test Manager",,Recent,https://www.xing.com/jobs/ruesselsheim-main-senior-testmanager-testautomatisierung-software-qualitaetssicherung-151696614,2026-03-23T11:41:18.391580+00:00
14,Python Developer | Germany,xing,Senior Software Developer Python (all genders),XING Employer,Germany/Remote,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://www.xing.com/jobs/karlsruhe-senior-software-developer-python-all-genders-143344204,2026-03-23T11:42:13.466852+00:00
14,Python Developer | Austria,xing,Softwareentwickler Senior Backend / Python (m/w/d)​​,XING Employer,Germany/Remote,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://www.xing.com/jobs/schweinfurt-softwareentwickler-senior-backend-python-151597612,2026-03-23T11:42:28.576906+00:00
14,Firmware Engineer | Germany,xing,(Senior) Embedded Software / Firmware Engineer - Power Electronics (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,Firmware,Senior,English,Senior,,Recent,https://www.xing.com/jobs/freiburg-im-breisgau-senior-embedded-software-firmware-engineer-power-electronics-147801389,2026-03-23T11:44:05.092807+00:00
14,Firmware Engineer | Austria,xing,Job Offer: Embedded Firmware Developer,Racyics GmbH,Duisburg,Remote,Full-time,"C, C++, Embedded Systems, Firmware, Java, Rtos","Vhdl, Verilog, Fpga, Senior, C#, Soc, R",English,Senior,,Recent,https://www.xing.com/jobs/duisburg-job-offer-embedded-firmware-developer-152146040,2026-03-23T11:44:19.737254+00:00
0,Tester | Germany,xing,Testingenieur*in Elektromechanik / Hardware Test Engineer,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/duesseldorf-testingenieur-elektromechanik-hardware-test-engineer-151516580,2026-03-23T11:37:28.370937+00:00
0,Tester | Germany,xing,"Projekt Future VCS Teilprojektleiter ""Test und Transition"" (d/m/w)",XING Employer,Germany/Remote,Remote,Full-time,,,German,,,Recent,https://www.xing.com/jobs/langen-projekt-future-vcs-teilprojektleiter-test-transition-152140049,2026-03-23T11:37:28.371041+00:00
0,Tester | Germany,xing,Prüftechniker Elektrotechnik - Normen / Tests / Doku (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/halver-prueftechniker-elektrotechnik-normen-tests-doku-152340906,2026-03-23T11:37:28.371180+00:00
0,Tester | Germany,xing,Software Tester (all genders),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/sankt-ingbert-software-tester-all-genders-148460968,2026-03-23T11:37:28.371249+00:00
0,Tester | Germany,xing,Software Tester / Test Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/muenchen-software-tester-test-engineer-152334021,2026-03-23T11:37:28.371319+00:00
0,Tester | Germany,xing,Tester (m/w/d) - Software,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/lemwerder-tester-software-152275335,2026-03-23T11:37:28.371381+00:00
0,Tester | Germany,xing,IT-Tester / Agiler Softwaretester (w/d/m),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/oldenburg-it-tester-agiler-softwaretester-151267732,2026-03-23T11:37:28.371443+00:00
0,Tester | Germany,xing,Software Tester für Qualitätssicherung Testautomatisierung (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,R,English,,,Recent,https://www.xing.com/jobs/berlin-software-tester-qualitaetssicherung-testautomatisierung-149350361,2026-03-23T11:37:28.371507+00:00
0,Tester | Germany,xing,Software Tester (mit Kenntnissen in C# und AWS) (m/w/d) Leipzig,XING Employer,Germany/Remote,Remote,Full-time,C,"C#, Aws",German,,,Recent,https://www.xing.com/jobs/leipzig-software-tester-kenntnissen-aws-leipzig-149558646,2026-03-23T11:37:28.371573+00:00
0,QA Engineer | Germany,xing,QA Engineer,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/berlin-qa-engineer-152428106,2026-03-23T11:38:25.729840+00:00
0,QA Engineer | Germany,xing,"QA Engineer (freelance contract, full-time)",XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/berlin-qa-engineer-freelance-contract-full-time-151358940,2026-03-23T11:38:25.729927+00:00
0,QA Engineer | Germany,xing,QA Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/duesseldorf-qa-engineer-146679964,2026-03-23T11:38:25.729992+00:00
0,QA Engineer | Germany,xing,QA Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/wiesbaden-qa-engineer-150638307,2026-03-23T11:38:25.730061+00:00
0,QA Engineer | Germany,xing,QA Engineer,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/zug-qa-engineer-149012111,2026-03-23T11:38:25.730137+00:00
0,QA Engineer | Germany,xing,Junior Engineer - Devops,XING Employer,Germany/Remote,Remote,Full-time,,"Devops, Junior",English,,,Recent,https://www.xing.com/jobs/berlin-junior-engineer-devops-152428103,2026-03-23T11:38:25.730272+00:00
0,QA Engineer | Germany,xing,Engineer - Devops Updated,XING Employer,Germany/Remote,Remote,Full-time,,Devops,English,,,Recent,https://www.xing.com/jobs/berlin-engineer-devops-updated-152428108,2026-03-23T11:38:25.730334+00:00
0,QA Engineer | Germany,xing,QA Engineer / Software Tester (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/koeln-qa-engineer-software-tester-152206214,2026-03-23T11:38:25.730458+00:00
0,Test Engineer | Germany,xing,Junior Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Junior,English,,,Recent,https://www.xing.com/jobs/berlin-junior-test-automation-engineer-152017821,2026-03-23T11:39:23.386172+00:00
0,Test Engineer | Germany,xing,"Embedded Systems Engineer (m/w) – Hardware, Firmware & Testing",XING Employer,Germany/Remote,Remote,Full-time,"Embedded Systems, Firmware",,English,,,Recent,https://www.xing.com/jobs/affing-embedded-systems-engineer-hardware-firmware-testing-150929598,2026-03-23T11:39:23.386261+00:00
0,Test Engineer | Germany,xing,Test Engineer (w/m/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/dresden-test-engineer-152407080,2026-03-23T11:39:23.386331+00:00
0,Test Engineer | Germany,xing,Test Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/dresden-test-engineer-151790901,2026-03-23T11:39:23.386397+00:00
0,Test Engineer | Germany,xing,Test Engineer (m/w/d) in Dresden,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/dresden-test-engineer-dresden-149873758,2026-03-23T11:39:23.386460+00:00
0,Test Engineer | Germany,xing,Test Engineer (m/w/d) - Dresden,XING Employer,Germany/Remote,Remote,Full-time,,,English,,,Recent,https://www.xing.com/jobs/dresden-test-engineer-dresden-150441800,2026-03-23T11:39:23.386522+00:00
