relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,"R, Jira, Load Testing",German,Test Manager,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104858,2026-03-26T11:08:04.367707+00:00
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, & Remote",Remote,Freelance,"Java, Javascript, Python","Github, Aws, Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/frontend-entwickler-ui-fuer-polarion-alm-m-w-d-104802,2026-03-26T11:08:04.367807+00:00
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Agile, Consultant, Project Manager, Devops, Senior, Microservices, Safe, R",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-03-26T11:09:06.871725+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,Dsp,"R, Senior, Freelancer",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-av-audio-visual-delivery-specialist-m-w-d-105049,2026-03-26T11:10:08.604645+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, Remote",Remote,Freelance,"Ci/Cd, Java, Python","Jira, Gitlab, Gitlab Ci, Docker, Freelancer, Linux, R, Git",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/java-test-engineer-m-w-d-104825,2026-03-26T11:10:08.605055+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, remote & Bulgarien vor Ort (April-Mai)",Remote,Freelance,,"R, Expert",German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/industrial-engineer-m-w-d-104823,2026-03-26T11:10:08.605171+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D9, Remote and Bayreuth",Remote,Freelance,,"Solution Architect, Lead, Architect, Senior, Freelancer, R",English,"Architect, Freelancer, Lead, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/lead-solution-architect-plm-quality-m-w-d-104751,2026-03-26T11:10:08.605269+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,"Arm, C, C++, Can, Ci/Cd, Embedded Linux, Jenkins","Agile, Gitlab, Senior, Gitlab Ci, Docker, Safe, Freelancer, Linux, Scrum, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-embedded-linux-software-engineer-yocto-c-14-arm-m-w-d-104738,2026-03-26T11:10:08.605363+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, D4",Remote,Freelance,"Bash, C, C++, Python","Project Manager, Senior, Docker, Freelancer, Ansible, Linux, R",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/hpc-system-software-engineer-m-w-d-104666,2026-03-26T11:10:08.605456+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,On-site,Freelance,,"Senior, Azure, Freelancer, Sql Server, R, Sql",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-power-platform-integration-developer-m-w-d-104851,2026-03-26T11:12:14.360523+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D4, remote",Remote,Freelance,"Ci/Cd, Javascript, Test Automation","Architect, Freelancer, R",English,"Architect, Freelancer",,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-104615,2026-03-26T11:12:14.360643+00:00
14,Python Developer | Germany,solcom,Weitere Projekte,SOLCOM Client,D9,On-site,Freelance,"C, C++, Can, Python","Agile, Safe, Freelancer, Scrum, Aspice, R, Autosar",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-architekt-sen-developer-sw-architekt-medtech-m-w-d-104833,2026-03-26T11:13:14.564383+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Gütersloh",Remote,Freelance,"C, C++, Pytest, Python","Jira, Confluence, Gitlab, Freelancer, R, Stm32, Git",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-user-interface-c-emwin-m-w-d-105058,2026-03-26T11:14:15.330823+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Regensburg,Remote,Freelance,"Can, Python, Test Automation","Jira, Zephyr, Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-03-26T11:08:04.367266+00:00
0,Tester | Germany,solcom,HR Con­trol­ling (m/w/d),SOLCOM Client,Borken,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hr-controlling-m-w-d-1014616,2026-03-26T11:08:04.367389+00:00
0,Tester | Germany,solcom,Test­ex­per­te Soft­ware Bat­te­rie­mo­dul / Bat­te­rie­spei­cher (m/w/d),SOLCOM Client,"D3, 20% Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testexperte-software-batteriemodul-batteriespeicher-m-w-d-105038,2026-03-26T11:08:04.367501+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,"Remote, Oberkochen",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104981,2026-03-26T11:08:04.367606+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Go, Test Automation","Jira, Devops, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-und-qualitaetsmanagement-m-w-d-104581,2026-03-26T11:08:04.367903+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/anforderungsmanager-doors-m-w-d-104967,2026-03-26T11:10:08.604764+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektmanager-fuer-produktentwicklung-mit-schwerpunkt-windkraftanlagen-m-w-d-104938,2026-03-26T11:10:08.604865+00:00
