relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-04-02T11:02:46.929218+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Spring Boot, Kubernetes, Postgresql, Mongodb, Microservices, Senior",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-04-02T11:03:09.175833+00:00
14,Test Engineer | Germany,hays,HV Commissioning Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,,"Lead, R, Senior",German,"Lead, Senior",,30.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hv-commissioning-engineer-hamburg-868402/1,2026-04-02T11:03:35.584724+00:00
14,Test Engineer | Germany,hays,Lead DevSecOps Engineer (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,Lead,German,Lead,,19.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-devsecops-engineer-nordrhein-westfalen-866935/1,2026-04-02T11:03:35.585784+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-04-02T11:03:35.587121+00:00
14,Test Engineer | Germany,hays,Senior Quality Engineer (m/w/d),Hays Client,Gießen,On-site,Contract,,Senior,German,Senior,,02.07.25,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-quality-engineer-giessen-828402/1,2026-04-02T11:03:35.588258+00:00
14,Test Automation | Germany,hays,Senior Ingenieur Planung & Produktentwicklung (m/w/d),Hays Client,Mannheim,On-site,Contract,,"R, Senior",German,Senior,,01.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-ingenieur-planung-produktentwicklung-mannheim-868820/1,2026-04-02T11:04:21.203266+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Azure, Canoe, Iso 26262, Autosar, Gitlab Ci, Gitlab, R, Expert, Devops",German,Expert,,30.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-04-02T11:04:21.204700+00:00
14,Test Automation | Germany,hays,AI Security Red Team Lead (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,"Lead, R, Team Lead",German,Lead,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-security-red-team-lead-nordrhein-westfalen-862390/1,2026-04-02T11:04:21.206041+00:00
14,Python Test | Germany,hays,Digital Verification UWB Expert (m/f/d),Hays Client,Remote,Remote,Contract,Python,"Lead, Expert, Matlab",English,"Expert, Lead",,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-verification-uwb-expert-remote-868600/1,2026-04-02T11:05:06.828123+00:00
14,Python Test | Germany,hays,GIS Integration Consultant (Only Nearshore & Offshore) (m/f/d),Hays Client,Remote,Remote,Contract,Python,Consultant,English,Consultant,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-gis-integration-consultant-only-nearshore-offshore-remote-866056/1,2026-04-02T11:05:06.829959+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,"R, Fastapi, Senior",German,Senior,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-865759/1,2026-04-02T11:05:06.830996+00:00
0,Tester | Germany,hays,Entwicklungsingenieur ADAS / AD System Validation (m/w/d),Hays Client,Wolfsburg,On-site,Contract,"Hil, Sil",Mil,German,,,30.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-adas-ad-system-validation-wolfsburg-841316/1,2026-04-02T11:02:46.925080+00:00
