relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Safe, Project Manager, Consultant, Senior, Microservices, Agile, Devops, R",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-04-02T11:08:25.519874+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,Dsp,"R, Senior, Freelancer",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-av-audio-visual-delivery-specialist-m-w-d-105049,2026-04-02T11:09:26.162103+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,Expert,German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektronik-ingenieur-laborautomation-m-w-d-105133,2026-04-02T11:11:27.401597+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,On-site,Freelance,,"Sql Server, Azure, Senior, Sql, R, Freelancer",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-power-platform-integration-developer-m-w-d-104851,2026-04-02T11:11:27.401890+00:00
14,Python Developer | Germany,solcom,Weitere Projekte,SOLCOM Client,D9,On-site,Freelance,"C, C++, Can, Python","Scrum, Safe, Aspice, Agile, Autosar, R, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-architekt-sen-developer-sw-architekt-medtech-m-w-d-104833,2026-04-02T11:12:30.292250+00:00
0,Tester | Germany,solcom,QA En­gi­neer / Tes­ter / Test­au­to­ma­ti­sie­rer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105103,2026-04-02T11:07:23.033930+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Regensburg,Remote,Freelance,"Can, Python, Test Automation","Zephyr, R, Associate, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-04-02T11:07:23.034063+00:00
0,Tester | Germany,solcom,HR Con­trol­ling (m/w/d),SOLCOM Client,Borken,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hr-controlling-m-w-d-1014616,2026-04-02T11:07:23.034173+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,"Remote, Oberkochen",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104981,2026-04-02T11:07:23.034276+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104858,2026-04-02T11:07:23.034388+00:00
0,Tester | Germany,solcom,Front­end-Ent­wick­ler UI für Po­la­ri­on ALM (m/w/d),SOLCOM Client,"D8, & Remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/frontend-entwickler-ui-fuer-polarion-alm-m-w-d-104802,2026-04-02T11:07:23.034495+00:00
