relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior AutomotiveTesting Engineer(m/f/d),GULP Client,"Location: International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4bb91f182dad11f189e08e417b6a1e17,2026-04-02T11:29:32.171883+00:00
14,Tester | Germany,gulp,Software Test Expert for Battery Modules / Battery Storage Systems (m/f/d),GULP Client,"Location: D3, 20% Remote",Remote,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/2bc1af5627a711f189e08e417b6a1e17,2026-04-02T11:29:32.174297+00:00
14,Tester | Germany,gulp,SAP EWM Consultant (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255434,2026-04-02T11:29:32.175715+00:00
14,Tester | Germany,gulp,Software Tester (m/f/d) Verification &amp; Validation,GULP Client,Germany,Remote,Freelance,Test Automation,"Freelancer, R",German,Freelancer,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01247114,2026-04-02T11:29:32.177031+00:00
14,Tester | Germany,gulp,Content Expert (m/f/d) in,GULP Client,Germany,On-site,Freelance,,Expert,English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/5bed3eece47e11efb0e1762ed2f8ca94,2026-04-02T11:29:32.177426+00:00
14,QA Engineer | Germany,gulp,Senior Mechanical DesignEngineer(m/f/d),GULP Client,"Location: D5, D5/ remote",Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0e2853362dcf11f189e08e417b6a1e17,2026-04-02T11:30:20.281681+00:00
14,QA Engineer | Germany,gulp,Consultant (m/f/d),GULP Client,Location: Großraum Stuttgart/Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/2ecba5b42d5e11f189e08e417b6a1e17,2026-04-02T11:30:20.285375+00:00
14,Test Automation | Germany,gulp,FPGA Expert (m/f/d),GULP Client,"Location: D0, überwiegend Remote",Remote,Freelance,,"Fpga, Expert",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/e87c9ae82de711f189e08e417b6a1e17,2026-04-02T11:32:47.944242+00:00
14,Test Automation | Germany,gulp,Cloud Solution Architect (AWS & DevOps) (m/f/d),GULP Client,Location: Frankfurt am Main,On-site,Freelance,,"Devops, Architect, Solution Architect, Aws",English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01261725,2026-04-02T11:32:47.947363+00:00
14,Test Automation | Germany,gulp,Application Architect (m/f/d),GULP Client,Location: Würzburg/Remote,Remote,Freelance,,Architect,English,Architect,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9c1dfc6c2bdc11f189e08e417b6a1e17,2026-04-02T11:32:47.947919+00:00
14,Test Automation | Germany,gulp,Test Manager Dynamics 365 CRM Sales (m/f/d),GULP Client,"Location: Remote, D2",Remote,Freelance,,,English,Test Manager,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/cb1e12e8275b11f189e08e417b6a1e17,2026-04-02T11:32:47.949994+00:00
14,Test Automation | Germany,gulp,Senior UiPath Consultant (m/f/d) -Test Automation,GULP Client,Location: Dresden,Remote,Freelance,Test Automation,"Senior, Consultant",English,"Consultant, Senior",,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256858,2026-04-02T11:32:47.950486+00:00
14,Test Automation | Germany,gulp,Kubernetes Expert (m/f/d),GULP Client,Location: Hanover,Remote,Freelance,,"Kubernetes, Expert",English,Expert,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01256739,2026-04-02T11:32:47.950952+00:00
14,Python Developer | Germany,gulp,Oracle Consultant for WMS - Mostly remote possible.,GULP Client,Location: Frankfurt am Main,Remote,Freelance,,"Consultant, Oracle",English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262538,2026-04-02T11:33:36.947403+00:00
14,Python Developer | Germany,gulp,SAP GTS Consultant (m/f/d),GULP Client,Location: PLZ 35xxx + remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69ce294e5b755535eacce9a8,2026-04-02T11:33:36.948925+00:00
14,Python Developer | Germany,gulp,"SAP SD Consultant (m/f/d) specializing in the integration of Self Billing Service, 100% remote",GULP Client,Location: Duisburg,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262485,2026-04-02T11:33:36.950440+00:00
14,Python Developer | Germany,gulp,SAP S/4HANA Embedded Analytics Consultant /Developer(m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4edc10ce2ddf11f189e08e417b6a1e17,2026-04-02T11:33:36.951001+00:00
14,Python Developer | Germany,gulp,Senior Administrator Ivanti Neurons for ITSM (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/52421e982ddf11f189e08e417b6a1e17,2026-04-02T11:33:36.951572+00:00
14,Python Developer | Germany,gulp,"IT Governance Consultant (m/f/d) with backgrounds in Law/Economics, IT Security, and Data Protection",GULP Client,Location: Hanau,Remote,Freelance,,Consultant,English,Consultant,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262441,2026-04-02T11:33:36.952027+00:00
14,Python Test | Germany,gulp,Senior full stack developer (m/f/d) Node.js & React/Next.js,GULP Client,Location: Fürstenwalde/Spree,Remote,Freelance,,"Senior, React, Node.Js",English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01262081,2026-04-02T11:34:25.566584+00:00
0,Tester | Germany,gulp,4404 Java Developer (m/f/d),GULP Client,Location: Frankfurt am Main & Remote,Remote,Freelance,Java,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/c276aec62cf011f189e08e417b6a1e17,2026-04-02T11:29:32.172531+00:00
0,Tester | Germany,gulp,Java Test Engineer (m/f/d),GULP Client,Germany,Remote,Freelance,"Ci/Cd, Java","Gitlab Ci, Gitlab, Linux",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/f2fd9cb2294911f189e08e417b6a1e17,2026-04-02T11:29:32.173114+00:00
0,Tester | Germany,gulp,QA Engineer /Tester/ Test Automation Engineer (m/f/d),GULP Client,Location: Remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1ddadad6293a11f189e08e417b6a1e17,2026-04-02T11:29:32.173718+00:00
0,Tester | Germany,gulp,Test Engineer(m/f/d),GULP Client,Location: Ratisbon,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1efe9fea278e11f189e08e417b6a1e17,2026-04-02T11:29:32.174766+00:00
0,Tester | Germany,gulp,Construction manager according to Hamburg Building Code (HBauO) (m/f/d),GULP Client,Location: D2,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/17a8ccae276411f189e08e417b6a1e17,2026-04-02T11:29:32.175242+00:00
0,Tester | Germany,gulp,Integrationtester(m/f/d),GULP Client,Location: Bonn,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255245,2026-04-02T11:29:32.176176+00:00
0,Tester | Germany,gulp,Softwaretesterspecializing in automation (ISTQB),GULP Client,Location: Lemwerder,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01255150,2026-04-02T11:29:32.176661+00:00
0,Tester | Germany,gulp,Tester / Test automation engineer (m/f/d),GULP Client,Germany,Hybrid,Freelance,"Java, Selenium, Test Automation","Sql, Git, Jira, Confluence",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-04-02T11:29:32.177892+00:00
0,QA Engineer | Germany,gulp,IAM & Platform SecurityEngineer(m/f/d) Terraform Know-How Remote at least 2 days/week,GULP Client,Location: Dortmund,Remote,Freelance,,Terraform,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69ce4b6e05864ab5b2ee899c,2026-04-02T11:30:20.277874+00:00
0,QA Engineer | Germany,gulp,HSE Manager (m/f/d),GULP Client,"Location: D7, Raum Schwäbisch Hall",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d76741e22def11f189e08e417b6a1e17,2026-04-02T11:30:20.278401+00:00
0,QA Engineer | Germany,gulp,Construction supervision for cable pulling and joint assembly (m/f/d),GULP Client,Location: siehe Beschreibung,On-site,Freelance,,Assembly,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4fe0a6422ddf11f189e08e417b6a1e17,2026-04-02T11:30:20.278875+00:00
0,QA Engineer | Germany,gulp,Project management for transport infrastructure (m/f/d),GULP Client,"Location: Remote, Duisburg",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/055ad5322dd711f189e08e417b6a1e17,2026-04-02T11:30:20.279499+00:00
0,QA Engineer | Germany,gulp,ProjectEngineer- Building Permit Preparation for Solar Parks (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0adf1d382dd711f189e08e417b6a1e17,2026-04-02T11:30:20.280054+00:00
0,QA Engineer | Germany,gulp,HVAC Planner Revit (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/0b79d6142dcf11f189e08e417b6a1e17,2026-04-02T11:30:20.280638+00:00
0,QA Engineer | Germany,gulp,Construction supervisor for civilengineeringprojects involving electricity and water network infrastructure (m/f/d),GULP Client,Location: D5,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/1507270e2dcf11f189e08e417b6a1e17,2026-04-02T11:30:20.281104+00:00
0,QA Engineer | Germany,gulp,remote: DevOpsEngineerf/m/d POS72320 Python Angular Terraform GitLab Spring Boot,GULP Client,Location: remote,Remote,Freelance,Python,"Spring Boot, Angular, Gitlab, Terraform",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/69cd181c5b755535eacca792,2026-04-02T11:30:20.282272+00:00
0,QA Engineer | Germany,gulp,Designengineer/developer for prosthetics/orthopedic technology (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/12edb1a42dcf11f189e08e417b6a1e17,2026-04-02T11:30:20.282832+00:00
0,QA Engineer | Germany,gulp,FP&A MANAGER (m/f/d),GULP Client,Location: Rheinland-Pfalz,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/149fdbbc2dcf11f189e08e417b6a1e17,2026-04-02T11:30:20.283314+00:00
0,QA Engineer | Germany,gulp,Test Analyst & AutomationEngineer(m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4d2918082dad11f189e08e417b6a1e17,2026-04-02T11:30:20.283867+00:00
0,QA Engineer | Germany,gulp,Supply Technician for Shipbuilding (m/f/d),GULP Client,Location: D2,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/4f1f44ac2dad11f189e08e417b6a1e17,2026-04-02T11:30:20.284799+00:00
0,Test Automation | Germany,gulp,ConsultantTest AutomationHR Systems (SuccessFactors and SAP HCM) (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/38e68f462d2711f189e08e417b6a1e17,2026-04-02T11:32:47.945463+00:00
0,Test Automation | Germany,gulp,"Solution ArchitectTest Automation(TOSCA, SuccessFactors, SAP HCM) (m/f/d)",GULP Client,Location: Herzogenaurach,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01261794,2026-04-02T11:32:47.946516+00:00
