relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,xing,Senior Business Test Consultant - Lebensversicherung / E2E (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://www.xing.com/jobs/montabaur-senior-business-test-consultant-lebensversicherung-e2e-151945000,2026-04-02T11:39:10.949097+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/berlin-senior-qa-engineer-152814425,2026-04-02T11:40:09.274505+00:00
14,QA Engineer | Germany,xing,Lead QA Engineer (f/m/x) – Operations and Client Services,XING Employer,Germany/Remote,Remote,Full-time,,Lead,English,Lead,,Recent,https://www.xing.com/jobs/berlin-lead-qa-engineer-operations-client-services-150732060,2026-04-02T11:40:09.274633+00:00
14,QA Engineer | Germany,xing,Senior QA Engineer (m/f/d) – Safeguard Digital Products that #MoveTheDate,XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/koeln-senior-qa-engineer-safeguard-digital-products-movethedate-144026218,2026-04-02T11:40:09.274900+00:00
14,Testingenieur | Germany,xing,(Senior) Vehicle Component Test Engineer (m/f/d),XING Employer,Germany/Remote,Remote,Full-time,,Senior,English,Senior,,Recent,https://www.xing.com/jobs/berlin-senior-vehicle-component-test-engineer-152555212,2026-04-02T11:42:02.333647+00:00
14,Test Automation | Germany,xing,Senior Testmanager:in (m/w/d) Testautomatisierung & Software Qualitätssicherung,XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,"Senior, Test Manager",,Recent,https://www.xing.com/jobs/ruesselsheim-main-senior-testmanager-testautomatisierung-software-qualitaetssicherung-151696614,2026-04-02T11:43:00.392758+00:00
14,Test Automation | Germany,xing,Senior Test Automation Engineer (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/braunschweig-senior-test-automation-engineer-152565675,2026-04-02T11:43:00.392820+00:00
14,Test Automation | Switzerland,xing,Senior Test Automation Engineer – MedTech / Pharma (m/w/d),XING Employer,Germany/Remote,Remote,Full-time,Test Automation,Senior,English,Senior,,Recent,https://www.xing.com/jobs/muenchen-senior-test-automation-engineer-medtech-pharma-151576664,2026-04-02T11:43:27.767347+00:00
14,Python Developer | Germany,xing,Softwareentwickler Senior Backend / Python (m/w/d)​​,XING Employer,Germany/Remote,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://www.xing.com/jobs/schweinfurt-softwareentwickler-senior-backend-python-151597612,2026-04-02T11:43:58.036007+00:00
14,Firmware Engineer | Remote,xing,"Embedded Systems Engineer, Firmware & Plattformintegration (m/w/d) - J5876",Exclusive Associates,Siegen,Remote,Full-time,"Arm, C, C++, Embedded Systems, Firmware, Microcontroller, Python, Rtos","Senior, Linux, R",German,Senior,,Recent,https://www.xing.com/jobs/siegen-embedded-systems-engineer-firmware-plattformintegration-j5876-152015116,2026-04-02T11:46:35.054387+00:00
0,Tester | Germany,xing,Softwaretester (m/w/d) für manuelle Tests,XING Employer,Germany/Remote,Remote,Full-time,,R,English,,,Recent,https://www.xing.com/jobs/frankfurt-softwaretester-manuelle-tests-152545087,2026-04-02T11:39:10.948994+00:00
