relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Python Developer | Germany,solcom,Weitere Projekte,SOLCOM Client,D9,On-site,Freelance,"C, C++, Can, Python","Aspice, Agile, Autosar, R, Scrum, Freelancer, Safe",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-architekt-sen-developer-sw-architekt-medtech-m-w-d-104833,2026-04-06T11:18:05.838722+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Gütersloh",Remote,Freelance,"C, C++, Pytest, Python","Git, Gitlab, Stm32, Jira, R, Confluence, Freelancer",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-user-interface-c-emwin-m-w-d-105058,2026-04-06T11:19:09.558397+00:00
0,Tester | Germany,solcom,QA En­gi­neer / Tes­ter / Test­au­to­ma­ti­sie­rer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105103,2026-04-06T11:12:53.544655+00:00
0,Tester | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,Regensburg,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-04-06T11:12:53.544794+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Borken,On-site,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hr-controlling-m-w-d-1014616,2026-04-06T11:12:53.544907+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,"Remote, Oberkochen",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104981,2026-04-06T11:12:53.545013+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104858,2026-04-06T11:12:53.545187+00:00
0,Tester | Germany,solcom,Front­end-Ent­wick­ler UI für Po­la­ri­on ALM (m/w/d),SOLCOM Client,"D8, & Remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/frontend-entwickler-ui-fuer-polarion-alm-m-w-d-104802,2026-04-06T11:12:53.545306+00:00
0,QA Engineer | Germany,solcom,Pro­jekt­lei­ter IT für kom­ple­xe IT-Trans­for­ma­ti­ons­pro­jek­te (m/w/d),SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-04-06T11:13:55.881534+00:00
0,Test Engineer | Germany,solcom,Pro­ject Qua­li­ty En­gi­neer (Hard­ware / Soft­ware) (m/w/d),SOLCOM Client,"D9, & Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/project-quality-engineer-hardware-software-m-w-d-105224,2026-04-06T11:14:57.059367+00:00
0,Test Engineer | Germany,solcom,Func­tional Safe­ty En­gi­neer - Au­to­mo­ti­ve (m/w/d),SOLCOM Client,"D7, Stuttgart",On-site,Freelance,,Safe,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/functional-safety-engineer-automotive-m-w-d-105215,2026-04-06T11:14:57.059609+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D6,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektrokonstrukteur-hardware-eplan-p8-m-w-d-105212,2026-04-06T11:14:57.059830+00:00
