relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior MS Office / GPO Consultant (m/w/d) – Public Sector / langfristiges Projekt,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,"Consultant, Senior",English,"Consultant, Senior",,02.04.2026,https://www.freelancermap.de/projekt/senior-ms-office-gpo-consultant-m-w-d-public-sector-langfristiges-projekt,2026-04-06T11:23:41.166002+00:00
14,Tester | Germany,freelancermap,Senior AI / RAG / Web Architect für datenschutzfähige KI-Plattform (m/w/d),Freelancermap Client,Ingolstadt Deutschland,On-site,Freelance,Rag,"R, Architect, Senior",English,"Architect, Senior",,05.04.2026,https://www.freelancermap.de/projekt/senior-ai-rag-web-architect-fuer-datenschutzfaehige-ki-plattform-m-w-d,2026-04-06T11:23:41.166867+00:00
14,Tester | Germany,freelancermap,Digital Signage Experte für Chromebox-Setup gesucht,Freelancermap Client,Germany,On-site,Freelance,,"Expert, R",English,Expert,,05.04.2026,https://www.freelancermap.de/projekt/digital-signage-experte-fuer-chromebox-setup-gesucht-2986789,2026-04-06T11:23:41.166974+00:00
14,Tester | Germany,freelancermap,Digital Signage Experte für Chromebox-Setup gesucht,Freelancermap Client,Germany,On-site,Freelance,,"Expert, R",English,Expert,,05.04.2026,https://www.freelancermap.de/projekt/digital-signage-experte-fuer-chromebox-setup-gesucht,2026-04-06T11:23:41.167106+00:00
0,Tester | Germany,freelancermap,Webdesigner TYPO3 mit Figma (3-6 Monate),Freelancermap Client,Remote Deutschland,Remote,Freelance,,,German,,,28.03.2026,https://www.freelancermap.de/projekt/webdesigner-typo3-mit-figma-3-6-monate,2026-04-06T11:23:41.165538+00:00
0,Tester | Germany,freelancermap,Elektroingenieur/ Inbetriebnahme (m/w/d) – Fortschreibung der AFU-Planung Elektrotechnik,Freelancermap Client,Hannover Deutschland,On-site,Freelance,,,German,,,02.04.2026,https://www.freelancermap.de/projekt/elektroingenieur-inbetriebnahme-m-w-d-fortschreibung-der-afu-planung-elektrotechnik,2026-04-06T11:23:41.165674+00:00
0,Tester | Germany,freelancermap,COBOL Entwickler (m/w/d) – Öffentlicher Sektor,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,,English,,,05.04.2026,https://www.freelancermap.de/projekt/cobol-entwickler-m-w-d-oeffentlicher-sektor,2026-04-06T11:23:41.165785+00:00
0,Tester | Germany,freelancermap,Freelance C++ / C# Entwickler (m/w/d) – Öffentlicher Sektor / Langfristprojekt,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,"C, C++",C#,English,,,07:20,https://www.freelancermap.de/projekt/freelance-c-c-entwickler-m-w-d-oeffentlicher-sektor-langfristprojekt,2026-04-06T11:23:41.165891+00:00
0,Tester | Germany,freelancermap,Online-Marketing & Social Media Manager für B2B SaaS-Unternehmen,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,R,English,,,11:15,https://www.freelancermap.de/projekt/online-marketing-und-social-media-manager-fuer-b2b-saas-unternehmen,2026-04-06T11:23:41.166130+00:00
0,Tester | Germany,freelancermap,Kaufmännischer Allrounder (m/w/d) – Interim/Freelance – Holzbau Schwarzwald,Freelancermap Client,Bonndorf im Schwarzwald Deutschland,On-site,Freelance,,,English,,,09:20,https://www.freelancermap.de/projekt/kaufmaennischer-allrounder-m-w-d-interim-freelance-holzbau-schwarzwald,2026-04-06T11:23:41.166290+00:00
0,Tester | Germany,freelancermap,Digitalisierung von Risikoprüfungsprozessen für Immobilienberatung,Freelancermap Client,Germany,Remote,Freelance,,R,German,,,08:48,https://www.freelancermap.de/projekt/digitalisierung-von-risikopruefungsprozessen-fuer-immobilienberatung-2986806,2026-04-06T11:23:41.166461+00:00
