relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,Expert,German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektronik-ingenieur-laborautomation-m-w-d-105133,2026-04-09T11:18:47.716888+00:00
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,keine Angabe,On-site,Freelance,,"R, Azure, Sql Server, Senior, Sql, Freelancer",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-power-platform-integration-developer-m-w-d-104851,2026-04-09T11:18:47.717062+00:00
14,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Gütersloh",Remote,Freelance,"C, C++, Pytest, Python","R, Jira, Confluence, Stm32, Gitlab, Freelancer, Git",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-user-interface-c-emwin-m-w-d-105058,2026-04-09T11:20:49.901313+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Test Automation,"R, Kotlin, Appium",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105103,2026-04-09T11:14:34.803842+00:00
0,Tester | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,Regensburg,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-04-09T11:14:34.804007+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Borken,On-site,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hr-controlling-m-w-d-1014616,2026-04-09T11:14:34.804122+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,"Remote, Oberkochen",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104981,2026-04-09T11:14:34.804234+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104858,2026-04-09T11:14:34.804340+00:00
0,Tester | Germany,solcom,Front­end-Ent­wick­ler UI für Po­la­ri­on ALM (m/w/d),SOLCOM Client,"D8, & Remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/frontend-entwickler-ui-fuer-polarion-alm-m-w-d-104802,2026-04-09T11:14:34.804446+00:00
0,QA Engineer | Germany,solcom,Pro­jekt­lei­ter IT für kom­ple­xe IT-Trans­for­ma­ti­ons­pro­jek­te (m/w/d),SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektleiter-it-fuer-komplexe-it-transformationsprojekte-m-w-d-105254,2026-04-09T11:15:38.708746+00:00
0,QA Engineer | Germany,solcom,Pro­jekt­lei­ter IT für kom­ple­xe IT-Trans­for­ma­ti­ons­pro­jek­te (m/w/d),SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/safe-projektleiter-it-m-w-d-104838,2026-04-09T11:15:38.709010+00:00
0,Test Engineer | Germany,solcom,Test-En­gi­neer Fly­ing Probe / ICT (m/w/d),SOLCOM Client,CH,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-flying-probe-ict-m-w-d-105258,2026-04-09T11:16:40.644247+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D9, & Remote",Remote,Freelance,,"Project Manager, R, Aspice",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/project-quality-engineer-hardware-software-m-w-d-105224,2026-04-09T11:16:40.644479+00:00
0,Test Engineer | Germany,solcom,Func­tional Safe­ty En­gi­neer - Au­to­mo­ti­ve (m/w/d),SOLCOM Client,"D7, Stuttgart",On-site,Freelance,,Safe,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/functional-safety-engineer-automotive-m-w-d-105215,2026-04-09T11:16:40.644583+00:00
