relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,Senior RPA Entwickler – UiPath Automation Cloud & Prozessautomatisierung,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,Senior,English,Senior,,11:23,https://www.freelancermap.de/projekt/senior-rpa-entwickler-uipath-automation-cloud-und-prozessautomatisierung,2026-04-09T11:27:05.584678+00:00
14,Tester | Germany,freelancermap,SAP PP Berater (m/w/d) - asap - onsite - Gr. München,Freelancermap Client,münchen Deutschland,On-site,Freelance,,Consultant,English,Consultant,,11:22,https://www.freelancermap.de/projekt/sap-pp-berater-m-w-d-asap-onsite-gr-muenchen,2026-04-09T11:27:05.584760+00:00
14,Tester | Germany,freelancermap,7E26F0-MB: Senior RPA-Entwickler (m/w/d),Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,Senior,English,Senior,,11:18,https://www.freelancermap.de/projekt/7e26f0-mb-senior-rpa-entwickler-m-w-d,2026-04-09T11:27:05.584932+00:00
14,Tester | Germany,freelancermap,Senior Process Consultant – Energy Market Processes (GPKE / WiM / SAP IS-U),Freelancermap Client,Köln Deutschland,On-site,Freelance,,"Consultant, Senior",English,"Consultant, Senior",,11:17,https://www.freelancermap.de/projekt/senior-process-consultant-energy-market-processes-gpke-wim-sap-is-u,2026-04-09T11:27:05.585015+00:00
14,Tester | Germany,freelancermap,ITP-819: Senior Change & Training Manager – ausschließlich sozialversicherungspflichtige Profile,Freelancermap Client,Ruhrgebiet Deutschland,On-site,Freelance,,Senior,English,Senior,,11:09,https://www.freelancermap.de/projekt/itp-819-senior-change-und-training-manager-ausschliesslich-sozialversicherungspflichtige-profile,2026-04-09T11:27:05.585178+00:00
14,Tester | Germany,freelancermap,Senior 3D Artist / Prob Artist / Environment Artist / Game Artist (m/w/d),Freelancermap Client,D8 Deutschland,On-site,Freelance,,Senior,English,Senior,,10:59,https://www.freelancermap.de/projekt/senior-3d-artist-prob-artist-environment-artist-game-artist-m-w-d,2026-04-09T11:27:05.585674+00:00
14,Tester | Germany,freelancermap,"Lead AI Workflow Architect (m/w/d) für LLM-Workflows, Wissensarchitektur und Automatisierung (6401)",Freelancermap Client,Nürnberg Deutschland,On-site,Freelance,Llm,"R, Lead, Architect",German,"Architect, Lead",,10:49,https://www.freelancermap.de/projekt/lead-ai-workflow-architect-m-w-d-fuer-llm-workflows-wissensarchitektur-und-automatisierung-6401,2026-04-09T11:27:05.586001+00:00
14,Test Engineer | Switzerland,freelancermap,Consultant Microsoft System Center (SCCM) (m/w/d) - ANÜ- remote - 100% - 18 Monate,Freelancermap Client,Hamburg Deutschland,Remote,Freelance,,Consultant,English,Consultant,,11:29,https://www.freelancermap.de/projekt/consultant-microsoft-system-center-sccm-m-w-d-anue-remote-100-prozent-18-monate,2026-04-09T11:29:45.040251+00:00
14,Firmware Engineer | Germany,freelancermap,Enterprise Solution Architect (m/w/d) für Cloud-Integration und AI-Systemdesign (6403),mindheads GmbH,Nürnberg Deutschland,Remote,Freelance,Llm,"Mlops, Aws, Architect, Azure, R, Solution Architect",German,Architect,,11:34,https://www.freelancermap.de/projekt/enterprise-solution-architect-m-w-d-fuer-cloud-integration-und-ai-systemdesign-6403,2026-04-09T11:34:32.126627+00:00
0,Tester | Germany,freelancermap,Freelance C++ / C# Entwickler (m/w/d) – Öffentlicher Sektor / Langfristprojekt,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,"C, C++",C#,English,,,06.04.2026,https://www.freelancermap.de/projekt/freelance-c-c-entwickler-m-w-d-oeffentlicher-sektor-langfristprojekt,2026-04-09T11:27:05.584361+00:00
0,Tester | Germany,freelancermap,Elektroingenieur/ Inbetriebnahme (m/w/d) – Fortschreibung der AFU-Planung Elektrotechnik,Freelancermap Client,Hannover Deutschland,On-site,Freelance,,,German,,,02.04.2026,https://www.freelancermap.de/projekt/elektroingenieur-inbetriebnahme-m-w-d-fortschreibung-der-afu-planung-elektrotechnik,2026-04-09T11:27:05.584500+00:00
