relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,PEGA LSA Expert (m/f/d),Hays Client,Vienna,On-site,Contract,Unit Testing,Expert,English,Expert,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pega-lsa-expert-vienna-869276/1,2026-04-13T11:26:38.476506+00:00
14,Tester | Germany,hays,Testmanager  (m/w/d),Hays Client,Augsburg,On-site,Contract,,R,German,Test Manager,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager--augsburg-864472/1,2026-04-13T11:26:38.480570+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Mongodb, Senior, Spring Boot, Microservices, Postgresql, Kubernetes",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-04-13T11:27:02.712998+00:00
14,Test Engineer | Germany,hays,HV Commissioning Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,,"R, Lead, Senior",German,"Lead, Senior",,30.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hv-commissioning-engineer-hamburg-868402/1,2026-04-13T11:27:27.057333+00:00
14,Test Engineer | Germany,hays,Lead DevSecOps Engineer (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,Lead,German,Lead,,19.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-devsecops-engineer-nordrhein-westfalen-866935/1,2026-04-13T11:27:27.058124+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-04-13T11:27:27.059214+00:00
14,Test Automation | Germany,hays,CI/CD/CT Expert (m/w/d),Hays Client,Wolfsburg,Remote,Contract,"Ci/Cd, Continuous Testing, Hil, Jenkins","Devops, Azure, Gitlab, Expert, R, Iso 26262, Canoe, Autosar, Gitlab Ci",German,Expert,,30.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ci-cd-ct-expert-wolfsburg-846979/1,2026-04-13T11:28:13.987042+00:00
14,Test Automation | Germany,hays,AI Security Red Team Lead (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,"Team Lead, R, Lead",German,Lead,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ai-security-red-team-lead-nordrhein-westfalen-862390/1,2026-04-13T11:28:13.988362+00:00
14,Python Test | Germany,hays,Digital Verification UWB Expert (m/f/d),Hays Client,Remote,Remote,Contract,Python,"Matlab, Expert, Lead",English,"Expert, Lead",,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-verification-uwb-expert-remote-868600/1,2026-04-13T11:29:02.786092+00:00
14,Python Test | Germany,hays,GIS Integration Consultant (Only Nearshore & Offshore) (m/f/d),Hays Client,Remote,Remote,Contract,Python,Consultant,English,Consultant,,13.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-gis-integration-consultant-only-nearshore-offshore-remote-866056/1,2026-04-13T11:29:02.787721+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,"R, Fastapi, Senior",German,Senior,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-865759/1,2026-04-13T11:29:02.788519+00:00
14,Firmware Engineer | Germany,hays,Electronic Engineer PCR Instrument Product Care Team  (m/f/d),Hays Client,Zug,On-site,Contract,,Expert,English,Expert,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-electronic-engineer-pcr-instrument-product-care-team--zug-869713/1,2026-04-13T11:29:28.628448+00:00
0,Tester | Germany,hays,Entwicklungsingenieur Lichtelektronik/ Lichtfunktion (m/w/d),Hays Client,Weissach,On-site,Contract,,R,German,,,13.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-lichtelektronik--lichtfunktion-weissach-869818/1,2026-04-13T11:26:38.475583+00:00
0,Tester | Germany,hays,PCS 7 Softwarelead  (m/w/d),Hays Client,Köln,On-site,Contract,,,German,,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pcs-7-softwarelead--koeln-869768/1,2026-04-13T11:26:38.475895+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-04-13T11:26:38.476231+00:00
0,Tester | Germany,hays,Test Engineer (m/w/d),Hays Client,Remote,Remote,Contract,,,German,,,08.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-remote-869109/1,2026-04-13T11:26:38.476767+00:00
0,Tester | Germany,hays,Tester  (m/w/d),Hays Client,Kemnath,On-site,Contract,,R,German,,,08.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-tester--kemnath-869305/1,2026-04-13T11:26:38.477031+00:00
