relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,Ci/Cd,"Agile, Devops, R, Safe, Microservices, Senior, Project Manager, Consultant",German,"Consultant, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektleiter-it-fuer-komplexe-it-transformationsprojekte-m-w-d-105254,2026-04-13T11:32:20.385226+00:00
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,System Testing,"Jira, Confluence, Senior",English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105180,2026-04-13T11:33:22.365113+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, Remote",Remote,Freelance,"Selenium, Test Automation","R, Cypress, Confluence, Jira",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testautomatisierer-api-testing-m-w-d-105346,2026-04-13T11:31:17.600753+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Beelitz, Nahe Berlin",Remote,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauleiter-hkls-m-w-d-1014692,2026-04-13T11:31:17.600895+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Beelitz, Nahe Berlin",On-site,Freelance,,Associate,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauleiter-elektro-m-w-d-1014693,2026-04-13T11:31:17.601004+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Test Automation,"Appium, Kotlin, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105103,2026-04-13T11:31:17.601106+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Regensburg,Remote,Freelance,"Can, Python, Test Automation","R, Zephyr, Jira, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-04-13T11:31:17.601217+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Borken,On-site,Freelance,,"Associate, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hr-controlling-m-w-d-1014616,2026-04-13T11:31:17.601352+00:00
0,Tester | Germany,solcom,Test­ma­na­ger (m/w/d),SOLCOM Client,"Remote, Oberkochen",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testmanager-m-w-d-104981,2026-04-13T11:31:17.601456+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/grid-code-test-engineer-m-w-d-105313,2026-04-13T11:33:22.364500+00:00
0,Test Engineer | Germany,solcom,Net­work En­gi­neer im Be­reich Ac­cess und CPE (m/w/d),SOLCOM Client,Borken,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-04-13T11:33:22.364624+00:00
0,Test Engineer | Germany,solcom,Test-En­gi­neer Fly­ing Probe / ICT (m/w/d),SOLCOM Client,CH,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-flying-probe-ict-m-w-d-105258,2026-04-13T11:33:22.364725+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D9, & Remote",Remote,Freelance,,"Project Manager, R, Aspice",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/project-quality-engineer-hardware-software-m-w-d-105224,2026-04-13T11:33:22.364919+00:00
0,Test Engineer | Germany,solcom,Func­tional Safe­ty En­gi­neer - Au­to­mo­ti­ve (m/w/d),SOLCOM Client,"D7, Stuttgart",On-site,Freelance,,Safe,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/functional-safety-engineer-automotive-m-w-d-105215,2026-04-13T11:33:22.365015+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,"Ci/Cd, Playwright, Pytest, Selenium, Test Automation","Gitlab Ci, R, Postman, Cypress, Gitlab, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-analyst-automation-engineer-m-w-d-1014661,2026-04-13T11:33:22.365212+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Go,"Azure, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-application-developer-m-w-d-105146,2026-04-13T11:33:22.365369+00:00
0,Test Engineer | Germany,solcom,Se­ni­or AV (Audio Vi­su­al) De­li­ve­ry Spe­cia­list (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-av-audio-visual-delivery-specialist-m-w-d-105049,2026-04-13T11:33:22.365615+00:00
0,Test Engineer | Germany,solcom,An­for­de­rungs­ma­na­ger DOORS (m/w/d),SOLCOM Client,D2,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/anforderungsmanager-doors-m-w-d-104967,2026-04-13T11:33:22.365714+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektmanager-fuer-produktentwicklung-mit-schwerpunkt-windkraftanlagen-m-w-d-104938,2026-04-13T11:33:22.365808+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, GR Freiburg im Breisgau",On-site,Freelance,Python,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/verifikationsingenieur-m-w-d-105283,2026-04-13T11:34:26.456278+00:00
0,Test Automation | Germany,solcom,FPGA Ex­per­te (m/w/d),SOLCOM Client,"D0, überwiegend Remote",Remote,Freelance,,Fpga,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fpga-experte-m-w-d-105200,2026-04-13T11:35:27.121687+00:00
0,Test Automation | Germany,solcom,Elek­tro­nik-In­ge­nieur La­bor­au­to­ma­ti­on (m/w/d),SOLCOM Client,"D2, Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektronik-ingenieur-laborautomation-m-w-d-105133,2026-04-13T11:35:27.121920+00:00
0,Python Test | Germany,solcom,Py­thon Ent­wick­ler (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/python-entwickler-m-w-d-105360,2026-04-13T11:37:29.762145+00:00
0,Python Test | Germany,solcom,Soft­ware­ent­wick­ler User In­ter­face (C++/emWin) (m/w/d),SOLCOM Client,"Remote, Gütersloh",Remote,Freelance,"C, C++",,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-user-interface-c-emwin-m-w-d-105058,2026-04-13T11:37:29.763005+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, / Remote",Remote,Freelance,"Ci/Cd, Python","Gitlab Ci, Devops, R, Safe, Gitlab, Docker, Node.Js",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/schnittstellenentwickler-backend-devops-m-w-d-104883,2026-04-13T11:37:29.763591+00:00
