relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Tester | Remote,linkedin,Software Engineer in Test,Microsoft,India,Remote,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/software-engineer-in-test-at-microsoft-4366638657,2026-04-16T11:09:03.924665+00:00
29,Firmware Engineer | Remote,linkedin,Software Engineer,Microsoft,India,Remote,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4371847705,2026-04-16T11:11:51.091516+00:00
14,Tester | Germany,linkedin,QA Tester (Future Roles),Testlio,Latin America,Remote,Contract,Can,"Regression Testing, Express, Jira, Agile, Contractor, Scrum, Postman, Manual Testing, Expert",English,"Contractor, Expert",,Recent,https://www.linkedin.com/jobs/view/qa-tester-future-roles-at-testlio-4261053492,2026-04-16T11:08:56.415698+00:00
14,Tester | Germany,linkedin,QA test engineer - Team Lead & Sr.Team Lead - Bengaluru,Deloitte,"Bengaluru, Karnataka, India",Remote,Full-time,"Can, Ci/Cd, Continuous Testing, Github Actions, Java, Jenkins, Playwright, Python, Selenium","Testng, Gcp, Jira, Team Lead, Github, Aws, Restassured, Senior, Junit, Lead",English,"Expert, Lead, Senior",,Recent,https://in.linkedin.com/jobs/view/qa-test-engineer-team-lead-sr-team-lead-bengaluru-at-deloitte-4388080894,2026-04-16T11:08:56.416035+00:00
14,Tester | Germany,linkedin,Software Development Engineer in Test (SDET),Aristotle,"Provo, UT",Remote,Contract,"C, Ci/Cd","C#, Sql, Lead, Nunit, Manual Testing, Load Testing",English,Lead,,Recent,https://www.linkedin.com/jobs/view/software-development-engineer-in-test-sdet-at-aristotle-4401302860,2026-04-16T11:08:56.416446+00:00
14,QA Engineer | Germany,linkedin,SENIOR QUALITY ASSURANCE (QA) ENGINEER,CMSL - Consórcio Mineira da Sorte Loteria,"Belo Horizonte, Minas Gerais, Brazil",On-site,Full-time,,Senior,English,Senior,,Recent,https://br.linkedin.com/jobs/view/senior-quality-assurance-qa-engineer-at-cmsl-cons%C3%B3rcio-mineira-da-sorte-loteria-4401766905,2026-04-16T11:09:19.354898+00:00
14,QA Engineer | Germany,linkedin,Senior QA Engineer,HDFC Bank,"Bengaluru, Karnataka, India",Remote,Contract,"Ci/Cd, Java, Python, Selenium, Test Automation","Gcp, Jira, Tdd, Senior, Lead, Confluence, Junior, Zephyr, Scrum, Agile",English,"Expert, Lead, Senior",,Recent,https://in.linkedin.com/jobs/view/senior-qa-engineer-at-hdfc-bank-4399524521,2026-04-16T11:09:19.355041+00:00
14,QA Engineer | Remote,linkedin,Senior QA Engineer,Forte Group,Poland,Remote,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-forte-group-4401064301,2026-04-16T11:09:27.011930+00:00
14,QA Engineer | Remote,linkedin,Quality Assurance Automation Engineer,mdgroup,United Kingdom,Remote,Full-time,"Ci/Cd, Javascript, Test Automation, Typescript","Cucumber, Bdd, Jira, Agile, Kanban, Scrum, Github, Lead, Confluence, Cypress",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-mdgroup-4401770806,2026-04-16T11:09:27.012186+00:00
14,Test Automation | Germany,linkedin,QA Test Automation Lead,SIDRAM TECHNOLOGIES,"Columbus, OH",On-site,Full-time,Test Automation,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/qa-test-automation-lead-at-sidram-technologies-4402295978,2026-04-16T11:10:30.805182+00:00
0,Tester | Germany,linkedin,Tester,Stena Line,"Gothenburg, Västra Götaland County, Sweden",On-site,Full-time,Can,"Manual Testing, Safe, Sql",English,,,Recent,https://se.linkedin.com/jobs/view/tester-at-stena-line-4399517609,2026-04-16T11:08:56.415882+00:00
0,Tester | Germany,linkedin,Junior Web and Mobile Tester(Regression Testing),SM Retail,"Pasay, National Capital Region, Philippines",Remote,Contract,Integration Testing,"Regression Testing, Jira, Junior, Manual Testing",English,,,Recent,https://ph.linkedin.com/jobs/view/junior-web-and-mobile-tester-regression-testing-at-sm-retail-4374364096,2026-04-16T11:08:56.416176+00:00
0,Tester | Germany,linkedin,QA Manual Tester,Kaizen Analytix,"Chicago, IL",Remote,Full-time,Integration Testing,"Jira, Agile, Devops, Sql, Manual Testing, Azure",English,,,Recent,https://www.linkedin.com/jobs/view/qa-manual-tester-at-kaizen-analytix-4392759522,2026-04-16T11:08:56.416317+00:00
0,Tester | Germany,linkedin,Test Engineer (QA Manual),smallest.ai,"Bengaluru, Karnataka, India",On-site,Full-time,,"Manual Testing, Postman",English,,,Recent,https://in.linkedin.com/jobs/view/test-engineer-qa-manual-at-smallest-ai-4401771353,2026-04-16T11:08:56.416572+00:00
0,Tester | Germany,linkedin,Junior Manual Tester,InnoWave,"Bengaluru, Karnataka, India",Remote,Contract,,"Jira, Agile, Scrum, Sql, Postman, Junior, Manual Testing, Internship",English,,,Recent,https://in.linkedin.com/jobs/view/junior-manual-tester-at-innowave-4401816392,2026-04-16T11:08:56.416712+00:00
0,Tester | Germany,linkedin,Game Tester- Shooter Games,iBLOXX Studios DMCC,"Dubai, Dubai, United Arab Emirates",On-site,Full-time,,,English,,,Recent,https://ae.linkedin.com/jobs/view/game-tester-shooter-games-at-ibloxx-studios-dmcc-4396958689,2026-04-16T11:08:56.416841+00:00
0,Tester | Germany,linkedin,Manual Tester,Lavu Tech Solutions Sdn Bhd,"Subang Jaya, Selangor, Malaysia",On-site,Full-time,,,English,,,Recent,https://my.linkedin.com/jobs/view/manual-tester-at-lavu-tech-solutions-sdn-bhd-4395428984,2026-04-16T11:08:56.416971+00:00
0,Tester | Remote,linkedin,Manual Tester,Muse Finance,"Madeira Island, Portugal",Remote,Full-time,,,English,,,Recent,https://pt.linkedin.com/jobs/view/manual-tester-at-muse-finance-4390757256,2026-04-16T11:09:03.924384+00:00
0,Tester | Remote,linkedin,Manual Tester,Addendum,"Tallinn, Harjumaa, Estonia",On-site,Contract,"Can, System Testing","Agile, Scrum, Sql, Manual Testing",English,,,Recent,https://ee.linkedin.com/jobs/view/manual-tester-at-addendum-4384739650,2026-04-16T11:09:03.924516+00:00
0,Tester | Remote,linkedin,QA Tester (Junior),eFlexervices,Philippines,Remote,Full-time,Can,"Manual Testing, Junior",English,,,Recent,https://ph.linkedin.com/jobs/view/qa-tester-junior-at-eflexervices-4394382164,2026-04-16T11:09:03.924804+00:00
