relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,Expert,German,Expert,,Recent,https://www.solcom.de/de/projektportal/projektangebote/elektronik-ingenieur-laborautomation-m-w-d-105133,2026-04-16T11:22:33.072747+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,Remote,Freelance,Can,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/tester-device-testing-m-w-d-105389,2026-04-16T11:18:27.256084+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Beelitz, Nahe Berlin",Remote,Freelance,,"R, Associate",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauleiter-hkls-m-w-d-1014692,2026-04-16T11:18:27.256198+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"D1, Beelitz, Nahe Berlin",On-site,Freelance,,Associate,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauleiter-elektro-m-w-d-1014693,2026-04-16T11:18:27.256291+00:00
0,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,Remote,Remote,Freelance,Test Automation,"R, Appium, Kotlin",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qa-engineer-tester-testautomatisierer-m-w-d-105103,2026-04-16T11:18:27.256376+00:00
0,Tester | Germany,solcom,Tes­t­in­ge­nieur (m/w/d),SOLCOM Client,Regensburg,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-1014623,2026-04-16T11:18:27.256467+00:00
0,Tester | Germany,solcom,HR Con­trol­ling (m/w/d),SOLCOM Client,Borken,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hr-controlling-m-w-d-1014616,2026-04-16T11:18:27.256550+00:00
0,QA Engineer | Germany,solcom,Pro­jekt­lei­ter IT für kom­ple­xe IT-Trans­for­ma­ti­ons­pro­jek­te (m/w/d),SOLCOM Client,"D1, Berlin, remote",Remote,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/projektleiter-it-fuer-komplexe-it-transformationsprojekte-m-w-d-105254,2026-04-16T11:19:29.877797+00:00
0,Test Engineer | Germany,solcom,Busi­ness Ana­lyst (m/w/d),SOLCOM Client,D6,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/business-analyst-m-w-d-105399,2026-04-16T11:20:30.728605+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/grid-code-test-engineer-m-w-d-105313,2026-04-16T11:20:30.728837+00:00
0,Test Engineer | Germany,solcom,Net­work En­gi­neer im Be­reich Ac­cess und CPE (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-04-16T11:20:30.729154+00:00
