relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,ferchau,Senior Softwaretester C# (m/w/d),FERCHAU,Linz Öster­reich,Hybrid,Full-time,"C, Ci/Cd","Nunit, R, Expert, Senior, C#",German,"Expert, Senior",,Recent,https://touch.ferchau.com/de/de/job/501784/senior-softwaretester-c,2026-04-16T12:19:34.844717+00:00
14,Tester | Germany,ferchau,Tester / Inbetriebnehmer Automotive (m/w/d),FERCHAU,Wolfs­burg Deut­sch­land,Hybrid,Full-time,Can,"Canoe, Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/454972/tester-inbetriebnehmer-automotive,2026-04-16T12:19:34.845656+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Kiel Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/444385/softwaretester,2026-04-16T12:19:34.848680+00:00
14,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398671/softwaretester,2026-04-16T12:19:34.849462+00:00
14,Tester | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/498685/testingenieur-medizintechnik,2026-04-16T12:19:34.852583+00:00
14,Tester | Germany,ferchau,Softwaretester C++ (m/w/d),FERCHAU,Memmingen Deut­sch­land,Vor Ort,Full-time,"C, C++, Ci/Cd","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/470137/softwaretester-c,2026-04-16T12:19:34.853598+00:00
14,QA Engineer | Germany,ferchau,Project Quality Assurance Engineer (m/w/d) Aerospace,FERCHAU,Stade Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/491323/project-quality-assurance-engineer-aerospace,2026-04-16T12:19:43.273065+00:00
14,QA Engineer | Germany,ferchau,Softwaretester Qualitätssicherung (m/w/d),FERCHAU,Beckum Deut­sch­land,Hybrid,Full-time,"C, Ci/Cd, Java, Jenkins, Python","Kanban, Postman, Gitlab Ci, Sql, Scrum, R, Junit, Gitlab, Zephyr, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/499252/softwaretester-qualitaetssicherung,2026-04-16T12:19:43.279436+00:00
14,QA Engineer | Germany,ferchau,Quality Manager Project (m/w/d),FERCHAU,Weiz Öster­reich,Hybrid,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/496948/quality-manager-project,2026-04-16T12:19:43.280198+00:00
14,Test Engineer | Germany,ferchau,Testingenieur Elektrotechnik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/242196/testingenieur-elektrotechnik,2026-04-16T12:19:52.961548+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Elektronik (m/w/d),FERCHAU,Hamburg Deut­sch­land,Remote,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/349012/testingenieur-elektronik,2026-04-16T12:20:02.251946+00:00
14,Testingenieur | Germany,ferchau,Testingenieur Medizintechnik (m/w/d),FERCHAU,Mann­heim Deut­sch­land,Hybrid,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/243886/testingenieur-medizintechnik,2026-04-16T12:20:02.254735+00:00
14,Testingenieur | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Vor Ort,Full-time,"Can, Hil, Python","R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/334791/testingenieur,2026-04-16T12:20:02.255553+00:00
14,Testingenieur | Germany,ferchau,Testingenieur alternative Antriebe (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Hybrid,Full-time,,"Expert, R",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/485857/testingenieur-alternative-antriebe,2026-04-16T12:20:02.256408+00:00
14,Test Automation | Germany,ferchau,Process Automation Engineer (m/f/d),FERCHAU,Wrocław Poland,Hybrid,Full-time,,"Lead, Expert",English,"Expert, Lead",,Recent,https://touch.ferchau.com/de/de/job/489412/process-automation-engineer,2026-04-16T12:20:11.717108+00:00
14,Test Automation | Germany,ferchau,Lead Architekt DevOps / Automation (m/w/d),FERCHAU,Stutt­gart Deut­sch­land,Remote,Full-time,Ci/Cd,"Gcp, Devops, Aws, Lead, R, Architect, Azure, Oracle",German,"Architect, Lead",,Recent,https://touch.ferchau.com/de/de/job/499594/lead-architekt-devops-automation,2026-04-16T12:20:11.723132+00:00
14,Test Automation | Germany,ferchau,Testmanager für Automationssysteme (m/w/d),FERCHAU,Fried­richs­hafen Deut­sch­land,Vor Ort,Full-time,,"R, Jira",German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/499546/testmanager-fuer-automationssysteme,2026-04-16T12:20:11.724354+00:00
14,Python Developer | Germany,ferchau,(Junior) Software Developer Python (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,Python,"Sql, Linux, R, Junior, Expert, Nosql",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/446410/junior-software-developer-python,2026-04-16T12:20:21.849116+00:00
14,Python Developer | Germany,ferchau,Fullstack Software Developer (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Jenkins, Python","R, Angular, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/398737/fullstack-software-developer,2026-04-16T12:20:21.853602+00:00
14,Python Developer | Germany,ferchau,Fullstack Developer (m/w/d),FERCHAU,Karls­ruhe Deut­sch­land,Hybrid,Full-time,"C, Java, Python","React, Sql, Vue.Js, R, Angular, Expert, Nosql, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/445282/fullstack-developer,2026-04-16T12:20:21.856408+00:00
14,Python Developer | Germany,ferchau,Application Developer / IT Product Developer (m/w/d) für AIRBUS Helicopters,FERCHAU,Donau­wörth Deut­sch­land,Vor Ort,Full-time,Python,"Node.Js, Sql, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/499402/application-developer-it-product-developer-fuer-airbus-helicopters,2026-04-16T12:20:21.858391+00:00
14,Python Test | Germany,ferchau,Embedded-Software- und Systemtester (m/w/d),FERCHAU,Gießen Deut­sch­land,Remote,Full-time,"C, C++, Embedded Systems, Hil, Python, Sil","Scrum, R, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/348925/embedded-software-und-systemtester,2026-04-16T12:20:31.391764+00:00
14,Python Test | Germany,ferchau,Testingenieur (m/w/d),FERCHAU,Kemnath Deut­sch­land,Vor Ort,Full-time,"C, C++, Can, Python","Matlab, R, Expert, C#",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/501247/testingenieur,2026-04-16T12:20:31.392835+00:00
14,Python Test | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Neubran­den­burg Deut­sch­land,Hybrid,Full-time,"C, C++, Python",R,German,Test Manager,,Recent,https://touch.ferchau.com/de/de/job/294622/softwaretester,2026-04-16T12:20:31.397783+00:00
14,Firmware Engineer | Germany,ferchau,Senior Hardware Entwickler (m/w/d) Monitoring und Diagnose Systeme,FERCHAU,Erlangen Deut­sch­land,Hybrid,Full-time,"C, C++","R, Senior",German,Senior,,Recent,https://touch.ferchau.com/de/de/job/500698/senior-hardware-entwickler-monitoring-und-diagnose-systeme,2026-04-16T12:20:40.704943+00:00
14,Firmware Engineer | Germany,ferchau,Embedded Engineer Zephyr (m/w/d),FERCHAU,Hall in Tirol Öster­reich,Remote,Full-time,"Arm, C, C++, Ci/Cd, Embedded Systems, Python, Rtos","R, Zephyr, Expert",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/490867/embedded-engineer-zephyr,2026-04-16T12:20:40.707237+00:00
14,Firmware Engineer | Germany,ferchau,FPGA Test Engineer (m/w/d),FERCHAU,Linden­berg im Allgäu Deut­sch­land,Hybrid,Full-time,,"Expert, R, Vhdl, Fpga",German,Expert,,Recent,https://touch.ferchau.com/de/de/job/472201/fpga-test-engineer,2026-04-16T12:20:40.708750+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Osna­brück Deut­sch­land,Remote,Full-time,"C, Java, Python","Kanban, Devops, Sql, Scrum, R, Azure, Jira, C#",German,,,Recent,https://touch.ferchau.com/de/de/job/442993/softwaretester,2026-04-16T12:19:34.846654+00:00
0,Tester | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lemwerder Deut­sch­land,Hybrid,Full-time,,"Php, R, Git",German,,,Recent,https://touch.ferchau.com/de/de/job/500122/softwaretester,2026-04-16T12:19:34.847828+00:00
0,Tester | Germany,ferchau,Softwaretester / Software Testingenieur (m/w/d),FERCHAU,München Deut­sch­land,Remote,Full-time,Jenkins,"Scrum, Testng, Junit, R, Agile",German,,,Recent,https://touch.ferchau.com/de/de/job/497092/softwaretester-software-testingenieur,2026-04-16T12:19:34.850479+00:00
0,Tester | Germany,ferchau,Softwaretester - Quality Assurance IT (m/w/d),FERCHAU,Rosen­heim Deut­sch­land,Remote,Full-time,,"Sql, R, Jira, Postman",German,,,Recent,https://touch.ferchau.com/de/de/job/500800/softwaretester-quality-assurance-it,2026-04-16T12:19:34.851651+00:00
0,QA Engineer | Germany,ferchau,DevOps Engineer (m/w/d) Cloud & Mobile Platforms,FERCHAU,Nürn­berg Deut­sch­land,Remote,Full-time,"Bash, Ci/Cd, Github Actions, Jenkins, Python","Devops, Agile, Gitlab Ci, Argocd, R, Github, Gitlab, Docker, Azure",German,,,Recent,https://touch.ferchau.com/de/de/job/488962/devops-engineer-cloud-mobile-platforms,2026-04-16T12:19:43.271800+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/461695/hull-structural-designer,2026-04-16T12:19:43.274075+00:00
0,QA Engineer | Germany,ferchau,Hull Structural Designer - Shipbuilding (m/f/d),FERCHAU,Gdynia Poland,Hybrid,Full-time,Can,,English,,,Recent,https://touch.ferchau.com/de/de/job/482239/hull-structural-designer-shipbuilding,2026-04-16T12:19:43.275237+00:00
0,QA Engineer | Germany,ferchau,Backend Entwickler (m/w/d),FERCHAU,Köln Deut­sch­land,Remote,Full-time,"C, Ci/Cd, Go, Java, Python","Devops, Node.Js, Agile, Aws, Nosql, R, Docker, Azure, C#",German,,,Recent,https://touch.ferchau.com/de/de/job/469966/backend-entwickler,2026-04-16T12:19:43.278524+00:00
0,Test Engineer | Germany,ferchau,System Test Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,,"Kanban, R, Intern, Scrum",German,,,Recent,https://touch.ferchau.com/de/de/job/495223/system-test-engineer,2026-04-16T12:19:52.943704+00:00
0,Test Engineer | Germany,ferchau,RF Test Engineer (m/f/d),FERCHAU,Vienna Austria,On-Site,Full-time,"C, C++, Can, Java, Python",,English,,,Recent,https://touch.ferchau.com/de/de/job/496804/rf-test-engineer,2026-04-16T12:19:52.945176+00:00
0,Test Engineer | Germany,ferchau,Hardware Test Engineer (m/f/d),FERCHAU,Munich Germany,Remote,Full-time,,,English,,,Recent,https://touch.ferchau.com/de/de/job/498541/hardware-test-engineer,2026-04-16T12:19:52.947509+00:00
0,Test Engineer | Germany,ferchau,Softwaretester (m/w/d),FERCHAU,Lübeck Deut­sch­land,Remote,Full-time,"Java, Python","Scrum, Junit, R, Agile, Postman",German,,,Recent,https://touch.ferchau.com/de/de/job/486202/softwaretester,2026-04-16T12:19:52.948688+00:00
0,Test Engineer | Germany,ferchau,Software Test Engineer (m/w/d),FERCHAU,Nürn­berg Deut­sch­land,Vor Ort,Full-time,"Jenkins, Pytest","R, Linux",German,,,Recent,https://touch.ferchau.com/de/de/job/495214/software-test-engineer,2026-04-16T12:19:52.960550+00:00
0,Test Engineer | Germany,ferchau,Quality & Testing Engineer Hardware (m/w/d),FERCHAU,Kufstein Öster­reich,Vor Ort,Full-time,,R,German,,,Recent,https://touch.ferchau.com/de/de/job/475573/quality-testing-engineer-hardware,2026-04-16T12:19:52.962417+00:00
